,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result,Year
0,1,HOU,3.5,0.0,"W, 20-14",Won,Over,1978
1,2,@RAM,10.0,0.0,"L, 0-10",Push,Over,1978
2,3,CLE,0.0,0.0,"L, 16-24",Lost,Over,1978
3,4,@TAM,-2.5,0.0,"L, 9-14",Lost,Over,1978
4,5,NYG,3.0,0.0,"W, 23-20",Won,Over,1978
5,6,@PIT,9.0,0.0,"L, 7-31",Lost,Over,1978
6,7,DET,-6.0,0.0,"W, 14-0",Won,Over,1978
7,8,@SFO,-3.0,0.0,"W, 20-17",Push,Over,1978
8,9,RAM,6.5,0.0,"W, 15-7",Won,Over,1978
9,10,SFO,-7.0,0.0,"W, 21-10",Won,Over,1978
10,11,@NOR,3.0,0.0,"W, 20-17",Won,Over,1978
11,12,@CHI,-3.0,0.0,"L, 7-13",Lost,Over,1978
12,13,NOR,-3.5,0.0,"W, 20-17",Lost,Over,1978
13,14,@CIN,1.5,0.0,"L, 7-37",Lost,Over,1978
14,15,WAS,-3.5,0.0,"W, 20-17",Lost,Over,1978
15,16,@STL,1.0,0.0,"L, 21-42",Lost,Over,1978
16,17,PHI,-2.5,0.0,"W, 14-13",Lost,Over,1978
17,18,@DAL,15.0,0.0,"L, 20-27",Won,Over,1978
18,1,@NOR,5.0,32.0,"W, 40-34",Won,Over,1979
19,2,@PHI,4.0,35.5,"W, 14-10",Won,Under,1979
20,3,DEN,3.0,32.0,"L, 17-20",Push,Over,1979
21,4,@DET,-6.0,37.0,"L, 23-24",Lost,Over,1979
22,5,WAS,-3.0,37.0,"L, 7-16",Lost,Under,1979
23,6,GNB,-6.0,35.0,"W, 25-7",Won,Under,1979
24,7,@OAK,10.0,37.0,"L, 19-50",Lost,Over,1979
25,8,@SFO,-4.0,42.0,"L, 15-20",Lost,Under,1979
26,9,SEA,2.0,42.0,"L, 28-31",Lost,Over,1979
27,10,TAM,-2.0,37.0,"W, 17-14",Won,Under,1979
28,11,@NYG,2.0,36.0,"L, 3-24",Lost,Under,1979
29,12,@RAM,7.0,35.0,"L, 14-20",Won,Under,1979
30,13,NOR,2.0,43.0,"L, 6-37",Lost,Push,1979
31,14,@SDG,14.0,42.0,"W, 28-26",Won,Over,1979
32,15,RAM,3.0,39.0,"L, 13-34",Lost,Over,1979
33,16,SFO,-3.0,45.0,"W, 31-21",Won,Over,1979
34,1,@MIN,4.0,42.0,"L, 23-24",Won,Over,1980
35,2,@NWE,8.0,49.0,"W, 37-21",Won,Over,1980
36,3,MIA,-3.0,40.0,"L, 17-20",Lost,Under,1980
37,4,@SFO,3.0,50.0,"W, 20-17",Won,Under,1980
38,5,DET,2.0,42.0,"W, 43-28",Won,Over,1980
39,6,NYJ,-7.0,46.0,"L, 7-14",Lost,Under,1980
40,7,@NOR,-3.0,44.0,"W, 41-14",Won,Over,1980
41,8,RAM,3.0,43.0,"W, 13-10",Won,Under,1980
42,9,@BUF,4.0,41.0,"W, 30-14",Won,Over,1980
43,10,@STL,-1.0,43.0,"W, 33-27",Won,Over,1980
44,11,NOR,-12.0,46.0,"W, 31-13",Won,Under,1980
45,12,CHI,-7.0,38.0,"W, 28-17",Won,Over,1980
46,13,WAS,-10.0,40.0,"W, 10-6",Lost,Under,1980
47,14,@PHI,6.0,40.0,"W, 20-17",Won,Under,1980
48,15,SFO,-9.0,45.0,"W, 35-10",Won,Push,1980
49,16,@RAM,3.0,44.0,"L, 17-20",Push,Under,1980
50,17,DAL,-2.5,45.0,"L, 27-30",Lost,Over,1980
51,1,NOR,-10.0,45.0,"W, 27-0",Won,Under,1981
52,2,@GNB,-4.0,39.0,"W, 31-17",Won,Over,1981
53,3,SFO,-9.0,41.0,"W, 34-17",Won,Over,1981
54,4,@CLE,-2.0,44.0,"L, 17-28",Lost,Over,1981
55,5,@PHI,2.0,39.0,"L, 13-16",Lost,Under,1981
56,6,RAM,-4.0,41.0,"L, 35-37",Lost,Over,1981
57,7,STL,-8.0,45.0,"W, 41-20",Won,Over,1981
58,8,NYG,-8.0,43.0,"L, 24-27",Lost,Over,1981
59,9,@NOR,-6.5,41.0,"W, 41-10",Won,Over,1981
60,10,@SFO,-2.5,44.0,"L, 14-17",Lost,Under,1981
61,11,PIT,-5.0,44.0,"L, 20-34",Lost,Over,1981
62,12,MIN,-4.0,49.0,"W, 31-30",Lost,Over,1981
63,13,@HOU,-4.0,42.0,"W, 31-27",Push,Over,1981
64,14,@TAM,-3.0,41.0,"L, 23-24",Lost,Over,1981
65,15,@RAM,-4.0,42.0,"L, 16-21",Lost,Under,1981
66,16,CIN,3.0,43.0,"L, 28-30",Won,Over,1981
67,1,@NYG,1.5,37.0,"W, 16-14",Won,Under,1982
68,2,RAI,-3.0,40.0,"L, 14-38",Lost,Over,1982
69,3,RAM,-3.5,40.0,"W, 34-17",Won,Over,1982
70,4,STL,-7.0,42.0,"L, 20-23",Lost,Over,1982
71,5,@DEN,3.5,42.0,"W, 34-27",Won,Over,1982
72,6,NOR,-3.5,41.0,"W, 35-0",Won,Under,1982
73,7,@SFO,4.0,50.0,"W, 17-7",Won,Under,1982
74,8,GNB,-3.5,47.0,"L, 7-38",Lost,Under,1982
75,9,@NOR,-5.0,41.0,"L, 6-35",Lost,Push,1982
76,10,@MIN,2.0,46.5,"L, 24-30",Lost,Over,1982
77,1,@CHI,1.0,38.5,"W, 20-17",Won,Under,1983
78,2,NYG,-3.5,36.0,"L, 13-16",Lost,Under,1983
79,3,@DET,3.0,38.5,"W, 30-14",Won,Over,1983
80,4,@SFO,4.5,48.0,"L, 20-24",Won,Under,1983
81,5,PHI,-3.5,37.5,"L, 24-28",Lost,Over,1983
82,6,NOR,-2.5,44.0,"L, 17-19",Lost,Under,1983
83,7,@RAM,3.5,41.0,"L, 21-27",Lost,Over,1983
84,8,@NYJ,3.5,42.5,"W, 27-21",Won,Over,1983
85,9,NWE,-3.0,44.5,"W, 24-13",Won,Under,1983
86,10,@NOR,1.0,45.0,"L, 10-27",Lost,Under,1983
87,11,RAM,-1.5,42.0,"L, 13-36",Lost,Over,1983
88,12,SFO,3.5,43.5,"W, 28-24",Won,Over,1983
89,13,GNB,-2.5,45.5,"W, 47-41",Won,Over,1983
90,14,@WAS,9.0,51.0,"L, 21-37",Lost,Over,1983
91,15,@MIA,8.5,43.5,"L, 24-31",Won,Over,1983
92,16,BUF,-1.0,43.5,"W, 31-14",Won,Over,1983
93,1,@NOR,6.0,44.0,"W, 36-28",Won,Over,1984
94,2,DET,-3.0,47.0,"L, 24-27",Lost,Over,1984
95,3,@MIN,-2.0,46.0,"L, 20-27",Lost,Over,1984
96,4,HOU,-9.0,49.0,"W, 42-10",Won,Over,1984
97,5,@SFO,6.0,49.5,"L, 5-14",Lost,Under,1984
98,6,@RAM,3.5,44.0,"W, 30-28",Won,Over,1984
99,7,NYG,-3.5,46.0,"L, 7-19",Lost,Under,1984
100,8,RAM,-1.5,45.0,"L, 10-24",Lost,Under,1984
101,9,@PIT,3.0,42.0,"L, 10-35",Lost,Over,1984
102,10,@WAS,10.0,45.0,"L, 14-27",Lost,Under,1984
103,11,NOR,-1.0,41.0,"L, 13-17",Lost,Under,1984
104,12,CLE,-3.5,39.0,"L, 7-23",Lost,Under,1984
105,13,@CIN,6.5,37.0,"L, 14-35",Lost,Over,1984
106,14,SFO,13.0,40.0,"L, 17-35",Lost,Over,1984
107,15,@TAM,7.5,44.0,"L, 6-23",Lost,Under,1984
108,16,PHI,3.0,37.0,"W, 26-10",Won,Under,1984
109,1,DET,-3.0,41.5,"L, 27-28",Lost,Over,1985
110,2,@SFO,14.0,45.0,"L, 16-35",Lost,Over,1985
111,3,DEN,5.5,43.0,"L, 28-44",Lost,Over,1985
112,4,@RAM,10.0,45.0,"L, 6-17",Lost,Under,1985
113,5,SFO,11.0,47.0,"L, 17-38",Lost,Over,1985
114,6,@SEA,14.5,48.5,"L, 26-30",Won,Over,1985
115,7,NOR,0.0,45.0,"W, 31-24",Won,Over,1985
116,8,@DAL,13.0,45.5,"L, 10-24",Lost,Under,1985
117,9,WAS,6.0,42.0,"L, 10-44",Lost,Over,1985
118,10,@PHI,8.5,39.5,"L, 17-23",Won,Over,1985
119,11,RAM,6.0,40.5,"W, 30-14",Won,Over,1985
120,12,@CHI,16.0,40.5,"L, 0-36",Lost,Under,1985
121,13,RAI,7.0,43.5,"L, 24-34",Lost,Over,1985
122,14,@KAN,3.5,43.0,"L, 10-38",Lost,Over,1985
123,15,MIN,2.0,46.0,"W, 14-13",Won,Under,1985
124,16,@NOR,6.0,44.0,"W, 16-10",Won,Under,1985
125,1,@NOR,3.5,41.0,"W, 31-10",Won,Push,1986
126,2,STL,-2.5,42.0,"W, 33-13",Won,Over,1986
127,3,@DAL,7.5,42.0,"W, 37-35",Won,Over,1986
128,4,@TAM,-6.0,45.0,"W, 23-20",Lost,Under,1986
129,5,PHI,-6.0,43.5,"L, 0-16",Lost,Under,1986
130,6,RAM,0.0,40.0,"W, 26-14",Won,Push,1986
131,7,SFO,3.0,43.0,"T, 10-10",Won,Under,1986
132,8,@RAM,3.0,38.0,"L, 7-14",Lost,Under,1986
133,9,@NWE,9.0,38.0,"L, 17-25",Won,Over,1986
134,10,NYJ,3.0,42.5,"L, 14-28",Lost,Under,1986
135,11,CHI,7.0,36.5,"L, 10-13",Won,Under,1986
136,12,@SFO,10.0,41.5,"L, 0-20",Lost,Under,1986
137,13,@MIA,8.5,44.5,"W, 20-14",Won,Under,1986
138,14,IND,-11.0,37.0,"L, 23-28",Lost,Over,1986
139,15,NOR,1.0,39.0,"L, 9-14",Lost,Under,1986
140,16,@DET,3.0,39.0,"W, 20-6",Won,Under,1986
141,1,@TAM,-2.0,40.5,"L, 10-48",Lost,Over,1987
142,2,WAS,6.5,41.5,"W, 21-20",Won,Under,1987
143,3,PIT,3.5,0.0,"L, 12-28",Lost,Over,1987
144,4,SFO,23.0,0.0,"L, 17-25",Won,Over,1987
145,5,RAM,12.5,0.0,"W, 24-20",Won,Over,1987
146,6,@HOU,4.0,41.0,"L, 33-37",Push,Over,1987
147,7,NOR,2.0,41.0,"L, 0-38",Lost,Under,1987
148,8,@CLE,13.0,44.0,"L, 3-38",Lost,Under,1987
149,9,CIN,5.5,44.5,"L, 10-16",Lost,Under,1987
150,10,@MIN,14.0,44.5,"L, 13-24",Won,Under,1987
151,11,STL,2.5,44.5,"L, 21-34",Lost,Over,1987
152,12,@DAL,9.5,44.0,"W, 21-10",Won,Under,1987
153,13,@RAM,10.0,41.5,"L, 0-33",Lost,Under,1987
154,14,@SFO,16.0,42.0,"L, 7-35",Lost,Push,1987
155,15,DET,1.0,42.0,"L, 13-30",Lost,Over,1987
156,1,@DET,4.0,43.0,"L, 17-31",Lost,Over,1988
157,2,NOR,8.5,43.0,"L, 21-29",Won,Over,1988
158,3,@SFO,14.0,44.0,"W, 34-17",Won,Over,1988
159,4,@DAL,6.0,42.0,"L, 20-26",Push,Over,1988
160,5,SEA,4.0,39.0,"L, 20-31",Lost,Over,1988
161,6,RAM,6.5,44.0,"L, 0-33",Lost,Under,1988
162,7,@DEN,13.0,42.0,"L, 14-30",Lost,Over,1988
163,8,NYG,7.5,43.0,"L, 16-23",Won,Under,1988
164,9,@PHI,10.5,43.0,"W, 27-24",Won,Over,1988
165,10,GNB,-3.0,42.0,"W, 20-0",Won,Under,1988
166,11,SDG,-5.5,37.0,"L, 7-10",Lost,Under,1988
167,12,@RAI,8.0,39.0,"W, 12-6",Won,Under,1988
168,13,TAM,-4.5,40.0,"W, 17-10",Won,Under,1988
169,14,SFO,7.0,41.0,"L, 3-13",Lost,Under,1988
170,15,@RAM,8.0,39.0,"L, 7-22",Lost,Under,1988
171,16,@NOR,8.0,40.0,"L, 9-10",Won,Under,1988
172,1,RAM,7.0,39.0,"L, 21-31",Lost,Over,1989
