,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1966,7,204,14.6,15,437,31.2,14,2.0,12.0,-15.53,23,1.11
1967,4,175,12.5,16,422,30.1,16,1.5,12.5,-14.48,25,3.16
1968,4,170,12.1,16,389,27.8,15,1.7,12.3,-11.96,25,3.68
1969,3,276,19.7,11,268,19.1,6,7.2,6.8,2.83,10,2.26
1970,3,206,14.7,22,261,18.6,10,5.1,8.9,-2.28,18,1.65
1971,3,274,19.6,13,277,19.8,13,6.9,7.1,1.29,11,1.50
1972,2,269,19.2,16,274,19.6,14,6.8,7.2,-1.92,18,-1.56
1973,2,318,22.7,7,224,16.0,9,9.8,4.2,5.86,8,-0.86
1974,4,111,7.9,26,271,19.4,16,1.5,12.5,-12.35,26,-0.92
1975,3,240,17.1,19,289,20.6,15,5.5,8.5,-3.50,15,.00
1976,3,172,12.3,24,312,22.3,22,2.7,11.3,-10.27,25,-0.27
1977,2,179,12.8,25,129,9.2,1,9.6,4.4,.50,13,-3.07
1978,2,240,15.0,26,290,18.1,14,6.2,9.8,-4.60,26,-1.47
1979,3,300,18.8,19,388,24.3,26,5.6,10.4,-6.61,24,-1.11
1980,1,405,25.3,5,272,17.0,5,11.5,4.5,7.84,3,-0.47
1981,2,426,26.6,2,355,22.2,18,9.7,6.3,3.96,7,-0.48
1982,1,183,20.3,14,199,22.1,21,4.1,4.9,-3.81,22,-2.03
1983,4,370,23.1,10,389,24.3,23,7.5,8.5,.85,10,2.04
1984,4,281,17.6,22,382,23.9,22,5.2,10.8,-6.64,24,-0.33
1985,4,282,17.6,26,452,28.3,28,3.9,12.1,-8.89,25,1.74
1986,3,280,17.5,21,280,17.5,6,8.0,8.0,-0.46,17,-0.46
1987,4,205,13.7,28,436,29.1,28,2.1,12.9,-13.84,28,1.56
1988,4,244,15.3,25,315,19.7,11,5.7,10.3,-4.51,24,-0.08
1989,4,279,17.4,22,437,27.3,28,4.1,11.9,-9.09,26,.79
1990,4,348,21.8,10,365,22.8,21,7.5,8.5,-2.12,19,-1.06
1991,2,361,22.6,5,338,21.1,20,8.6,7.4,3.45,9,2.01
1992,3,327,20.4,11,414,25.9,28,5.8,10.2,-4.08,22,1.36
1993,3,316,19.8,12,385,24.1,28,6.2,9.8,-4.45,23,-0.14
1994,3,317,19.8,15,385,24.1,24,6.2,9.8,-4.29,23,-0.04
1995,2,362,22.6,11,349,21.8,19,8.3,7.7,.07,14,-0.74
1996,4,309,19.3,19,461,28.8,30,4.5,11.5,-9.15,29,.35
1997,3,320,20.0,18,361,22.6,21,6.9,9.1,-4.17,23,-1.60
1998,1,442,27.6,4,289,18.1,4,11.7,4.3,9.98,4,.42
1999,3,285,17.8,23,380,23.8,25,5.4,10.6,-7.07,26,-1.13
2000,5,252,15.8,27,413,25.8,26,3.8,12.2,-8.56,28,1.51
2001,4,291,18.2,23,377,23.6,24,5.6,10.4,-4.69,25,.69
2002,2,402,25.1,5,314,19.6,8,10.3,5.7,5.06,6,-0.44
2003,4,299,18.7,20,422,26.4,30,4.9,11.1,-7.42,30,.27
2004,1,340,21.3,16,337,21.1,14,8.1,7.9,-2.20,17,-2.39
2005,3,351,21.9,14,341,21.3,18,8.3,7.7,-1.23,17,-1.85
2006,3,292,18.3,25,328,20.5,15,6.9,9.1,-3.02,20,-0.77
2007,4,259,16.2,29,414,25.9,29,4.0,12.0,-10.61,30,-0.92
2008,2,391,24.4,10,325,20.3,11,9.7,6.3,3.81,12,-0.31
2009,2,363,22.7,13,325,20.3,14,9.0,7.0,5.03,11,2.66
2010,1,414,25.9,5,288,18.0,5,11.2,4.8,6.09,6,-1.79
2011,2,402,25.1,7,350,21.9,18,9.3,6.7,3.53,10,.28
2012,1,419,26.2,7,299,18.7,5,11.0,5.0,6.44,7,-1.06
2013,3,353,22.1,20,443,27.7,27,5.9,10.1,-2.76,20,2.86
2014,3,381,23.8,12,417,26.1,27,7.1,8.9,-3.85,24,-1.60
2015,2,339,21.2,21,345,21.6,14,7.8,8.2,-3.78,22,-3.41
2016,1,540,33.8,1,406,25.4,27,10.6,5.4,8.48,2,.11
2017,3,353,22.1,15,315,19.7,8,9.1,6.9,4.26,9,1.89
2018,2,414,25.9,10,423,26.4,25,7.8,8.2,-0.11,17,.45
2019,2,381,23.8,13,399,24.9,23,7.6,8.4,-0.07,17,1.06
2020,4,396,24.8,16,414,25.9,19,7.6,8.4,.74,15,1.86
2021,4,31,15.5,30,80,40.0,32,0.2,1.8,-45.20,32,-20.70
