Player,09/09vs. KAN,09/17vs. DEN,09/23vs. SDG,09/30vs. CAR,10/07vs. WAS,10/14vs. OAK,10/28vs. PHI,11/04vs. DAL,11/11vs. NOR,11/18vs. ARI,11/25vs. TAM,11/29vs. NOR,12/09vs. CAR,12/16vs. NYG,12/22vs. DET,12/30vs. TAM,01/13vs. SEA,01/20vs. SFO
John Abraham,,,P,,,,,,P,Q,P,,,,,,P,Q
Jonathan Babineaux,,,,P,P,Q,P,Q,Q,P,P,,,Q,Q,Q,,P
Sam Baker,,,,,,,,,P,,,P,,P,,,,
Justin Blalock,,,,,,,,,,,,,,P,,,,
Matt Bryant,,,,,,,,P,,,P,,,,,,,
Tyson Clabo,,Q,Q,P,,,,,,,,,,,Q,,,
Kevin Cone,,,,,,P,,O,O,O,Q,P,,,,IR,IR,IR
Dominique Davis,,,,,,P,,,,,,,,,,,,
Drew Davis,,,,,,,,P,,,,,,,,,,
Harry Douglas,,,,,,,O,P,P,P,,P,,Q,P,,,
Bradie Ewing,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tommy Gallarda,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tony Gonzalez,,,,,,,,,,P,,,,,,,,
Brent Grimes,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Joe Hawley,,,,,,,,,,,,,,,P,,,
Chris Hope,,,,,,,,,,,,,,Q,,,,
Robert James,,P,,,,,,,,,,,,,,,,
Peria Jerry,,,,,,P,,,Q,,Q,Q,Q,,,,,
Julio Jones,,,P,P,P,,,,Q,Q,Q,,,,,,,
Cliff Matthews,,,,,,,,,,,,,,,Q,Q,,
Robert McClain,,,,,,,,,Q,,,,,,,,,
Todd McClure,,,,,Q,P,,,,,,,,,,,,
Charles Mitchell,,,,,,,,,O,O,O,P,,,,,Q,
William Moore,,,,,Q,P,,,,,,,Q,Q,Q,O,P,P
Stephen Nicholas,,,P,P,P,Q,,,,P,,P,,,,,,P
Adam Nissley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Owens,P,Q,D,O,P,,,,Q,,P,,,,Q,O,O,P
Michael Palmer,,,,O,O,O,P,,,,,P,,,,,,
Corey Peters,O,O,O,O,O,O,,,,,Q,Q,,,,Q,,
Mike Peterson,,,,Q,,,,,,P,,,,,,,,
Lousaka Polite,,,,O,Q,Q,,,,,,,,,,,,
Garrett Reynolds,,,,,,P,Q,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dunta Robinson,,,,,,P,,,,,,Q,,,,,P,
Matt Ryan,,,,,,,,,,,P,,,,,,,
Asante Samuel,,Q,,,,,,,P,,Q,Q,Q,P,,D,,
Shann Schillinger,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Antone Smith,,,O,O,P,O,P,,,,,,,,,,,
Jason Snelling,P,,,,,,,,P,,,,,,,,,
Will Svitek,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Michael Turner,,,,,,,,,,Q,P,,P,,,,,Q
Vance Walker,,,,,,,,Q,,Q,Q,P,,,,,,
Sean Weatherspoon,,Q,Q,,,,,O,O,Q,Q,P,,,,,,
Roddy White,,P,P,,,,,P,,,,,,Q,P,Q,,
