Player,09/08vs. NOR,09/15vs. STL,09/22vs. MIA,09/29vs. NWE,10/07vs. NYJ,10/20vs. TAM,10/27vs. ARI,11/03vs. CAR,11/10vs. SEA,11/17vs. TAM,11/21vs. NOR,12/01vs. BUF,12/08vs. GNB,12/15vs. WAS,12/23vs. SFO,12/29vs. CAR
Robert Alford,,,,,,,P,,,,,,,,,P
Jonathan Babineaux,,Q,,,P,,,,,,P,,,,,
Sam Baker,,Q,O,,O,D,Q,Q,Q,IR,IR,IR,IR,IR,IR,IR
Kroy Biermann,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Matt Bryant,P,,,,,,,,,,,,,,,
Chase Coffman,,,,,Q,O,P,,,,,,,,,
Dominique Davis,,,,,,,,,,,Q,,,,,
Drew Davis,,,,,P,,,,,,,,,,,
Thomas DeCoud,,P,,,,,,,,,,,,D,P,
Akeem Dent,,,P,,O,Q,Q,P,,,,Q,,,,
Harry Douglas,,,,,,,,,,Q,,,,,,
Bradie Ewing,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tony Gonzalez,,,,,,,,,,Q,Q,P,Q,Q,Q,P
Malliciah Goodman,,,,,,,,,,O,O,Q,,,,
Joe Hawley,P,,,,,,,P,,,,,,,,
Steven Jackson,,Q,O,O,O,O,P,,,P,,,,,,
Peria Jerry,,P,,,,,,P,P,P,P,,,,,
Darius Johnson,,,,,,,,,,,,,,,O,Q
Mike Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Julio Jones,,P,P,P,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Peter Konz,,,P,P,,,,,,,,,P,,,P
Cliff Matthews,,P,Q,,,,,,,,,,,,,
Robert McClain,,,,P,,,,,,,,,,,,
William Moore,,,,,,,,Q,,,,,,,,
Zeke Motta,,,,,,,,,,,P,Q,Q,Q,Q,IR
Stephen Nicholas,Q,,,,,,O,O,Q,,,,,,,
Corey Peters,,,,,,,Q,,Q,Q,,,,,,IR
Sean Renfree,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Garrett Reynolds,,,,P,,,,P,,,,,,,,
Jacquizz Rodgers,,,,,,,,,,,P,,,,,D
Asante Samuel,Q,Q,Q,Q,Q,,,,,,,,,,,
Antone Smith,,,,,,,,,,,,,,O,Q,
Jason Snelling,,,,,,P,O,P,,O,,,,,,
Andrew Szczerba,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jeremy Trueblood,,,,,,,,,,,P,,,,,
Desmond Trufant,,,,,,,,,,,,P,,,,
Osi Umenyiora,,,,,,,,Q,,,,,,,,
Josh Vaughan,,,,P,,,,,,,,,,,,
Sean Weatherspoon,,Q,IR,IR,IR,IR,IR,IR,IR,P,,P,P,Q,Q,D
Roddy White,P,P,Q,P,P,D,D,D,P,P,,,,Q,,
Paul Worrilow,,,,,Q,,,,,,P,,,P,,
