Player,09/08vs. MIN,09/15vs. PHI,09/22vs. IND,09/29vs. TEN,10/06vs. HOU,10/13vs. ARI,10/20vs. LAR,10/27vs. SEA,11/10vs. NOR,11/17vs. CAR,11/24vs. TAM,11/28vs. NOR,12/08vs. CAR,12/15vs. SFO,12/22vs. JAX,12/29vs. TAM
Allen Bailey,,,,,,,,,,,,,,O,,
Kenjon Barner,,,,O,O,,,,,,,,,,,
Kurt Benkert,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Michael Bennett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Matthew Bosher,,,O,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jamon Brown,,,,,O,,,,,,,,,,,O
Ryan Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Taveze Calhoun,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
James Carpenter,,,,,,,,O,,,,,O,O,IR,IR
Adrian Clayborn,,,,,,,,,,,,,,,,O
John Cominsky,,,,,,,,,O,,Q,,,,,
Johnathan Cyprien,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Devonta Freeman,,,,,,,,,,O,O,,,,,
Russell Gage,,Q,,,,,,,,,,,,,,
Matt Gono,O,O,,,,,,,,,,,,,,
Alex Gray,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ra'Shede Hageman,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Austin Hooper,,,,,,,,,,O,O,O,,,,
Kemal Ishmael,,,,,,,,,,O,O,,,,,
Grady Jarrett,,,,,,,,Q,,,,,,,,
Julio Jones,,,,,,,,,,,,Q,,,,
Damontae Kazee,,,,,Q,,,,,,,,,,,
Chris Lindstrom,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Takkarist McKinley,,,,,,,,,,,Q,,,,IR,IR
Steven Means,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Keanu Neal,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sharrod Neasman,,,,,,,,,,,,Q,Q,,,
Isaiah Oliver,,,,,,,,,,,,,,Q,,
Brandon Powell,,,,,,,,,,,,,,,,O
Calvin Ridley,,,,,,,,,,,,,,IR,IR,IR
Matt Ryan,,,,,,,,Q,,,,,,,,
Ty Sambrailo,,,,,,,,,,,,,O,O,,
Wes Schweitzer,,,,,,,,,O,,,,,,,
Kendall Sheffield,,,,,,,,,,,Q,,,,,
Matt Simms,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ito Smith,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR
Luke Stocker,,,,,,,,,,,,Q,,,,
Desmond Trufant,,,,,,O,O,O,Q,,,,,IR,IR,IR
J.J. Wilcox,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Matt Wile,,,,,,O,,,,,,,,,,
Blidi Wreh-Wilson,,,,,O,O,,,,,,,,,,
