Player,09/13vs. SEA,09/20vs. DAL,09/27vs. CHI,10/05vs. GNB,10/11vs. CAR,10/18vs. MIN,10/25vs. DET,10/29vs. CAR,11/08vs. DEN,11/22vs. NOR,11/29vs. LVR,12/06vs. NOR,12/13vs. LAC,12/20vs. TAM,12/27vs. KAN,01/03vs. TAM
Ricardo Allen,,,O,O,,,,,,,,,O,O,Q,
James Carpenter,,,,,,,,,,,,O,O,Q,O,
John Cominsky,,,,,,C19,C19,C19,C19,,,,,,,
Marlon Davidson,Q,D,,,,C19,C19,C19,,,,,,O,Q,
Darqueze Dennard,,,,IR,IR,IR,IR,IR,IR,,,,,O,O,O
Dante Fowler,,,Q,,,,,,O,C19,Q,Q,,,,
Todd Gurley,,,,,,,,,,,O,Q,,,,
Charles Harris,O,O,,,,,,,,,,,,,,Q
Jaylinn Hawkins,,,,,O,O,,,,,,,,,,
Hayden Hurst,,,,,,,,,,,Q,,,,,
Julio Jones,,,Q,Q,Q,,,,,,Q,Q,O,O,O,O
Damontae Kazee,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Younghoe Koo,,,,O,,,,,,,,,,,,
Alex Mack,,,,,,,,,,,,,,,O,C19
Jake Matthews,,Q,,,,,,,,,,,,,,
Kaleb McGary,,,Q,,,,,,,,,,Q,Q,,
Takkarist McKinley,,,Q,O,,O,Q,O,O,,,,,,,
Jordan Miller,,,,,,,,,O,IR,IR,IR,IR,IR,IR,
Keanu Neal,,,,O,,,,,,,,,,,,
Foyesade Oluokun,,,Q,,,,,,,,,,,,,
Brandon Powell,,,,,,,,,,,,,,,Q,O
Calvin Ridley,,,,Q,,,,,Q,,,,,,,
Kendall Sheffield,O,O,O,,,,,,,,,Q,,,,
Olamide Zaccheaus,,,,,,,,,,,IR,IR,IR,IR,IR,IR
