,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result,Year
0,1,PIT,10.5,0.0,"L, 17-28",Lost,Over,1978
1,2,NYJ,5.0,0.0,"L, 20-21",Won,Over,1978
2,3,@MIA,12.0,0.0,"L, 24-31",Won,Over,1978
3,4,BAL,-2.5,0.0,"W, 24-17",Won,Over,1978
4,5,KAN,-3.0,0.0,"W, 28-13",Won,Over,1978
5,6,@NYJ,-2.5,0.0,"L, 14-45",Lost,Over,1978
6,7,@HOU,8.5,0.0,"L, 10-17",Won,Over,1978
7,8,CIN,-3.5,0.0,"W, 5-0",Won,Over,1978
8,9,@CLE,6.0,0.0,"L, 20-41",Lost,Over,1978
9,10,NWE,9.0,0.0,"L, 10-14",Won,Over,1978
10,11,MIA,7.5,0.0,"L, 24-25",Won,Over,1978
11,12,@TAM,3.5,0.0,"L, 10-31",Lost,Over,1978
12,13,NYG,-3.0,0.0,"W, 41-17",Won,Over,1978
13,14,@KAN,6.0,0.0,"L, 10-14",Won,Over,1978
14,15,@NWE,11.5,0.0,"L, 24-26",Won,Over,1978
15,16,@BAL,3.0,0.0,"W, 21-14",Won,Over,1978
16,1,MIA,5.0,39.0,"L, 7-9",Won,Under,1979
17,2,CIN,3.0,34.0,"W, 51-24",Won,Over,1979
18,3,@SDG,9.0,44.0,"L, 19-27",Won,Over,1979
19,4,NYJ,-3.0,42.0,"W, 46-31",Won,Over,1979
20,5,@BAL,2.0,42.0,"W, 31-13",Won,Over,1979
21,6,CHI,-5.0,40.0,"L, 0-7",Lost,Under,1979
22,7,@MIA,6.0,40.0,"L, 7-17",Lost,Under,1979
23,8,BAL,-6.0,39.0,"L, 13-14",Lost,Under,1979
24,9,@DET,-3.0,38.0,"W, 20-17",Push,Under,1979
25,10,NWE,5.0,41.0,"L, 6-26",Lost,Under,1979
26,11,@NYJ,6.0,42.0,"W, 14-12",Won,Under,1979
27,12,GNB,-7.0,37.0,"W, 19-12",Push,Under,1979
28,13,@NWE,10.0,41.0,"W, 16-13",Won,Under,1979
29,14,DEN,2.0,36.0,"L, 16-19",Lost,Under,1979
30,15,@MIN,2.0,36.0,"L, 3-10",Lost,Under,1979
31,16,@PIT,12.0,39.0,"L, 0-28",Lost,Under,1979
32,1,MIA,3.0,35.0,"W, 17-7",Won,Under,1980
33,2,NYJ,0.0,34.0,"W, 20-10",Won,Under,1980
34,3,@NOR,2.0,40.0,"W, 35-26",Won,Over,1980
35,4,OAK,-2.0,42.0,"W, 24-7",Won,Under,1980
36,5,@SDG,7.0,44.0,"W, 26-24",Won,Over,1980
37,6,BAL,-3.0,40.0,"L, 12-17",Lost,Under,1980
38,7,@MIA,-2.0,35.0,"L, 14-17",Lost,Under,1980
39,8,NWE,2.0,42.0,"W, 31-13",Won,Over,1980
40,9,ATL,-4.0,41.0,"L, 14-30",Lost,Over,1980
41,10,@NYJ,-4.0,38.0,"W, 31-24",Won,Over,1980
42,11,@CIN,-2.0,36.0,"W, 14-0",Won,Under,1980
43,12,PIT,2.0,42.0,"W, 28-13",Won,Under,1980
44,13,@BAL,-3.0,40.0,"L, 24-28",Lost,Over,1980
45,14,RAM,0.0,40.0,"W, 10-7",Won,Under,1980
46,15,@NWE,3.0,42.0,"L, 2-24",Lost,Under,1980
47,16,@SFO,-6.0,42.0,"W, 18-13",Lost,Under,1980
48,17,@SDG,6.0,41.0,"L, 14-20",Push,Under,1980
49,1,NYJ,-4.0,41.0,"W, 31-0",Won,Under,1981
50,2,@BAL,-2.0,43.0,"W, 35-3",Won,Under,1981
51,3,PHI,-4.0,38.0,"L, 14-20",Lost,Under,1981
52,4,@CIN,-4.0,39.0,"L, 24-27",Lost,Over,1981
53,5,BAL,-7.0,43.0,"W, 23-17",Lost,Under,1981
54,6,MIA,-4.0,39.0,"W, 31-21",Won,Over,1981
55,7,@NYJ,-3.0,46.0,"L, 14-33",Lost,Over,1981
56,8,DEN,-5.0,39.0,"W, 9-7",Lost,Under,1981
57,9,CLE,-4.0,43.0,"W, 22-13",Won,Under,1981
58,10,@DAL,3.5,42.0,"L, 14-27",Lost,Under,1981
59,11,@STL,-5.5,43.0,"L, 0-24",Lost,Under,1981
60,12,NWE,-7.0,34.0,"W, 20-17",Lost,Over,1981
61,13,WAS,-5.0,42.0,"W, 21-14",Won,Under,1981
62,14,@SDG,4.5,46.0,"W, 28-27",Won,Over,1981
63,15,@NWE,-3.5,41.0,"W, 19-10",Won,Under,1981
64,16,@MIA,3.0,36.0,"L, 6-16",Lost,Under,1981
65,17,@NYJ,3.0,33.0,"W, 31-27",Won,Over,1981
66,18,@CIN,6.0,41.0,"L, 21-28",Lost,Over,1981
67,1,KAN,-3.5,35.0,"W, 14-9",Won,Under,1982
68,2,MIN,-3.0,35.0,"W, 23-22",Lost,Over,1982
69,3,MIA,-1.0,35.0,"L, 7-9",Lost,Under,1982
70,4,BAL,-13.0,36.0,"W, 20-0",Won,Under,1982
71,5,@GNB,2.5,38.0,"L, 21-33",Lost,Over,1982
72,6,PIT,0.0,40.0,"W, 13-0",Won,Under,1982
73,7,@TAM,1.0,34.0,"L, 23-24",Push,Over,1982
74,8,@MIA,3.0,36.0,"L, 10-27",Lost,Over,1982
75,9,@NWE,-3.5,36.0,"L, 19-30",Lost,Over,1982
76,1,MIA,4.0,36.5,"L, 0-12",Lost,Under,1983
77,2,@CIN,7.0,36.5,"W, 10-6",Won,Under,1983
78,3,BAL,-5.0,33.0,"W, 28-23",Push,Over,1983
79,4,HOU,-7.0,39.0,"W, 30-13",Won,Over,1983
80,5,NYJ,2.0,44.0,"L, 10-34",Lost,Push,1983
