Player,09/14vs. NWE,09/20vs. TAM,09/27vs. NOR,10/04vs. MIA,10/11vs. CLE,10/18vs. NYJ,10/25vs. CAR,11/01vs. HOU,11/15vs. TEN,11/22vs. JAX,11/29vs. MIA,12/03vs. NYJ,12/13vs. KAN,12/20vs. NWE,12/27vs. ATL,01/03vs. IND
Demetress Bell,,,,O,P,,,,,O,O,O,IR,IR,IR,IR
Marcus Buggs,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brad Butler,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jairus Byrd,,,,,P,,,,P,P,P,P,P,P,IR,IR
Kirk Chambers,,,,,,,,,,,,,P,,,
Ryan Denney,,,,,,,,,,,,,P,,,
Chris Draft,,,,,,,,,,,,Q,P,,,
Trent Edwards,,,,,,,O,O,P,,,,,,IR,IR
Chris Ellis,,,,O,O,,,,,,,,,,,
Keith Ellison,,,,,,P,,,O,D,IR,IR,IR,IR,IR,IR
Derek Fine,D,P,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Ryan Fitzpatrick,,,,,,,,,,,,,,,O,P
Drayton Florence,D,O,Q,,,,,,,,,,,,P,
Geoff Hangartner,,,P,,,,,,,,,,,,,
James Hardy,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,P,O,Q,,,,Q,
Nic Harris,,,,,,,,,,,P,P,,,,IR
Justin Jenkins,,,,,,,,,,Q,,,O,P,,
Spencer Johnson,P,,,,,,,,,,,,,,,
Steve Johnson,,,,,,,,,,,,,,,,O
Todd Johnson,,,,,,,,,,,,,P,,O,IR
Chris Kelsay,,D,,,,,P,P,,,P,P,,,,
Joe Klopfenstein,,,,,,,,,,,,,O,Q,,
Ellis Lankster,,,,,O,,,,,,,,,,,
Andy Levitre,,,,,,,,,,,,,P,,,
Marshawn Lynch,,,,P,,,,,,,P,,,,,
John McCargo,,,D,O,P,,,,,,O,D,O,,,
Terrence McGee,,P,P,,P,P,Q,P,O,D,O,Q,,,IR,IR
Corey McIntyre,,,,,,,,O,P,,,,,,,
Leodis McKelvin,,,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Seth McKinney,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Jamon Meredith,,,,,,,,,P,,,,,O,,
Kawika Mitchell,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Shawn Nelson,,,D,P,,,D,O,P,,,,P,,,Q
Xavier Omon,,,,,,,Q,,,,,,,,,
Terrell Owens,,,,,,,,,P,,,,,P,,
Ashlee Palmer,,,,,,,,,,,,,,,P,D
Roscoe Parrish,,,P,,,O,,,O,Q,,,,,,
Paul Posluszny,,O,O,O,O,P,,,,,,,,,,
Andre Ramsey,,,,,,,,,,,,,,,,O
Josh Reed,,,P,,,P,,,,,,,,,O,O
Aaron Schobel,,P,,,,,,,P,,,,,,,
Derek Schouman,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bryan Scott,,,,O,O,O,O,O,P,,,,,,O,O
Jonathan Scott,,,,,,O,O,O,O,,,,,P,,O
Kendall Simmons,,,,,,,,,,,,,,IR,IR,
Marcus Stroud,,,,,,,,,,O,P,P,,,,Q
Jonathan Stupar,,,,,,,,,,,,,,,,P
Donte Whitner,,,,O,O,P,O,O,O,,,,,,,Q
Kyle Williams,,,,P,,,,O,O,D,,,,,,
Eric Wood,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Ashton Youboty,,,,,,,,,,O,O,D,O,,,
