Player,09/12vs. MIA,09/19vs. GNB,09/26vs. NWE,10/03vs. NYJ,10/10vs. JAX,10/24vs. BAL,10/31vs. KAN,11/07vs. CHI,11/14vs. DET,11/21vs. CIN,11/28vs. PIT,12/05vs. MIN,12/12vs. CLE,12/19vs. MIA,12/26vs. NWE,01/02vs. NYJ
Mike Balogun,,,,,,,,,,,,,,,,P
Danny Batten,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Demetress Bell,,,,,,,P,P,P,P,P,P,P,P,P,P
Jairus Byrd,P,,,,,,P,,,,,,,,,
Antonio Coleman,O,O,,,,,,,,,,,IR,IR,IR,IR
Reggie Corner,,,,,,,,,P,,,,,,,
Jon Corto,PUP,PUP,PUP,PUP,PUP,,,,,,,,,,,P
Andra Davis,,,,O,P,,,O,IR,IR,IR,IR,IR,IR,IR,IR
Marcus Easley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dwan Edwards,,,,,,,,,,,,IR,IR,IR,IR,IR
Keith Ellison,,,P,,O,O,P,,,,IR,IR,IR,IR,IR,IR
Lee Evans,,,,,,,,,P,,,,,IR,IR,IR
Ryan Fitzpatrick,,,,,,,,,,,,,,,,O
Drayton Florence,,,,,,,,,,,,,,P,,
Cornell Green,,,,,,O,O,IR,IR,IR,,,,,,
Geoff Hangartner,,P,,,,,,,,,,,O,O,O,Q
Cary Harris,,O,O,,,,,,,,,,,,,
Cordaro Howard,,,,,,,,P,D,O,,,,,,IR
Fred Jackson,Q,,,,,,,,,,,,,,,
Spencer Johnson,,,,,,,,,,O,O,P,,,,
Donald Jones,,,,,,,,P,,,,,,,,O
Chris Kelsay,,,,,,,,,P,,P,P,,P,P,P
Joe Klopfenstein,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Andy Levitre,,,P,,,,,,,,,,,P,,
Marshawn Lynch,,,,,,,,,,,,,,,,
Terrence McGee,,,,O,O,O,O,O,,,O,D,P,,,P
Corey McIntyre,,,,,,,,,,P,,,,,,
Shawne Merriman,,,,,,,,,O,O,O,IR,IR,IR,IR,IR
Kawika Mitchell,IR,IR,IR,IR,,,,,,,,,,,,
Arthur Moats,,,,,O,P,,,,,,,,,,
Brian Moorman,,P,,,,,,,,,,,,,,
David Nelson,,,,,,,,,,,,,,,,O
Shawn Nelson,,,,,O,P,,,,,O,O,O,O,O,O
Roscoe Parrish,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Paul Posluszny,,O,D,P,,,,,,,,,,,,
Bryan Scott,,,,,O,P,,,,,,,,,,
C.J. Spiller,,,,,,,,,,O,O,P,,,,
Marcus Stroud,,,,O,P,,,,,,,,,,,
Jonathan Stupar,,,,P,,,,,,,,,,,,
Reggie Torbor,O,P,,,,,,,,,,IR,IR,IR,IR,IR
Torell Troup,,,,,,,,,,,,O,,,,P
Kraig Urbik,,,,,,,,,,,,,IR,IR,IR,IR
Donte Whitner,,,,,,,,,,,,,P,,,
Kyle Williams,,,,,,P,,,,P,P,,,,,P
Eric Wood,,,,,,,,P,P,P,O,O,,,,
Ashton Youboty,,,,,P,,,,,,,,,,,
