Player,09/11vs. KAN,09/18vs. OAK,09/25vs. NWE,10/02vs. CIN,10/09vs. PHI,10/16vs. NYG,10/30vs. WAS,11/06vs. NYJ,11/13vs. DAL,11/20vs. MIA,11/27vs. NYJ,12/04vs. TEN,12/11vs. SDG,12/18vs. MIA,12/24vs. DEN,01/01vs. NWE
Nick Barnett,,,,,P,P,,,,,,,,,,
Demetress Bell,,,,,O,O,O,D,O,O,O,,,,,D
Jairus Byrd,,,,,,,,,,,,,P,,,
Mike Caussin,,,,,,,,,,,,,,,,IR
Scott Chandler,,,,,,,,,,,,,D,O,P,
Marcell Dareus,,,,,,,,,,,,,,,Q,
Marcus Easley,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Robert Eddins,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ryan Fitzpatrick,,,,,,,,P,,,,,,,,
Chris Hairston,,,,,,,O,O,Q,P,,,,,,
Bruce Hall,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Fred Jackson,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Spencer Johnson,,,P,,,,,,,P,,,,,,
Steve Johnson,,P,P,P,,,,,P,P,P,,,P,P,
Donald Jones,,,,,,O,O,P,,,IR,IR,IR,IR,IR,IR
Chris Kelsay,,,,,O,O,P,O,O,P,,,,,,
Andy Levitre,,,,,,P,,P,,,,,,,,
Rian Lindell,,,,,,,,,O,O,O,O,IR,IR,IR,IR
Ruvell Martin,,,,,P,,,,,,,,,,O,P
Terrence McGee,,O,O,O,O,P,,,,,IR,IR,IR,IR,IR,IR
Leodis McKelvin,,,,,,,,,,,,D,,,,
Shawne Merriman,,P,,,P,D,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Arthur Moats,O,O,,,,,,,,,,,,,,
Kirk Morrison,,,O,O,,,,,,,,,,,,
David Nelson,,,,,,,,,,Q,P,,,,,
Roscoe Parrish,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Erik Pears,,,,,,,,,,P,,,,,,
Dave Rayner,,,,,,,,,,,,,,P,,IR
Chad Rinehart,,,,,,,,,,,,,P,,,
Naaman Roosevelt,,,,,,,,,,,O,P,,,,
Da'Norris Searcy,,,,,,P,,,,,,,,,,
Brad Smith,,,,,,,,,,,,,,,,O
Lee Smith,,,,,,,,,,,,,,,IR,IR
C.J. Spiller,,,,,P,,,,,,,,,,,
Torell Troup,Q,D,O,P,O,P,,,,,,IR,IR,IR,IR,IR
Kraig Urbik,,,O,D,P,,,,,,,,,,,O
Chris White,,,,O,O,P,,,,IR,IR,IR,IR,IR,IR,IR
Johnny White,,,,P,,,,O,Q,,,,,,O,P
Aaron Williams,,,,O,O,O,O,O,O,P,,,D,P,,
Kyle Williams,,,,,,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR
George Wilson,,,,,,,,,,D,O,O,P,,,
Eric Wood,,,,,P,,,,,IR,IR,IR,IR,IR,IR,IR
