Player,09/13vs. IND,09/20vs. NWE,09/27vs. MIA,10/04vs. NYG,10/11vs. TEN,10/18vs. CIN,10/25vs. JAX,11/08vs. MIA,11/12vs. NYJ,11/23vs. NWE,11/29vs. KAN,12/06vs. HOU,12/13vs. PHI,12/20vs. WAS,12/27vs. DAL,01/03vs. NYJ
Nigel Bradham,,,,,,,,,,,,O,O,O,O,O
Ron Brooks,,,,,,P,,,,,,,O,O,P,IR
Preston Brown,,,,P,,,,,,,,,,P,,
Dan Carpenter,,,P,P,,,,,,,,,,,,
Alex Carrington,,,,,,,,,,,,IR,IR,IR,IR,IR
Stefan Charles,,,,,,,,,,,,,,,P,
Charles Clay,P,,,,P,P,,,,,,,P,IR,IR,IR
Ronald Darby,,,,,,,,,,,,,,,Q,P
Marcell Dareus,,,,,,P,,,,,P,,,,,P
Anthony Dixon,,,,,,,,,,,,,,,P,
Marcus Easley,,,Q,,,O,Q,,,,O,P,,,,
Jerome Felton,,,,,,,,,,,,,,P,,
Stephon Gilmore,,,,,,,,,,,,,IR,IR,IR,IR
Cordy Glenn,,,,,P,P,,,,,,P,,,,
Marquise Goodwin,O,O,O,O,P,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
Corey Graham,,P,,,P,,P,P,,,,,,,,
MarQueis Gray,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Percy Harvin,P,P,P,P,P,IR,IR,O,IR,IR,IR,IR,IR,IR,IR,IR
Seantrel Henderson,,,,,,,O,P,Q,,,IR,IR,IR,IR,IR
Chris Hogan,P,,,,P,P,,,,,,,P,,,P
Jerry Hughes,,,P,,,,,,,,,,,,,
Richie Incognito,,,,,,,,,,Q,,,,,,
Randell Johnson,,,,,,P,,,,,,,,,IR,IR
Cyrus Kouandjio,,,,,,P,,,Q,P,,,,,,
LeSean McCoy,P,Q,P,O,O,P,P,,P,,,,,,O,O
Leodis McKelvin,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
John Miller,,,,O,P,P,O,,,,O,O,Q,P,P,P
Ty Powell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Walt Powell,,,,,,,,,,,,,,,P,
Bacarri Rambo,,,,,O,P,,,,,P,P,,Q,P,P
Colton Schmidt,,,P,,,,,,,,,,,,,
Tony Steward,O,O,Q,,,,,,,,,,IR,IR,IR,IR
A.J. Tarpley,,,,,,,,P,,,,,,,,
Tyrod Taylor,,,P,P,,Q,O,P,,,P,P,,,,P
Sammy Watkins,P,,,O,Q,Q,O,Q,P,,,,,,,
Aaron Williams,,,O,O,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Karlos Williams,,,,,O,O,O,P,,,,O,O,Q,P,
Kyle Williams,,,,,P,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mario Williams,P,,,,,,,P,P,,O,P,P,Q,P,P
Cierre Wood,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Eric Wood,,,,,,,,,,,,,,,P,
Robert Woods,P,,,,,,,,,,,,,P,IR,IR
Jarius Wynn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
