Player,09/10vs. NYJ,09/17vs. CAR,09/24vs. DEN,10/01vs. ATL,10/08vs. CIN,10/22vs. TAM,10/29vs. OAK,11/02vs. NYJ,11/12vs. NOR,11/19vs. LAC,11/26vs. KAN,12/03vs. NWE,12/10vs. IND,12/17vs. MIA,12/24vs. NWE,12/31vs. MIA,01/07vs. JAX
Colt Anderson,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,
Sam Barrington,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kelvin Benjamin,,,,,,,,,,,Q,O,,Q,Q,,
Travaris Cadet,,,,,,,,,,,,,,,,IR,IR
Charles Clay,,,,,,O,O,O,Q,Q,Q,Q,,,,,
Marcell Dareus,,,O,,,,,,,,,,,,,,
Patrick DiMarco,,,,,,,,,,,,Q,,,,,
E.J. Gaines,,,,,Q,Q,O,O,Q,,,,,,Q,,
Cordy Glenn,,,O,O,Q,,,,IR,IR,IR,IR,IR,O,IR,IR,IR
Ryan Groy,,,,,,,,,,,,,,,,Q,
Seantrel Henderson,,,,,,,,,Q,,,Q,Q,,,,
Andre Holmes,,,,,,,,,,,,,,,IR,IR,IR
Jerry Hughes,,,,,,,,,,Q,,,,,,,
Ramon Humber,,,,,O,O,O,Q,,,,,,,,,
Micah Hyde,,,,,Q,,,,,,,,,,,,
Richie Incognito,,,,,,,Q,,,,,,,,,,
Leonard Johnson,,Q,,,,Q,,,,,,,Q,,,,
Taiwan Jones,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Shaq Lawson,,,,Q,,,,,,,,,IR,IR,IR,IR,IR
Jordan Matthews,,,,,O,Q,,,,Q,Q,Q,IR,IR,IR,IR,IR
LeSean McCoy,,,,,,,,,,,,,,,,,Q
Conor McDermott,,,,,,,,,,,,Q,,,,,
Matt Milano,,,,,,,,,,,,,,,,,Q
John Miller,,,,,,,,,,O,O,O,O,O,Q,,
Jordan Mills,,,,,,,,,,,,,,,,,Q
Nick O'Leary,,,,,,,,,,,,Q,,,Q,,
Nathan Peterman,,,,,,,,,,,,,,O,,,
Jordan Poyer,,,,,,,Q,Q,,,,,,,,,
Tyrod Taylor,,,,,,,,,,,,,Q,,,,
Deonte Thompson,,,,,,,,,,,Q,,,,,Q,Q
Mike Tolbert,,,,,,,,,,O,O,O,,,,,
Keith Towbridge,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Joe Webb,,,,,,,,,,,,,,,,,Q
Kyle Williams,,,,,,,,,,,,,Q,,Q,,
Jerel Worthy,O,O,O,,,,,,,,,,,,,,
Shareece Wright,,,,,Q,,,,,,,,,,,O,O
Eddie Yarbrough,,,,,,,,,,,,Q,,,,,
T.J. Yates,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,,IR
