Player,09/08vs. NYJ,09/15vs. NYG,09/22vs. CIN,09/29vs. NWE,10/06vs. TEN,10/20vs. MIA,10/27vs. PHI,11/03vs. WAS,11/10vs. CLE,11/17vs. MIA,11/24vs. DEN,11/28vs. DAL,12/08vs. BAL,12/15vs. PIT,12/21vs. NWE,12/29vs. NYJ,01/04vs. HOU
Maurice Alexander,,,,Q,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
Josh Allen,,,,,Q,,,,,,,,,,,,
Kurt Coleman,,,,,,,Q,Q,,,,,,,,,
Jason Croom,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Patrick DiMarco,,,,,Q,,,,,,,,,,,,
Jon Feliciano,,,,Q,,,,,,,,,,Q,,,
Cody Ford,,,,,,,,Q,,,,,,,,,
Robert Foster,,,,Q,Q,,,,,,,Q,,,,,
Jerry Hughes,,,,,,,,,,Q,,,,,,,
Kevin Johnson,,,,,,,Q,,,,,,,,,,
Taron Johnson,,O,O,Q,Q,Q,,,,,,,,,,,
Vosean Joseph,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tyler Kroft,D,Q,O,O,O,,,,,,,,,,,,
Shaq Lawson,,,,,,,,,,,,,,,,O,Q
Corey Liuget,,,,,,,,,,,,,,Q,Q,,
Spencer Long,,,,Q,,,,,,,,,,,,,
Mike Love,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dean Marlowe,,,,,Q,,,,,,,,,,,,
Isaiah McKenzie,,,,Q,,,,,,,,,,,,,
Matt Milano,,,,,,Q,Q,,,,,,,,,,
Mitch Morse,,,,,,,,,,,,Q,,,,,
Siran Neal,,,,,,,,,,,O,,,,,,
Ty Nsekhe,,,,,Q,,,,,,O,O,O,O,O,Q,Q
Harrison Phillips,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Andre Roberts,O,O,,,,,,,,,,,,,,O,Q
Devin Singletary,,,O,Q,Q,,,,,,,,,,,,
Corey Thompson,,,Q,O,O,Q,Q,,,,,,,,,,
LaAdrian Waddle,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Levi Wallace,,,,,,,,Q,,,,,,,,,Q
Duke Williams,,,,,,,Q,,,,,,,,,,
