Player,09/13vs. NYJ,09/20vs. MIA,09/27vs. LAR,10/04vs. LVR,10/13vs. TEN,10/19vs. KAN,10/25vs. NYJ,11/01vs. NWE,11/08vs. SEA,11/15vs. ARI,11/29vs. LAC,12/07vs. SFO,12/13vs. PIT,12/19vs. DEN,12/28vs. NWE,01/03vs. MIA,01/09vs. IND,01/16vs. BAL,01/24vs. KAN
Mario Addison,,,,Q,,,,,,,,,,,,,,,
Cole Beasley,,,,,,,,,,,,,,,,O,Q,,
Isiah Brown,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,
John Brown,,,,,Q,Q,O,,,,O,IR,IR,IR,IR,C19,,,
Vernon Butler,Q,,,,,,,Q,Q,,,,,,,,,,Q
Gabriel Davis,,,,,,,,,,,,,,,,,,,Q
Stefon Diggs,,,,,,,,,,,,,,,,,Q,,
Tyrel Dodson,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,
Tremaine Edmunds,,O,Q,,,,,,,,,,,,,,,,
Jon Feliciano,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,
Cody Ford,,,,,Q,,O,O,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jake Fromm,,,,,Q,,,,,,,,,,,,,,
E.J. Gaines,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Reggie Gilliam,,,,,,,,,,,,,,,O,O,,,
Isaiah Hodgins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jerry Hughes,,,,,,,,Q,,,,,,,,,,,
Micah Hyde,,,,,,,,Q,,Q,,,,,,,,,
Quinton Jefferson,,,,,,,,Q,,,,,,,,,,,
Darryl Johnson,,,,,,,,,Q,,,,,,,,,Q,
Jaquan Johnson,,,,,,,,,,,,,O,O,Q,,,,
Taron Johnson,,,Q,,,,,,,,,,,,,,,,
Taiwan Jones,,,,,,,,,O,O,,,,,,,,,
Dawson Knox,,,O,,,O,O,C19,C19,,,,,,,,,,
Tyler Kroft,,,,,,,,,,C19,,,,,,C19,C19,,
Cameron Lewis,,,,,,,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Star Lotulelei,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dean Marlowe,,,,,,,,,,C19,,,,,,,,,
Matt Milano,,O,Q,,O,Q,Q,Q,IR,IR,IR,IR,,,,,,,
Mitch Morse,,,,,,,,,O,,,,,,,,,,
Zack Moss,,,O,Q,Q,,,,,,,,,,,,,IR,IR
Josh Norman,O,IR,IR,IR,,,O,O,O,C19,C19,,,,,,,,
Ty Nsekhe,,,,,,,,,,,,,,,Q,,,,
Del'Shawn Phillips,,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Andre Roberts,,,,,Q,,,,,,,,,,,,,,
Niles Scott,//,,,,,,,,,,,,,,,,,,
Lee Smith,,,,,,,C19,C19,,,,,,Q,,,,,
Quinton Spain,,,,,,Q,,,,,,,,,,,,,
Tommy Sweeney,PUP,PUP,PUP,PUP,PUP,PUP,PUP,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19
Levi Wallace,,,,,IR,IR,IR,IR,,C19,,,,,,,,,
Tre'Davious White,,,,,Q,Q,Q,,,,,,,,,,,,
Brian Winters,,,,,Q,,,Q,,,,,,,,,,,
T.J. Yeldon,,,,,,,,,O,,,,,,,C19,C19,,
