Player,09/08vs. SEA,09/15vs. BUF,09/22vs. NYG,10/06vs. ARI,10/13vs. MIN,10/20vs. STL,10/24vs. TAM,11/03vs. ATL,11/10vs. SFO,11/18vs. NWE,11/24vs. MIA,12/01vs. TAM,12/08vs. NOR,12/15vs. NYJ,12/22vs. NOR,12/29vs. ATL,01/12vs. SFO
Joe Adams,IR,IR,,,,,,,,,,,,,,,
Kenjon Barner,O,D,D,,D,P,,,,,,,,,,,
Jon Beason,P,P,P,,,,,,,,,,,,,,
Chase Blackburn,,,,,,,P,Q,Q,O,O,Q,Q,,,Q,
Jeff Byers,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bruce Campbell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
D.J. Campbell,IR,,,,,,,,,,,,,,,,
Nate Chandler,,,,,,,,,,,,,P,P,,,
Jimmy Clausen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Colin Cole,,,,,P,,,,,,,,,,D,O,
Thomas Davis,,,P,,,,,P,,,,,,,,,
James Dockery,O,O,Q,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR
Dwan Edwards,Q,P,Q,O,D,D,D,P,,P,,,,P,,,
Drayton Florence,,,,,,,,,,Q,P,,,,,,
Linden Gaydosh,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
David Gettis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Charles Godfrey,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jordan Gross,,,,,,,,,,,,,,P,,,
Greg Hardy,,,,P,,,,,,,P,,,,,,
Ben Hartsock,P,P,P,,,,,,,O,O,D,P,,,,
Domenik Hixon,Q,P,,,,,,,,,,,,,,,
Charles Johnson,,,,,,,,P,,Q,D,O,P,,,,
Frank Kearse,IR,IR,,,,,,,,,,,,,,,
Edmund Kugbila,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon LaFell,,,,,,,P,,,,,,,,,,
Robert Lester,,,,,D,P,,,,,,,,,,Q,
Marvin McNutt,,,,,,,,O,,,,,,,,,
Quintin Mikell,,,O,O,P,,,,,,,,,,,,
Mike Mitchell,D,P,,,,,,,,,,,,,,,
D.J. Moore,,,O,O,O,O,O,,,,,,,,,,
Haruki Nakamura,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cam Newton,,,,,,,,,,,,,,Q,,P,
Josh Norman,,,,,,,,,,,,,,,,,
Greg Olsen,,,,,P,P,P,,,,,,,P,P,,
Kealoha Pilares,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Anderson Russell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Scott,,,,,,,,,O,O,O,O,O,P,,,
Jordan Senn,,,,,,,,,,,,,D,P,,,
Kawann Short,,,,P,,,,,,,,,,,,,
Amini Silatolu,Q,Q,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Steve Smith,,,Q,,,,P,,,Q,,P,,,P,D,
Jonathan Stewart,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,Q,P,O,O,O,
Josh Thomas,,,O,,,,Q,P,,,,,,,,,
Mike Tolbert,P,,P,,,,,,,P,,Q,P,,,,
R.J. Webb,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Travelle Wharton,,,,,,,,,,,,,,P,,,
Melvin White,,,,,,P,,,,,,,,,,,
DeAngelo Williams,,,,,,,,P,,,,P,P,,,,
Garry Williams,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Michael Zordich,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
