Player,09/07vs. TAM,09/14vs. DET,09/21vs. PIT,09/28vs. BAL,10/05vs. CHI,10/12vs. CIN,10/19vs. GNB,10/26vs. SEA,10/30vs. NOR,11/10vs. PHI,11/16vs. ATL,11/30vs. MIN,12/07vs. NOR,12/14vs. TAM,12/21vs. CLE,12/28vs. ATL,01/03vs. ARI,01/10vs. SEA
Mario Addison,,,,,,,,,,,,,P,,,,,
Frank Alexander,S,S,S,S,S,S,S,S,S,S,S,S,S,S,Q,,,
Derek Anderson,,,,,,,,,,,,,,,,,P,
Jason Avant,,,P,,,,,,,,,,,,,,,
Byron Bell,,,P,,,P,,P,O,,,,,,,,,
Kelvin Benjamin,,,P,,,,Q,,,,,,,,,,,
Bene Benwikere,,,,,,O,D,O,O,O,O,P,,,,,,
Chase Blackburn,,,,,,,D,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Matt Blanchard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,
Tre Boston,,,,,,,,,,,,,,,,,,
Richie Brockel,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Corey Brown,,,P,,,,,D,O,O,,P,,P,,,,Q
Carrington Byndom,,,,,,,,,,,,,,P,O,Q,,
Nate Chandler,,,P,,,,,P,P,,P,IR,IR,IR,IR,IR,IR,IR
Jerricho Cotchery,,,O,P,,,,,,,P,,,,,,,
Thomas Davis,,,P,Q,P,P,,,,,,,,,,,,
Thomas DeCoud,,,,,,,,,O,,,,,,,,D,Q
Ed Dickson,,,,,Q,,,,,,,,,,,,,
Kony Ealy,,,,,,,,,,,,,P,,,,,
Dwan Edwards,,,P,,,,,,,P,,,,,,,,
Charles Godfrey,,,,P,,,,,,,,,,,,,,
Greg Hardy,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Roman Harper,,,,P,,,,,,,,,,,P,,,
Kevin Hughes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
D.C. Jefferson,S,S,S,S,,,,,,,,,,,,,,
Charles Johnson,,,,,Q,Q,,,,,,Q,,,,,,
Ryan Kalil,,,,,,,,,,,,,P,,,,,
A.J. Klein,,,,,,,,,,,,,,P,O,O,O,P
Edmund Kugbila,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Star Lotulelei,,,,,,,,,,,O,O,P,,,,,O
Kevin Matthews,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cam Newton,P,P,,,,,,,,,,,,O,P,,,P
Josh Norman,,,,,,O,O,Q,,,,,,,,,P,
Andrew Norwell,,,,,,,,,,,,P,,,,,,
Chris Ogbonnaya,,,,,,,,Q,,,,,,,,,,
Greg Olsen,,,P,,,Q,P,,,,,,Q,P,,,,
De'Andre Presley,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,IR,IR,IR
Darrin Reaves,,,,,,P,Q,,,,,,,,,,,
Chris Scott,,,,,,,,,,,,,,P,,,,
Kawann Short,,,,,,,,,Q,P,P,,,,,,,
Amini Silatolu,,,,,,,D,O,O,,D,O,O,O,O,Q,,
Jonathan Stewart,,,,O,D,O,P,,,,P,,,P,,,,
Mike Tolbert,,,P,IR,IR,IR,IR,IR,IR,IR,IR,P,,,,,,
Trai Turner,,,,,,,,O,O,O,P,,,,,,,
Melvin White,,,,,P,,,,,,O,,,,,,,P
Fozzy Whittaker,,,D,D,O,,D,O,O,,,,,,,,,
Brandon Williams,,,,,,,,,,,Q,,,,,,,
DeAngelo Williams,,O,O,P,O,O,D,O,P,,P,,O,D,O,O,P,
Garry Williams,,O,P,D,,,,,,,,,,,,,,
Jason Williams,,O,,,,,,Q,P,,,,,,,,,
