Player,09/10vs. SFO,09/17vs. BUF,09/24vs. NOR,10/01vs. NWE,10/08vs. DET,10/12vs. PHI,10/22vs. CHI,10/29vs. TAM,11/05vs. ATL,11/13vs. MIA,11/26vs. NYJ,12/03vs. NOR,12/10vs. MIN,12/17vs. GNB,12/24vs. TAM,12/31vs. ATL,01/07vs. NOR
Mario Addison,,,,,Q,,,,,,,,,,Q,,
Derek Anderson,,,,,,,,,,,,,,,,,Q
Alex Armah,,,,,,,,Q,,,,,,,,,
Kelvin Benjamin,,,,,,,Q,,,,,,,,,,
Brenton Bersin,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
Vernon Butler,D,,,,,,,,,,,,,,,,
Damiere Byrd,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,IR,IR
Jeremy Cash,,,O,O,,,,,,,,,,,,,
Kaelin Clay,,,,,,,,,,,,,Q,,,,
Kurt Coleman,,,,,O,O,Q,Q,,,,,,,,Q,
Demetrious Cox,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Thomas Davis,,,,,,,,,,,,Q,,,,,
Ed Dickson,,,,,,,,Q,,,,,,,,,
Travell Dixon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Corn Elder,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dan France,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Devin Funchess,,,,,,,,,,,,,Q,Q,Q,,Q
Graham Gano,,,,,,,Q,Q,,,,,,,,,
Gino Gradkowski,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ladarius Gunter,,,,,,,,,,,,,,,,Q,
Daeshon Hall,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Drew Iddings,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Charles Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Charles Johnson,,,,,,,Q,,,,,IR,IR,IR,IR,,IR
Matt Kalil,,,,,Q,,,,,,,,,,,,Q
Ryan Kalil,,,O,O,O,O,Q,O,O,O,Q,Q,Q,,,,
Luke Kuechly,,,,,,,O,Q,,,,,,,,,
Tyler Larsen,,,,,,,,,,,Q,,Q,Q,Q,,
Kyle Love,Q,,,,,,,,,,,,,,,,
Cole Luke,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Manhertz,,,,,,,,,,,,,,,,,IR
Dean Marlowe,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Christian McCaffrey,,,,,,,,,,,,Q,,,,,
L.J. McCray,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Captain Munnerlyn,,,,,,,,,,,Q,,,,,,
Cam Newton,Q,,Q,,,,,,,,,,,,,,
Jared Norris,O,,,,,,,,,,,,IR,IR,IR,IR,IR
Greg Olsen,,,IR,IR,IR,IR,IR,IR,IR,IR,,Q,Q,,,,
Julius Peppers,,,,,Q,,,,,,,,,,,,
Curtis Samuel,,,,O,,,,,,,IR,IR,IR,IR,IR,IR,IR
Chris Scott,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Russell Shepard,,,,,,,,,,,,,,,Q,,
Scott Simonson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
John Theus,,,,,,,IR,IR,IR,IR,IR,O,IR,IR,IR,IR,IR
Shaq Thompson,,,,,,,,,,,,Q,O,O,Q,,
Trai Turner,,,,,,,,,Q,,,,,O,O,Q,Q
Greg Van Roten,,,,,,,Q,,,,,,,,,,
Fozzy Whittaker,,,,,,,O,O,Q,,,,,,,,
Teddy Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Daryl Worley,,,,O,,,,,,,,,,,,,
David Yankey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
