Player,09/13vs. LVR,09/20vs. TAM,09/27vs. LAC,10/04vs. ARI,10/11vs. ATL,10/18vs. CHI,10/25vs. NOR,10/29vs. ATL,11/08vs. KAN,11/15vs. TAM,11/22vs. DET,11/29vs. MIN,12/13vs. DEN,12/19vs. GNB,12/27vs. WAS,01/03vs. NOR
Eli Apple,IR,IR,IR,IR,O,Q,Q,,,,,,,,,
Omar Bayless,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Reggie Bonnafon,,,,,,,,,,O,IR,IR,IR,IR,IR,IR
Tre Boston,,,,,,,,,,,,,Q,Q,,
Teddy Bridgewater,,,,,,,,,,,Q,,,,,
Derrick Brown,,,,,,,,,,,,,C19,,,
Brian Burns,,,,,,,,,,,,,,,Q,D
Juston Burris,,,,,,,IR,IR,IR,IR,,,,,,
Jeremy Chinn,,,,,,,,,Q,Q,,,,,,
Dennis Daley,O,O,D,Q,,,,,,,,O,O,D,IR,IR
Mike Davis,,,,,,,,,,,,,,,,D
Rasul Douglas,,,,,,,C19,C19,C19,,Q,,Q,,,
Sam Franklin,,,,,,,,,,,Q,Q,Q,,,
Yetur Gross-Matos,,O,,,,IR,IR,IR,IR,Q,Q,C19,C19,,,Q
Marquis Haynes,,,,,,,,Q,Q,Q,Q,Q,Q,,,
Donte Jackson,,,,,,Q,Q,,,Q,D,D,,,,
Zach Kerr,,,,,,Q,,Q,Q,,,,C19,C19,C19,
Keith Kirkwood,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Luke Kuechly,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
Austin Larkin,,,,,,,,,,Q,,,,Q,Q,Q
Tyler Larsen,,,,,,C19,C19,C19,C19,,,,,,,
Greg Little,,,,,,,,,,,,,C19,,,
Jordan Mack,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Manhertz,,,,,,,,,,,Q,,,,,
Christian McCaffrey,,,IR,IR,IR,IR,IR,IR,IR,O,O,Q,D,D,D,D
Christian Miller,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
John Miller,,,,,,,Q,Q,,,D,Q,,,,
D.J. Moore,,,,,,,,,,,,,C19,C19,,
Efe Obada,,,,,,,,Q,,,,,Q,Q,,Q
Russell Okung,,,Q,Q,,,,D,D,O,D,Q,,Q,D,D
Michael Palardy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,C19,IR,IR,IR
Troy Pride Jr.,,,,,,,,,,,,,,,D,IR
Bravvion Roy,,,,,,,,,,,,,,,Q,
Curtis Samuel,,,,,,Q,Q,,,,,,C19,Q,,
Michael Schofield,,,,,,,C19,C19,C19,,,,,,,
Trenton Scott,,,,,,,C19,,,,,,,,,IR
Kawann Short,,O,D,,,,IR,,,,,,,,,
Joey Slye,,,,,,,C19,,,,,,,,,
Adarius Taylor,,,,,,,,,,IR,IR,IR,IR,,Q,
Ian Thomas,,,,,,,,,,,,,Q,,,
Stantley Thomas-Oliver,Q,,,,,,,,,,,,,,,
Shaq Thompson,,,,,,,,,,,,,C19,,,
Stephen Weatherly,Q,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Tahir Whitehead,,,,Q,,,,,,,Q,Q,,,,
Brandon Zylstra,,,,,,,,,,,,Q,,,,
