,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1920,2,164,12.6,7,21,1.6,2,12.9,0.1,10.73,5,-0.27
1921,1,128,11.6,7,53,4.8,4,9.8,1.2,2.95,7,-3.87
1922,2,123,10.3,6,44,3.7,2,11.0,1.0,6.14,5,-0.45
1923,2,123,10.3,5,35,2.9,2,11.4,0.6,5.13,2,-2.20
1924,2,136,12.4,3,55,5.0,5,9.8,1.2,7.51,5,.15
1925,7,158,9.3,7,96,5.6,6,13.0,4.0,3.18,4,-0.47
1926,2,216,13.5,2,63,3.9,4,15.2,0.8,8.13,1,-1.43
1927,3,149,10.6,4,98,7.0,4,10.2,3.8,5.35,4,1.70
1928,5,182,14.0,2,85,6.5,3,11.2,1.8,3.14,4,-4.32
1929,9,119,7.9,7,227,15.1,9,2.7,12.3,-5.39,9,1.81
1930,3,169,12.1,5,71,5.1,2,12.4,1.6,7.83,3,.83
1931,3,145,11.2,4,92,7.1,3,9.7,3.3,5.63,2,1.55
1932,1,160,11.4,1,44,3.1,1,13.4,0.6,7.76,1,-0.53
1933,1,133,10.2,4,82,6.3,2,9.9,3.1,6.90,2,2.98
1934,1,286,22.0,1,86,6.6,2,12.3,0.7,14.34,1,-1.05
1935,3,192,16.0,1,106,8.8,4,9.6,2.4,8.30,2,1.14
1936,2,222,18.5,3,94,7.8,1,10.6,1.4,11.02,2,.36
1937,1,201,18.3,2,100,9.1,1,9.2,1.8,9.74,2,.56
1938,3,194,17.6,2,148,13.5,4,7.2,3.8,4.08,3,-0.10
1939,2,298,27.1,1,157,14.3,5,9.0,2.0,12.23,1,-0.59
1940,1,238,21.6,2,152,13.8,4,8.2,2.8,9.03,1,1.21
1941,1,396,36.0,1,147,13.4,4,10.0,1.0,20.26,1,-2.38
1942,1,376,34.2,1,84,7.6,1,10.7,0.3,21.37,1,-5.18
1943,1,303,30.3,1,157,15.7,2,8.3,1.7,12.88,1,-1.72
1944,2,258,25.8,2,172,17.2,6,7.2,2.8,7.05,4,-1.55
1945,4,192,19.2,6,235,23.5,10,3.8,6.2,-2.95,7,1.35
1946,1,289,26.3,1,193,17.5,5,7.9,3.1,7.84,2,-0.89
1947,2,363,30.3,1,241,20.1,4,8.7,3.3,11.65,2,1.48
1948,2,375,31.3,3,151,12.6,1,10.8,1.2,17.34,1,-1.33
1949,2,332,27.7,4,218,18.2,3,8.8,3.2,9.84,4,.34
1950,1,279,23.3,5,207,17.3,5,8.0,4.0,2.34,6,-3.67
1951,4,286,23.8,4,282,23.5,8,6.1,5.9,-1.16,6,-1.50
1952,5,245,20.4,8,326,27.2,11,4.0,8.0,-6.75,11,-0.00
1953,4,218,18.2,6,262,21.8,7,4.7,7.3,-4.58,8,-0.91
1954,2,301,25.1,5,279,23.3,8,6.5,5.5,4.71,5,2.88
1955,2,294,24.5,2,251,20.9,7,7.1,4.9,-0.01,6,-3.60
1956,1,363,30.3,1,246,20.5,7,8.6,3.4,10.04,1,.29
1957,5,203,16.9,9,211,17.6,3,5.7,6.3,-0.58,8,.08
1958,2,298,24.8,4,230,19.2,4,7.8,4.2,5.86,3,.19
1959,2,252,21.0,7,196,16.3,2,7.7,4.3,5.42,3,.75
1960,5,194,16.2,11,299,24.9,11,3.2,8.8,-7.95,19,.80
1961,3,326,23.3,5,302,21.6,9,7.6,6.4,4.26,7,2.54
1962,3,321,22.9,4,287,20.5,5,7.9,6.1,6.06,5,3.63
1963,1,301,21.5,10,144,10.3,1,11.9,2.1,9.41,3,-1.80
1964,6,260,18.6,10,379,27.1,13,4.1,9.9,-4.64,18,3.86
1965,3,409,29.2,2,275,19.6,2,10.1,3.9,14.58,1,5.00
1966,5,234,16.7,13,272,19.4,7,5.8,8.2,-0.25,14,2.46
1967,2,239,17.1,13,218,15.6,4,7.8,6.2,3.03,6,1.53
1968,2,250,17.9,10,333,23.8,12,4.7,9.3,-5.03,16,.90
1969,4,210,15.0,16,339,24.2,12,3.4,10.6,-5.86,20,3.36
1970,4,256,18.3,16,261,18.6,10,6.8,7.2,2.20,8,2.56
1971,3,185,13.2,25,276,19.7,12,3.9,10.1,-3.36,16,3.14
1972,4,225,16.1,21,275,19.6,15,5.4,8.6,-1.34,16,2.23
1973,4,195,13.9,24,334,23.9,20,3.1,10.9,-8.80,24,1.13
1974,4,152,10.9,25,279,19.9,17,2.7,11.3,-10.31,25,-1.24
1975,3,191,13.6,24,379,27.1,25,2.3,11.7,-11.50,25,1.93
1976,2,253,18.1,17,216,15.4,8,8.3,5.7,4.57,9,1.93
1977,2,255,18.2,13,253,18.1,19,7.1,6.9,-3.59,18,-3.73
1978,4,253,15.8,20,274,17.1,9,7.2,8.8,-2.40,20,-1.09
1979,2,306,19.1,18,249,15.6,3,9.9,6.1,-0.04,14,-3.60
1980,3,304,19.0,17,264,16.5,4,9.3,6.7,1.41,13,-1.09
1981,5,253,15.8,27,324,20.3,14,5.7,10.3,-2.85,20,1.58
1982,5,141,15.7,22,174,19.3,13,3.4,5.6,-5.38,23,-1.72
1983,3,311,19.4,20,301,18.8,5,8.3,7.7,-1.08,15,-1.70
1984,1,325,20.3,16,248,15.5,3,10.5,5.5,4.73,9,-0.08
1985,1,456,28.5,2,198,12.4,1,14.1,1.9,15.94,1,-0.19
1986,1,352,22.0,13,187,11.7,1,13.1,2.9,7.60,2,-2.71
1987,1,356,23.7,9,282,18.8,4,9.5,5.5,3.81,6,-1.12
1988,1,312,19.5,18,215,13.4,1,11.3,4.7,6.60,2,.53
1989,4,358,22.4,10,377,23.6,20,7.5,8.5,-0.01,14,1.18
1990,1,348,21.8,10,280,17.5,9,10.0,6.0,3.42,10,-0.83
1991,2,299,18.7,14,269,16.8,9,9.0,7.0,.83,15,-1.04
1992,4,295,18.4,16,361,22.6,22,6.1,9.9,-3.49,21,.64
1993,4,234,14.6,24,230,14.4,3,8.2,7.8,-0.24,15,-0.49
1994,4,271,16.9,24,307,19.2,10,6.8,9.2,-1.92,17,.33
1995,3,392,24.5,8,360,22.5,22,8.8,7.2,2.35,10,.35
1996,3,283,17.7,26,305,19.1,12,7.3,8.7,-0.23,17,1.14
1997,5,263,16.4,28,421,26.3,29,4.0,12.0,-8.46,29,1.42
1998,5,276,17.3,25,368,23.0,23,5.4,10.6,-3.71,21,2.04
1999,5,272,17.0,25,341,21.3,20,5.9,10.1,-2.03,22,2.28
2000,5,216,13.5,28,355,22.2,20,3.8,12.2,-6.33,26,2.36
2001,1,338,21.1,11,203,12.7,1,12.3,3.7,7.91,2,-0.53
2002,3,281,17.6,27,379,23.7,25,5.3,10.7,-5.27,27,.86
2003,3,283,17.7,23,346,21.6,22,6.1,9.9,-3.54,24,.40
2004,4,231,14.4,32,331,20.7,13,4.8,11.2,-8.24,31,-1.99
2005,1,260,16.3,26,202,12.6,1,10.3,5.7,1.39,14,-2.23
2006,1,427,26.7,2,255,15.9,3,12.4,3.6,7.90,4,-2.85
2007,4,334,20.9,18,348,21.8,16,7.6,8.4,1.22,13,2.10
2008,2,375,23.4,14,350,21.9,16,8.7,7.3,2.11,15,.54
2009,3,327,20.4,19,375,23.4,21,6.7,9.3,-3.89,23,-0.89
2010,1,334,20.9,21,286,17.9,4,9.5,6.5,4.11,9,1.11
2011,3,353,22.1,17,341,21.3,14,8.3,7.7,1.66,11,.91
2012,3,375,23.4,16,277,17.3,3,10.8,5.2,6.95,6,.82
2013,2,445,27.8,2,478,29.9,30,7.3,8.7,-4.13,24,-2.07
2014,4,319,19.9,23,442,27.6,31,5.1,10.9,-6.71,27,.98
2015,4,335,20.9,23,397,24.8,20,6.4,9.6,-1.25,17,2.62
2016,4,279,17.4,28,399,24.9,24,4.8,11.2,-7.50,28,-0.00
2017,4,264,16.5,29,320,20.0,9,6.2,9.8,-1.29,17,2.21
2018,1,421,26.3,9,283,17.7,1,11.5,4.5,6.28,5,-2.34
2019,3,280,17.5,29,298,18.6,4,7.4,8.6,-0.89,18,.23
2020,2,372,23.3,22,370,23.1,14,8.1,7.9,.24,16,.11
2021,1,34,17.0,28,51,25.5,18,0.6,1.4,-3.00,18,5.50
