,Week,Day,Date,Time,Outcome,OT,Rec,Home,Opp,Score_Tm,Score_Opp,Offense_1stD,Offense_TotYd,Offense_PassY,Offense_RushY,Offense_TO,Defense_1stD,Defense_TotYd,Defense_PassY,Defense_RushY,Defense_TO,Year,Expected Points_Offense,Expected Points_Defense,Expected Points_Sp. Tms
0,2,Sun,October 3,,W,False,1-0,True,Moline Universal Tractors,20.0,0.0,,,,,,,,,,,1920,,,
1,3,Sun,October 10,,W,False,2-0,True,Kewanee Walworths,25.0,7.0,,,,,,,,,,,1920,,,
2,4,Sun,October 17,,W,False,3-0,False,Rock Island Independents,7.0,0.0,,,,,,,,,,,1920,,,
3,5,Sun,October 24,,W,False,4-0,False,Chicago Tigers,10.0,0.0,,,,,,,,,,,1920,,,
4,6,Sun,October 31,,W,False,5-0,False,Rockford A.C.,29.0,0.0,,,,,,,,,,,1920,,,
5,7,Sun,November 7,,T,False,5-0-1,False,Rock Island Independents,0.0,0.0,,,,,,,,,,,1920,,,
6,8,Thu,November 11,,W,False,6-0-1,False,Champaign Legion,20.0,0.0,,,,,,,,,,,1920,,,
7,8,Sun,November 14,,W,False,7-0-1,False,Minneapolis Marines,3.0,0.0,,,,,,,,,,,1920,,,
8,9,Sun,November 21,,W,False,8-0-1,True,Hammond Pros,28.0,7.0,,,,,,,,,,,1920,,,
9,10,Thu,November 25,,W,False,9-0-1,False,Chicago Tigers,6.0,0.0,,,,,,,,,,,1920,,,
10,10,Sun,November 28,,L,False,9-1-1,False,Chicago Cardinals,6.0,7.0,,,,,,,,,,,1920,,,
11,11,Sun,December 5,,W,False,10-1-1,False,Chicago Cardinals,10.0,0.0,,,,,,,,,,,1920,,,
12,12,Sun,December 12,,T,False,10-1-2,True,Akron Pros,0.0,0.0,,,,,,,,,,,1920,,,
13,3,Mon,October 10,,W,False,1-0,True,Rock Island Independents,14.0,10.0,,,,,,,,,,,1921,,,
14,4,Sun,October 16,,W,False,2-0,True,Rochester Jeffersons,16.0,13.0,,,,,,,,,,,1921,,,
15,5,Sun,October 23,,W,False,3-0,True,Dayton Triangles,7.0,0.0,,,,,,,,,,,1921,,,
16,7,Sun,November 6,,W,False,4-0,True,Detroit Tigers,20.0,9.0,,,,,,,,,,,1921,,,
17,8,Sun,November 13,,W,False,5-0,True,Rock Island Independents,3.0,0.0,,,,,,,,,,,1921,,,
18,9,Sun,November 20,,W,False,6-0,True,Cleveland Indians,22.0,7.0,,,,,,,,,,,1921,,,
19,10,Thu,November 24,,L,False,6-1,True,Buffalo All-Americans,6.0,7.0,,,,,,,,,,,1921,,,
20,10,Sun,November 27,,W,False,7-1,True,Green Bay Packers,20.0,0.0,,,,,,,,,,,1921,,,
21,11,Sun,December 4,,W,False,8-1,True,Buffalo All-Americans,10.0,7.0,,,,,,,,,,,1921,,,
22,12,Sun,December 11,,W,False,9-1,True,Canton Bulldogs,10.0,0.0,,,,,,,,,,,1921,,,
23,13,Sun,December 18,,T,False,9-1-1,True,Chicago Cardinals,0.0,0.0,,,,,,,,,,,1921,,,
24,1,Sun,October 1,,W,False,1-0,False,Racine Legion,6.0,0.0,,,,,,,,,,,1922,,,
25,2,Sun,October 8,,W,False,2-0,False,Rock Island Independents,10.0,6.0,,,,,,,,,,,1922,,,
26,3,Sun,October 15,,W,False,3-0,True,Rochester Jeffersons,7.0,0.0,,,,,,,,,,,1922,,,
27,4,Sun,October 22,,W,False,4-0,True,Buffalo All-Americans,7.0,0.0,,,,,,,,,,,1922,,,
28,5,Sun,October 29,,L,False,4-1,True,Canton Bulldogs,6.0,7.0,,,,,,,,,,,1922,,,
29,6,Sun,November 5,,W,False,5-1,True,Dayton Triangles,9.0,0.0,,,,,,,,,,,1922,,,
30,7,Sun,November 12,,W,False,6-1,True,Oorang Indians,33.0,6.0,,,,,,,,,,,1922,,,
31,8,Sun,November 19,,W,False,7-1,True,Rock Island Independents,3.0,0.0,,,,,,,,,,,1922,,,
32,9,Sun,November 26,,W,False,8-1,True,Akron Pros,20.0,10.0,,,,,,,,,,,1922,,,
33,10,Thu,November 30,,L,False,8-2,False,Chicago Cardinals,0.0,6.0,,,,,,,,,,,1922,,,
34,10,Sun,December 3,,W,False,9-2,True,Toledo Maroons,22.0,0.0,,,,,,,,,,,1922,,,
35,11,Sun,December 10,,L,False,9-3,False,Chicago Cardinals,0.0,9.0,,,,,,,,,,,1922,,,
36,1,Sun,September 30,,L,False,0-1,False,Rock Island Independents,0.0,3.0,,,,,,,,,,,1923,,,
37,2,Sun,October 7,,W,False,1-1,False,Racine Legion,3.0,0.0,,,,,,,,,,,1923,,,
38,3,Sun,October 14,,W,False,2-1,False,Green Bay Packers,3.0,0.0,,,,,,,,,,,1923,,,
39,4,Sun,October 21,,L,False,2-2,True,Canton Bulldogs,0.0,6.0,,,,,,,,,,,1923,,,
40,5,Sun,October 28,,W,False,3-2,True,Buffalo All-Americans,18.0,3.0,,,,,,,,,,,1923,,,
41,6,Sun,November 4,,W,False,4-2,True,Oorang Indians,26.0,0.0,,,,,,,,,,,1923,,,
42,7,Sun,November 11,,W,False,5-2,True,Akron Pros,20.0,6.0,,,,,,,,,,,1923,,,
43,8,Sun,November 18,,W,False,6-2,True,Rock Island Independents,7.0,3.0,,,,,,,,,,,1923,,,
44,9,Sun,November 25,,W,False,7-2,True,Hammond Pros,14.0,7.0,,,,,,,,,,,1923,,,
45,10,Thu,November 29,,W,False,8-2,True,Chicago Cardinals,3.0,0.0,,,,,,,,,,,1923,,,
46,10,Sun,December 2,,T,False,8-2-1,True,Milwaukee Badgers,0.0,0.0,,,,,,,,,,,1923,,,
47,11,Sun,December 9,,W,False,9-2-1,True,Rock Island Independents,29.0,7.0,,,,,,,,,,,1923,,,
48,1,Sun,September 28,,T,False,0-0-1,False,Rock Island Independents,0.0,0.0,,,,,,,,,,,1924,,,
49,2,Sun,October 5,,L,False,0-1-1,False,Cleveland Bulldogs,14.0,16.0,,,,,,,,,,,1924,,,
50,3,Sun,October 12,,T,False,0-1-2,True,Racine Legion,10.0,10.0,,,,,,,,,,,1924,,,
51,4,Sun,October 19,,W,False,1-1-2,True,Chicago Cardinals,6.0,0.0,,,,,,,,,,,1924,,,
52,5,Sun,October 26,,W,False,2-1-2,True,Frankford Yellow Jackets,33.0,3.0,,,,,,,,,,,1924,,,
53,6,Sun,November 2,,T,False,2-1-3,True,Rock Island Independents,3.0,3.0,,,,,,,,,,,1924,,,
54,7,Sun,November 9,,W,False,3-1-3,True,Columbus Tigers,12.0,6.0,,,,,,,,,,,1924,,,
55,8,Sun,November 16,,T,False,3-1-4,True,Racine Legion,3.0,3.0,,,,,,,,,,,1924,,,
56,9,Sun,November 23,,W,False,4-1-4,True,Green Bay Packers,3.0,0.0,,,,,,,,,,,1924,,,
57,10,Thu,November 27,,W,False,5-1-4,False,Chicago Cardinals,21.0,0.0,,,,,,,,,,,1924,,,
58,10,Sun,November 30,,W,False,6-1-4,True,Milwaukee Badgers,31.0,14.0,,,,,,,,,,,1924,,,
59,1,Sun,September 20,,T,False,0-0-1,False,Rock Island Independents,0.0,0.0,,,,,,,,,,,1925,,,
60,2,Sun,September 27,,L,False,0-1-1,False,Green Bay Packers,10.0,14.0,,,,,,,,,,,1925,,,
