Player,09/13vs. GNB,09/20vs. PIT,09/27vs. SEA,10/04vs. DET,10/18vs. ATL,10/25vs. CIN,11/01vs. CLE,11/08vs. ARI,11/12vs. SFO,11/22vs. PHI,11/29vs. MIN,12/06vs. STL,12/13vs. GNB,12/20vs. BAL,12/28vs. MIN,01/03vs. DET
Anthony Adams,,,,P,P,,,,,,,,,,,
Gaines Adams,,,,,,,,,,,,,,,Q,
Al Afalava,,P,,,,,P,,Q,P,,,,,O,D
Mark Anderson,,P,,,,,,,,,,,,,,
Devin Aromashodu,O,,,,,,,,,,,,,,,
Zackary Bowman,,,,,,,P,,,,Q,,,P,,
Lance Briggs,,,,P,,,P,P,,,P,D,P,,P,P
Alex Brown,,,P,P,,,,,,,P,P,,,,
Josh Bullocks,,,,,,P,,,,,,,,,,
Desmond Clark,,D,D,P,,,,,P,D,D,O,,,P,
Kellen Davis,,,,,,,,,,,P,,,,,
Dusty Dvoracek,IR,IR,,,,,,,,,,,,,,
Matt Forte,,,,P,,,,,,,,,,,,
Roberto Garza,,,,,,,,,,,P,,,,,
Corey Graham,,,,,,P,,,,,,,,,,
Tommie Harris,,P,P,P,P,D,P,P,P,P,P,P,P,P,P,P
Devin Hester,,,,,,,,P,,,,,O,D,O,Q
Hunter Hillenmeyer,,,,D,D,P,,,,,,,P,,,
Israel Idonije,P,,P,P,P,P,P,P,,,,,P,,,IR
Kevin Jones,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Johnny Knox,,,,,,,,,,,,,,,,D
Olin Kreutz,,,,,,,,,,P,,,,,,
Patrick Mannelly,,,,P,,,,,,,,,,,,
Danieal Manning,,P,,,,,P,P,,,,,,,,D
Brad Maynard,,,,,,,,,,,,,,,P,
Trumaine McBride,,D,,,,,,,,,,,,,,
Henry Melton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Adewale Ogunleye,,,,,,,P,P,,,,,,,IR,IR
Greg Olsen,,,,,,,,P,,,,,,,,
Frank Omiyale,,P,P,P,,,,,,,,,,,,
Orlando Pace,,,,,,,,,,,Q,D,O,O,P,
Kevin Payne,,,,,,P,,,O,D,P,,,,D,Q
Adrian Peterson,,,,,D,D,P,,,,,,,,Q,
Craig Steltz,,,,,,,,P,,,,,,,,P
Charles Tillman,P,,,,,,,,P,,Q,P,,P,,IR
Pisa Tinoisamoa,,O,O,D,,O,O,O,O,O,O,IR,IR,IR,IR,IR
Matt Toeaina,,,,,,,D,O,P,,,,,,,
Brian Urlacher,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Williams,,,,,,,,,,,,,,,Q,
Jamar Williams,,,,,,,,,,,,,,P,,
Garrett Wolfe,,,,,,,,,Q,O,IR,IR,IR,IR,IR,IR
