Player,09/12vs. DET,09/19vs. DAL,09/27vs. GNB,10/03vs. NYG,10/10vs. CAR,10/17vs. SEA,10/24vs. WAS,11/07vs. BUF,11/14vs. MIN,11/18vs. MIA,11/28vs. PHI,12/05vs. DET,12/12vs. NWE,12/20vs. MIN,12/26vs. NYJ,01/02vs. GNB,01/16vs. SEA,01/23vs. GNB
Anthony Adams,,,,,,,,,,,,,,,,,Q,
Devin Aromashodu,,Q,,,,,,,,,,,,,,,,
Earl Bennett,P,P,,,,,,,,,,,,,Q,O,,
Zackary Bowman,,,,,,,D,O,Q,P,,,,,P,,,
Lance Briggs,P,P,P,,,O,,P,,,,,,,P,,,
Desmond Clark,P,,,,,,,O,,,,,,,,,,
Todd Collins,,,,,P,,,,,,,,,,,,,
Jay Cutler,,,,,O,P,,,,,,,,,,,,
Rashied Davis,,,,,,,,,,P,,Q,,,,,,
Matt Forte,,P,,,,,,,,,,,,,,,,
Roberto Garza,,,,P,,O,D,P,,,,,,,,,,
Corey Graham,,,,,,,,,,,,,,,P,,,
Chris Harris,,,,P,,,P,,,,,,,,,,,Q
Devin Hester,,,,,,,,,,P,,,,,,,,
Hunter Hillenmeyer,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Israel Idonije,,,P,P,,,,,,,,,,,,,,P
Brian Iwuh,,,P,,,,,,,,,,,,,,,
Tim Jennings,,,,,,,,,Q,,,,,,,,,
Johnny Knox,,,,,,,,,,P,,,,,,,,
Olin Kreutz,,,,,,,,,P,,,,,,,,,
Lance Louis,,,,,Q,,,,,,,,,,,,,
Danieal Manning,,,,,,,P,,,,,,,,,,,
D.J. Moore,,,,,,,,,Q,,,,,,,,,
Nick Roach,,O,P,,,,,,,,,,P,,,,,
Craig Steltz,O,,,,,,,,,,,,,,P,,,
Chester Taylor,,,,,,,,,,,,,Q,,,,,
Charles Tillman,,,,,,P,,,,,,,,,P,,,
Pisa Tinoisamoa,,,,,,,,,,O,Q,O,O,O,P,Q,Q,Q
Harvey Unga,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brian Urlacher,,,,,,P,P,,,,,,,,,,,
Chris Williams,,,O,O,O,P,,,,,,,,,,,,
Edwin Williams,,,,,,,,O,,,,,,,,,,
Major Wright,P,,O,O,O,O,O,,,,,,,,P,,,
