Player,09/07vs. BUF,09/14vs. SFO,09/22vs. NYJ,09/28vs. GNB,10/05vs. CAR,10/12vs. ATL,10/19vs. MIA,10/26vs. NWE,11/09vs. GNB,11/16vs. MIN,11/23vs. TAM,11/27vs. DET,12/04vs. DAL,12/15vs. NOR,12/21vs. DET,12/28vs. MIN
Jared Allen,,,P,Q,P,,,,,,,,,,,Q
David Bass,,,,,,,,,,,,,,,,P
Martellus Bennett,,,,,,,,P,P,P,,,P,,,
Taylor Boggs,,,,,,O,,,,,,,,,,
Jonathan Bostic,,,,,,O,O,D,P,,,,,,,
Lance Briggs,,,,,P,O,O,D,P,,,O,IR,IR,IR,IR
Eben Britton,,,,,,,,,D,O,O,O,Q,,,
Jermon Bushrod,,,,,O,O,P,,,,,,,,,
Jimmy Clausen,,,,,,,,,,,,,,,,O
Chris Conte,P,,,Q,,P,O,P,,,,,,D,O,O
Brian De La Puente,P,,,,,,,,,,,IR,IR,IR,IR,IR
Ahmad Dixon,,,,,O,O,O,,,,,,,,,
Shaun Draughn,Q,,,,,,,,,,,,,,,
David Fales,O,O,,,,,,,,,,,,,,
Ego Ferguson,,,,,,,,,,,P,,,,,Q
Tony Fiammetta,Q,O,,Q,,,,,,,,,,,,
Kyle Fuller,,,,,,,,D,P,,,Q,,,P,
Roberto Garza,Q,O,O,O,D,P,,,,,,,,,,
Robbie Gould,,,,,,,,,,,,,Q,Q,O,O
Lamarr Houston,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Demontre Hurst,,,,,,,,,,,Q,,,,,
Alshon Jeffery,,Q,P,,,,,,,,P,,P,,,
Tim Jennings,,,,,,,,,,P,,,P,,Q,
Kyle Long,,,,,,,,,,,,,P,,Q,P
Al Louis-Jean,,,,,,,,,,,,,,,,O
Brandon Marshall,,Q,P,Q,P,,,,,P,P,P,,IR,IR,IR
Shea McClellin,,,O,O,O,O,P,,,,,,,,P,
Danny McCray,,,,,,,,O,P,,,,,,,
Sherrick McManis,,,O,O,D,O,P,,,,,,,,,
Zach Miller,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jordan Mills,P,,,,,,P,O,P,D,O,P,,,,
Terrance Mitchell,,,,,,,,,,O,Q,,,,,
Josh Morgan,,D,P,,,,,,,O,P,,,,,
Ryan Mundy,,,,P,,,,,,,,,,,,
Michael Ola,,,,,,,,,,,,,,Q,Q,
Jay Ratliff,,,O,O,O,P,,,,,,D,O,P,Q,Q
Trevor Scott,,,D,P,Q,,,,,O,O,D,P,,,
Darryl Sharpton,,,,,,,,,O,O,O,O,O,IR,IR,IR
Matt Slauson,Q,D,O,O,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR
Will Sutton,,,,,,,,,,,,,,,Q,
Charles Tillman,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brock Vereen,,,,,,,,,,,,P,,,,
Cornelius Washington,,,,,,,,,,P,,,D,Q,,
Chris Williams,,,,,,,,P,,,O,O,Q,,,
D.J. Williams,,,,,P,O,P,,,,,,,IR,IR,IR
Marquess Wilson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,P
Willie Young,,,,,,,,,,,,,,,,IR
