Player,09/13vs. GNB,09/20vs. ARI,09/27vs. SEA,10/04vs. OAK,10/11vs. KAN,10/18vs. DET,11/01vs. MIN,11/09vs. SDG,11/15vs. STL,11/22vs. DEN,11/26vs. GNB,12/06vs. SFO,12/13vs. WAS,12/20vs. MIN,12/27vs. TAM,01/03vs. DET
Sam Acho,O,P,,,,,,,,,,,Q,,,
Adrian Amos,,,,,,,,,,,,,,,Q,Q
Alan Ball,,,,Q,Q,,,,,,,,,,,
Josh Bellamy,,,,,,Q,,,,,,,,,,
Martellus Bennett,,,,,,Q,,,,,O,P,IR,IR,IR,IR
Jonathan Bostic,Q,O,D,,,,,,,,,,,,,
Jermon Bushrod,P,P,,O,O,Q,Q,Q,Q,P,,,,,,
Bryce Callahan,,,,,,,,Q,,,,,Q,D,Q,Q
Ka'Deem Carey,,,,,,,,,,,O,P,,,,
Jimmy Clausen,P,,,,Q,,,,,,,,,,,
Jay Cutler,,,O,Q,Q,,,,,,,P,,,,
Tayo Fabuluje,,,,,Q,,,,,,,,,,,
Ego Ferguson,,Q,Q,Q,,D,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Matt Forte,,,P,,,,,O,Q,Q,Q,,,,,Q
Bruce Gaston,,,,,,,Q,,,,,Q,,,,
Eddie Goldman,P,,,,,,,,,,,,,,,IR
Hroniss Grasu,,,,,,,Q,D,Q,P,,,,,,D
Alshon Jeffery,Q,Q,O,Q,Q,Q,,,Q,Q,Q,,,Q,IR,IR
Jarvis Jenkins,,,,,,,,,,,,,,,,Q
Kyle Long,,,,,Q,,,,,,,P,,,,
Sherrod Martin,,,,,,,,,,,Q,,,,,
Shea McClellin,,,,,Q,D,D,Q,Q,Q,,,P,,D,Q
Sherrick McManis,,P,,,Q,,,,,,,,,Q,,
Pernell McPhee,,Q,Q,,Q,Q,P,Q,Q,Q,Q,P,D,Q,Q,Q
Cameron Meredith,,,,,,,,P,,,,,,,,
Zach Miller,,,,,,,,Q,,,,Q,Q,Q,,Q
Terrance Mitchell,,,,,,D,,,,,,,,,,
Will Montgomery,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ryan Mundy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Pat O'Donnell,,,,Q,P,,,,,,,,,,,
Patrick Omameh,,,,,Q,Q,P,,,,,,,,,
Senorise Perry,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tracy Porter,O,O,Q,,,,,,Q,,,,Q,Q,Q,Q
Jay Ratliff,,,,Q,Q,Q,,,,,,,,,,
LaRoy Reynolds,,,,,,,,P,,,Q,,,,,
Jacquizz Rodgers,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Antrel Rolle,,,,,D,D,Q,,Q,IR,IR,IR,IR,IR,IR,IR
Eddie Royal,Q,,Q,,Q,Q,,O,O,O,O,Q,Q,,Q,D
Matt Slauson,,,P,,,,P,,,,,,,,,
Will Sutton,,,,Q,Q,Q,,,,,,,,Q,,
Mitch Unrein,,,,,,,,,P,,,,,,,Q
Cornelius Washington,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kevin White,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marquess Wilson,Q,,P,,,,,,,,,IR,O,IR,IR,IR
Willie Young,,,,,,,,,,,,,,,,Q
