Player,09/11vs. HOU,09/19vs. PHI,09/25vs. DAL,10/02vs. DET,10/09vs. IND,10/16vs. JAX,10/20vs. GNB,10/31vs. MIN,11/13vs. TAM,11/20vs. NYG,11/27vs. TEN,12/04vs. SFO,12/11vs. DET,12/18vs. GNB,12/24vs. WAS,01/01vs. MIN
Sam Acho,,,,,,Q,Q,,,,,,,,,
Mike Adams,,,,,,,,,,,,,IR,IR,IR,IR
Adrian Amos,,,Q,,,,,,,,,Q,,,,
Jonathan Anderson,,,,,,,,,,,,,Q,,,
Johnthan Banks,,,,,,,,,,,,,Q,Q,,
Lamin Barrow,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nick Becton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Josh Bellamy,Q,,,,,,,,,,,,Q,,,
Brandon Boykin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jonathan Bullard,,,,Q,Q,,,,,,,,,,,
Deon Bush,Q,,,,,,,,,,,,,,,Q
Bryce Callahan,Q,,Q,,,Q,Q,Q,Q,Q,,,,Q,Q,Q
Ka'Deem Carey,,,D,D,Q,Q,Q,,,,,,,,Q,
Jay Cutler,,,D,D,D,D,D,,,,IR,,IR,IR,IR,IR
Ego Ferguson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Leonard Floyd,,,,,Q,Q,Q,,,,O,Q,,,,D
Jerrell Freeman,,,,,,Q,Q,,,,,,,,,
Kyle Fuller,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Eddie Goldman,,,D,D,D,D,D,D,Q,Q,,,,IR,IR,IR
Hroniss Grasu,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Deiondre' Hall,,,,,D,O,O,O,O,D,Q,Q,,,,
Lamarr Houston,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brian Hoyer,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Christian Jones,,,,,,,,,,,Q,,,,,
Harold Jones-Quartey,,,,Q,,,,,,,,,,,,
Eric Kush,,,,,,,,,,,,,,,O,
Nick Kwiatkoski,,,,,Q,,,,,,,,,,,
Jeremy Langford,,,,D,D,D,D,Q,,,,,,,,
Paul Lasike,Q,,,,,,,,,,,,,,,
Cre'von LeBlanc,,,,,,,,,,,,,,,Q,Q
Charles Leno Jr.,,,,,Q,,,,,,,,,,,
Kyle Long,Q,,,,,Q,,IR,,IR,IR,IR,IR,IR,IR,IR
Danny Mason,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Bobby Massie,,,Q,,,Q,,,,D,,,,,,Q
Sherrick McManis,,,,Q,Q,,,,,,,,,,,
Pernell McPhee,IR,IR,IR,IR,IR,IR,,Q,Q,Q,,,,,,Q
Cameron Meredith,,,,,,,,Q,,,,,,,,
Zach Miller,,,,,Q,Q,Q,,,,IR,IR,IR,IR,IR,IR
Tracy Porter,,,Q,Q,Q,Q,Q,Q,Q,Q,,,,,,Q
Chris Prosinski,,,Q,,,,,,,,,,,,,
MyCole Pruitt,O,,Q,,,,,Q,,,,,,,,
Roy Robertson-Harris,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Eddie Royal,,,,,Q,Q,O,D,Q,Q,Q,IR,IR,IR,IR,IR
Connor Shaw,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Josh Sitton,,,Q,Q,,Q,D,Q,,Q,D,Q,,,,
Will Sutton,,,Q,,,,,,,IR,IR,IR,IR,IR,IR,IR
Deonte Thompson,Q,,,,,,,,,,,,,,,
Danny Trevathan,,,O,D,Q,,,,,,,IR,IR,IR,IR,IR
Mitch Unrein,,,,,,,,,Q,D,Q,,,,,
Kevin White,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marquess Wilson,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,,,Q,O,IR,IR
Willie Young,,,Q,Q,Q,Q,,,,Q,,Q,,,Q,Q
