Player,09/10vs. ATL,09/17vs. TAM,09/24vs. PIT,09/28vs. GNB,10/09vs. MIN,10/15vs. BAL,10/22vs. CAR,10/29vs. NOR,11/12vs. GNB,11/19vs. DET,11/26vs. PHI,12/03vs. SFO,12/10vs. CIN,12/16vs. DET,12/24vs. CLE,12/31vs. MIN
Adrian Amos,,,,,,,,,,,,D,D,Q,,
Prince Amukamara,D,Q,,,,,,,,,,,,,,
Josh Bellamy,,Q,,,,,,,,,D,,,,,
Deon Bush,,Q,,,,,,,,,,Q,,,,
Bryce Callahan,,,,,,,,,Q,Q,Q,Q,,,,
Ka'Deem Carey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tom Compton,,,Q,,,,,,Q,Q,Q,,,,Q,
Marcus Cooper,,,,,Q,,,,,,,,,,,
Benny Cunningham,,D,,,,,Q,Q,,,,,,,,
Quintin Demps,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Leonard Floyd,,Q,,,,,,,,,IR,IR,IR,IR,IR,IR
Jerrell Freeman,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Eddie Goldman,,,,,,,,,,,,,D,Q,,
Hroniss Grasu,,,,Q,Q,Q,Q,Q,,,,,,,,
Deiondre' Hall,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,IR
Akiem Hicks,,,,,,,,,,,Q,,,,,
Lamarr Houston,IR,IR,IR,IR,IR,,IR,,,,IR,,,,,
DeAndre Houston-Carson,,,,,,,,,,Q,D,Q,Q,Q,,Q
Jordan Howard,,Q,,,,,,,,,,,,,,
Dontrelle Inman,,,,,,,,,,,Q,,,,,
Isaiah Irving,,,,,,,,,,,,O,IR,IR,IR,IR
Christian Jones,,Q,,,,,,,,,,,,,,
Eric Kush,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nick Kwiatkoski,,,O,D,D,Q,Q,,,,,,,,,
Cre'von LeBlanc,,,,,,,,,,,,Q,,,,
Kyle Long,Q,Q,,,,,,,Q,,Q,,IR,IR,IR,IR
Bobby Massie,,,,,,,,,,,,,,,,D
Sherrick McManis,,,,,,,D,D,Q,,,,,,,
Pernell McPhee,Q,,,,,,,,,,Q,,D,,IR,IR
Cameron Meredith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Zach Miller,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Chris Prosinski,,,,,,,,,,,,,,,Q,IR
Rueben Randle,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Roy Robertson-Harris,,,,,,,,D,Q,,D,,,,,
Mark Sanchez,,,,,,,,,,,Q,,,,,
Cairo Santos,,,,,,,,,,,,,IR,IR,IR,IR
Patrick Scales,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Adam Shaheen,,,,,,,,,,,,,,Q,Q,Q
Dion Sims,,,,,,,,,Q,Q,Q,,,,,
Josh Sitton,,,D,Q,,,,,,,,Q,,,D,D
John Timu,,,,,,O,D,D,,,,,,,,
Danny Trevathan,,,,,,,,,Q,Q,D,,,,,
Mitch Unrein,,,,,,,,,,,Q,,IR,IR,IR,IR
Markus Wheaton,Q,Q,,,,O,O,D,,,,,,,,
Kevin White,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Willie Young,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
