,index,Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Year,Salary
0,0,Paul Robinson,18.0,24.0,RB,14,14.0,198.0,6-0,Arizona,12/19/1944,Rook,10.0,Cincinnati Bengals / 3rd / 82nd pick / 1968,1968,
1,1,Bob Trumpy,84.0,23.0,TE,14,11.0,228.0,6-6,"Illinois,Utah",3/6/1945,Rook,8.0,Cincinnati Bengals / 12th / 301st pick / 1968,1968,
2,2,Charlie King,47.0,25.0,DB,14,13.0,184.0,6-0,Purdue,1/7/1943,2,6.0,Baltimore Colts / 18th / 252nd pick / 1965,1968,
3,3,Bob Johnson,54.0,22.0,C,14,14.0,262.0,6-5,Tennessee,8/19/1946,Rook,6.0,Cincinnati Bengals / 1st / 2nd pick / 1968,1968,
4,4,Bobby Hunt,20.0,28.0,DB,14,13.0,185.0,6-1,Auburn,8/15/1940,6,6.0,Dallas Texans / 11th / 81st pick / 1962,1968,
5,5,Fletcher Smith,31.0,25.0,DB,14,14.0,178.0,6-0,Tennessee St.,10/10/1943,2,6.0,Kansas City Chiefs / 8th / 69th pick / 1966,1968,
6,6,Andy Rice,70.0,28.0,DT,14,14.0,268.0,6-2,Texas Southern,9/6/1940,2,6.0,,1968,
7,7,Howard Fest,72.0,22.0,G,14,14.0,262.0,6-6,Texas,4/11/1946,Rook,5.0,Cincinnati Bengals / 6th / 139th pick / 1968,1968,
8,8,Frank Buncom,55.0,29.0,LB,12,12.0,235.0,6-2,USC,11/2/1939,6,5.0,San Diego Chargers / 6th / 48th pick / 1962,1968,
9,9,Jim Griffin,76.0,26.0,DE,14,13.0,265.0,6-3,Grambling St.,2/8/1942,2,5.0,San Francisco 49ers / 15th / 197th pick / 1964,1968,
10,10,Harry Gunner,89.0,24.0,DE,14,13.0,250.0,6-6,Oregon St.,11/25/1944,Rook,5.0,Cincinnati Bengals / 8th / 193rd pick / 1968,1968,
11,11,Jess Phillips,30.0,21.0,RB,14,11.0,210.0,6-1,Michigan St.,2/28/1947,Rook,5.0,Cincinnati Bengals / 4th / 84th pick / 1968,1968,
12,12,Al Beauchamp,58.0,24.0,LB,14,11.0,237.0,6-2,Southern,6/25/1944,Rook,5.0,Cincinnati Bengals / 5th / 138th pick / 1968,1968,
13,13,Ernie Wright,75.0,29.0,T,14,14.0,270.0,6-4,Ohio St.,11/6/1939,8,5.0,Los Angeles Rams / 15th / 200th pick / 1961,1968,
14,14,Dale Livingston,11.0,23.0,K,12,0.0,210.0,6-0,"East. Michigan,Western Michigan",3/12/1945,Rook,4.0,Cincinnati Bengals / 3rd / 83rd pick / 1968,1968,
15,15,Bill Staley,83.0,22.0,DT,12,11.0,250.0,6-3,Utah St.,9/9/1946,Rook,4.0,Cincinnati Bengals / 2nd / 28th pick / 1968,1968,
16,16,Dave Middendorf,68.0,23.0,G,14,13.0,260.0,6-3,Washington St.,11/23/1945,Rook,4.0,Cincinnati Bengals / 5th / 112th pick / 1968,1968,
17,17,Warren McVea,42.0,22.0,RB,12,7.0,182.0,5-9,Houston,7/30/1946,Rook,4.0,Cincinnati Bengals / 4th / 109th pick / 1968,1968,
18,18,Rod Sherman,23.0,24.0,WR,13,13.0,190.0,6-0,"UCLA,USC",12/25/1944,1,4.0,Baltimore Colts / 4th / 54th pick / 1966,1968,
19,19,Pat Matson,73.0,24.0,G,14,12.0,245.0,6-1,Oregon,7/22/1944,2,4.0,,1968,
20,20,Sam Wyche,14.0,23.0,QB,3,3.0,218.0,6-4,Furman,1/5/1945,Rook,3.0,,1968,
21,21,John Stofa,15.0,26.0,QB,10,7.0,210.0,6-3,Buffalo,6/29/1942,2,3.0,,1968,
22,22,Sherrill Headrick,69.0,31.0,LB,8,6.0,240.0,6-2,TCU,3/13/1937,8,3.0,,1968,
23,23,Saint Saffold,27.0,24.0,SE,14,7.0,202.0,6-4,San Jose St.,5/18/1944,Rook,2.0,San Francisco 49ers / 15th / 222nd pick / 1966,1968,
