,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1968,5,215,15.4,9,329,23.5,6,3.7,10.3,-6.34,17,1.81
1969,5,280,20.0,6,367,26.2,10,4.8,9.2,-4.17,18,2.04
1970,1,312,22.3,7,255,18.2,9,8.6,5.4,.54,13,-3.53
1971,4,284,20.3,11,265,18.9,9,7.6,6.4,-0.55,13,-1.91
1972,3,299,21.4,13,229,16.4,5,9.1,4.9,4.12,11,-0.88
1973,1,286,20.4,11,231,16.5,11,8.7,5.3,3.03,9,-0.90
1974,3,283,20.2,10,259,18.5,13,7.7,6.3,2.19,11,.48
1975,2,340,24.3,9,246,17.6,6,9.6,4.4,6.87,7,.16
1976,2,335,23.9,6,210,15.0,7,10.5,3.5,10.12,3,1.20
1977,2,238,17.0,14,235,16.8,16,7.1,6.9,2.21,12,2.00
1978,4,252,15.8,21,284,17.8,12,6.9,9.1,-1.34,16,.66
1979,4,337,21.1,13,421,26.3,28,5.9,10.1,-1.31,18,3.94
1980,4,244,15.3,27,312,19.5,14,5.7,10.3,-3.69,21,.56
1981,1,421,26.3,3,304,19.0,12,10.9,5.1,5.51,4,-1.81
1982,1,232,25.8,4,177,19.7,15,5.9,3.1,3.63,9,-2.48
1983,3,346,21.6,16,302,18.9,6,9.3,6.7,.48,11,-2.27
1984,2,339,21.2,13,339,21.2,16,8.0,8.0,-1.17,17,-1.17
1985,2,441,27.6,3,437,27.3,26,8.1,7.9,-0.65,15,-0.90
1986,2,409,25.6,3,394,24.6,23,8.4,7.6,1.49,12,.55
1987,4,285,19.0,20,370,24.7,24,5.3,9.7,-3.70,23,1.97
1988,1,448,28.0,1,329,20.6,16,10.8,5.2,6.13,5,-1.30
1989,4,404,25.3,4,285,17.8,7,11.1,4.9,6.94,3,-0.50
1990,1,360,22.5,7,352,22.0,19,8.2,7.8,-1.10,16,-1.60
1991,4,263,16.4,23,435,27.2,28,3.7,12.3,-8.65,25,2.10
1992,4,274,17.1,18,364,22.8,24,5.4,10.6,-6.64,24,-1.02
1993,4,187,11.7,28,319,19.9,20,3.5,12.5,-8.43,27,-0.18
1994,3,276,17.3,23,406,25.4,26,4.6,11.4,-6.94,27,1.19
1995,3,349,21.8,14,374,23.4,24,7.3,8.7,-1.74,20,-0.18
1996,3,372,23.3,5,369,23.1,23,8.1,7.9,-0.14,15,-0.33
1997,4,355,22.2,10,405,25.3,27,6.8,9.2,-2.16,19,.97
1998,5,268,16.8,27,452,28.3,30,3.6,12.4,-11.04,29,.46
1999,5,283,17.7,24,460,28.8,31,3.8,12.2,-11.51,29,-0.45
2000,5,185,11.6,30,359,22.4,21,2.8,13.2,-10.47,29,.41
2001,6,226,14.1,31,309,19.3,14,5.2,10.8,-3.52,21,1.67
2002,4,279,17.4,28,456,28.5,32,3.8,12.2,-10.50,32,.56
2003,2,346,21.6,13,384,24.0,28,7.0,9.0,-2.40,21,-0.03
2004,3,374,23.4,10,372,23.3,21,8.1,7.9,2.67,11,2.54
2005,1,421,26.3,4,350,21.9,22,9.7,6.3,3.82,11,-0.62
2006,2,373,23.3,8,331,20.7,17,9.1,6.9,4.08,7,1.46
2007,3,380,23.8,11,385,24.1,24,7.9,8.1,-2.38,18,-2.07
2008,3,204,12.8,32,364,22.8,19,3.2,12.8,-6.97,27,3.03
2009,1,305,19.1,22,291,18.2,6,8.4,7.6,.66,16,-0.21
2010,4,322,20.1,22,395,24.7,24,6.1,9.9,-1.42,19,3.14
2011,3,344,21.5,18,323,20.2,9,8.6,7.4,.46,18,-0.85
2012,2,391,24.4,12,320,20.0,8,9.9,6.1,2.09,13,-2.35
2013,1,430,26.9,6,305,19.1,5,11.1,4.9,5.35,9,-2.46
2014,2,365,22.8,15,344,21.5,12,8.6,7.4,.73,17,-0.58
2015,1,419,26.2,7,279,17.4,2,11.6,4.4,10.65,3,1.90
2016,3,325,20.3,24,315,19.7,8,8.3,7.7,1.04,16,.42
2017,3,290,18.1,26,349,21.8,16,6.3,9.7,-4.98,26,-1.29
2018,4,368,23.0,17,455,28.4,30,6.0,10.0,-3.41,24,2.02
2019,4,279,17.4,30,420,26.3,25,4.4,11.6,-7.34,29,1.47
2020,4,311,19.4,29,424,26.5,22,5.2,10.8,-7.49,29,-0.43
2021,1,44,22.0,20,44,22.0,10,1.0,1.0,-6.06,21,-6.06
