,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result,Year
0,1,KAN,-8.0,0.0,"L, 23-24",Lost,Over,1978
1,2,@CLE,5.5,0.0,"L, 10-13",Won,Over,1978
2,3,PIT,4.5,0.0,"L, 3-28",Lost,Over,1978
3,4,NOR,-7.0,0.0,"L, 18-20",Lost,Over,1978
4,5,@SFO,-2.5,0.0,"L, 12-28",Lost,Over,1978
5,6,@MIA,10.5,0.0,"L, 0-21",Lost,Over,1978
6,7,NWE,9.0,0.0,"L, 3-10",Won,Over,1978
7,8,@BUF,3.5,0.0,"L, 0-5",Lost,Over,1978
8,9,HOU,7.0,0.0,"W, 28-13",Won,Over,1978
9,10,@SDG,7.0,0.0,"L, 13-22",Lost,Over,1978
10,11,OAK,6.0,0.0,"L, 21-34",Lost,Over,1978
11,12,@PIT,11.0,0.0,"L, 6-7",Won,Over,1978
12,13,@HOU,7.5,0.0,"L, 10-17",Won,Over,1978
13,14,ATL,-1.5,0.0,"W, 37-7",Won,Over,1978
14,15,@RAM,6.5,0.0,"W, 20-19",Won,Over,1978
15,16,CLE,-3.5,0.0,"W, 48-16",Won,Over,1978
16,1,@DEN,3.0,31.5,"L, 0-10",Lost,Under,1979
17,2,@BUF,-3.0,34.0,"L, 24-51",Lost,Over,1979
18,3,NWE,6.0,41.0,"L, 14-20",Push,Under,1979
19,4,HOU,3.0,37.0,"L, 27-30",Push,Over,1979
20,5,@DAL,10.0,40.0,"L, 13-38",Lost,Over,1979
21,6,KAN,0.0,38.0,"L, 7-10",Lost,Under,1979
22,7,PIT,10.0,39.0,"W, 34-10",Won,Over,1979
23,8,@CLE,3.0,39.0,"L, 27-28",Won,Over,1979
24,9,PHI,-3.0,38.0,"W, 37-13",Won,Over,1979
25,10,@BAL,3.0,42.0,"L, 28-38",Lost,Over,1979
26,11,SDG,4.0,43.0,"L, 24-26",Won,Over,1979
27,12,@HOU,8.0,43.0,"L, 21-42",Lost,Over,1979
28,13,STL,-2.0,42.0,"W, 34-28",Won,Over,1979
29,14,@PIT,14.0,44.0,"L, 17-37",Lost,Over,1979
30,15,@WAS,6.0,42.0,"L, 14-28",Lost,Push,1979
31,16,CLE,-1.0,41.0,"W, 16-12",Won,Under,1979
32,1,TAM,1.0,34.0,"L, 12-17",Lost,Under,1980
33,2,@MIA,7.0,35.0,"L, 16-17",Won,Under,1980
34,3,PIT,7.0,39.0,"W, 30-28",Won,Over,1980
35,4,HOU,3.0,36.0,"L, 10-13",Push,Under,1980
36,5,@GNB,-7.0,38.0,"L, 9-14",Lost,Under,1980
37,6,@PIT,13.0,40.0,"W, 17-16",Won,Under,1980
38,7,MIN,-4.0,36.0,"W, 14-0",Won,Under,1980
39,8,@HOU,6.0,35.0,"L, 3-23",Lost,Under,1980
40,9,SDG,3.0,43.0,"L, 14-31",Lost,Over,1980
41,10,@OAK,7.0,42.0,"L, 17-28",Lost,Over,1980
42,11,BUF,2.0,36.0,"L, 0-14",Lost,Under,1980
43,12,@CLE,7.0,37.0,"L, 7-31",Lost,Over,1980
44,13,@KAN,7.0,36.0,"W, 20-6",Won,Under,1980
45,14,BAL,2.0,38.0,"W, 34-33",Won,Over,1980
46,15,@CHI,6.0,35.0,"W, 17-14",Won,Under,1980
47,16,CLE,3.0,38.0,"L, 24-27",Push,Over,1980
48,1,SEA,-4.0,41.0,"W, 27-21",Won,Over,1981
49,2,@NYJ,3.5,42.0,"W, 31-30",Won,Over,1981
50,3,CLE,-1.0,41.0,"L, 17-20",Lost,Under,1981
51,4,BUF,4.0,39.0,"W, 27-24",Won,Over,1981
52,5,@HOU,3.5,37.0,"L, 10-17",Lost,Under,1981
53,6,@BAL,2.0,41.0,"W, 41-19",Won,Over,1981
54,7,PIT,1.0,45.0,"W, 34-7",Won,Under,1981
55,8,@NOR,-6.0,41.0,"L, 7-17",Lost,Under,1981
56,9,HOU,-4.0,40.0,"W, 34-21",Won,Over,1981
57,10,@SDG,4.0,48.0,"W, 40-17",Won,Over,1981
58,11,RAM,-3.5,44.0,"W, 24-10",Won,Under,1981
59,12,DEN,-3.5,38.0,"W, 38-21",Won,Over,1981
60,13,@CLE,-2.0,46.0,"W, 41-21",Won,Over,1981
61,14,SFO,-7.0,42.0,"L, 3-21",Lost,Under,1981
62,15,@PIT,0.0,38.0,"W, 17-10",Won,Under,1981
63,16,@ATL,-3.0,43.0,"W, 30-28",Lost,Over,1981
64,17,BUF,-6.0,41.0,"W, 28-21",Won,Over,1981
65,18,SDG,-4.5,45.0,"W, 27-7",Won,Under,1981
66,19,SFO,1.0,48.0,"L, 21-26",Lost,Under,1981
67,1,HOU,-7.0,40.0,"W, 27-6",Won,Under,1982
68,2,@PIT,-1.0,43.0,"L, 20-26",Lost,Over,1982
69,3,@PHI,1.0,40.0,"W, 18-14",Won,Under,1982
70,4,RAI,-4.5,43.0,"W, 31-17",Won,Over,1982
71,5,@BAL,-14.5,38.0,"W, 20-17",Lost,Under,1982
72,6,CLE,-8.0,44.0,"W, 23-10",Won,Under,1982
73,7,@SDG,3.0,50.0,"L, 34-50",Lost,Over,1982
74,8,SEA,-10.0,40.0,"W, 24-10",Won,Under,1982
75,9,@HOU,-10.0,38.0,"W, 35-27",Lost,Over,1982
76,10,NYJ,-4.0,44.5,"L, 17-44",Lost,Over,1982
77,1,RAI,-2.0,42.0,"L, 10-20",Lost,Under,1983
78,2,BUF,-7.0,36.5,"L, 6-10",Lost,Under,1983
79,3,@CLE,3.0,40.5,"L, 7-17",Lost,Under,1983
80,4,@TAM,2.0,33.0,"W, 23-17",Won,Over,1983
81,5,BAL,-6.0,40.0,"L, 31-34",Lost,Over,1983
82,6,PIT,1.0,43.5,"L, 14-24",Lost,Under,1983
83,7,@DEN,2.5,36.0,"L, 17-24",Lost,Over,1983
84,8,CLE,0.0,42.5,"W, 28-21",Won,Over,1983
85,9,GNB,-1.5,51.0,"W, 34-14",Won,Under,1983
86,10,@HOU,-4.5,45.0,"W, 55-14",Won,Over,1983
87,11,@KAN,-2.0,44.0,"L, 15-20",Lost,Under,1983
88,12,HOU,-9.0,44.5,"W, 38-10",Won,Over,1983
89,13,@MIA,5.5,43.0,"L, 14-38",Lost,Over,1983
90,14,@PIT,4.0,41.5,"W, 23-10",Won,Under,1983
91,15,DET,-3.0,42.0,"W, 17-9",Won,Under,1983
92,16,@MIN,-3.0,38.5,"L, 14-20",Lost,Under,1983
93,1,@DEN,1.0,41.0,"L, 17-20",Lost,Under,1984
94,2,KAN,-4.0,47.0,"L, 22-27",Lost,Over,1984
95,3,@NYJ,-3.0,41.0,"L, 23-43",Lost,Over,1984
96,4,RAM,-5.0,41.0,"L, 14-24",Lost,Under,1984
97,5,@PIT,6.0,41.0,"L, 17-38",Lost,Over,1984
98,6,HOU,-9.0,42.5,"W, 13-3",Won,Under,1984
99,7,@NWE,7.5,40.0,"L, 14-20",Won,Under,1984
100,8,CLE,-2.5,37.0,"W, 12-9",Won,Under,1984
101,9,@HOU,-4.5,40.0,"W, 31-13",Won,Over,1984
102,10,@SFO,10.5,43.0,"L, 17-23",Won,Under,1984
103,11,PIT,1.0,37.5,"W, 22-20",Won,Over,1984
104,12,SEA,4.0,44.0,"L, 6-26",Lost,Under,1984
105,13,ATL,-6.5,37.0,"W, 35-14",Won,Over,1984
106,14,@CLE,0.0,34.0,"W, 20-17",Won,Over,1984
107,15,@NOR,-3.0,40.0,"W, 24-21",Push,Over,1984
108,16,BUF,-13.5,38.5,"W, 52-21",Won,Over,1984
109,1,SEA,3.0,41.0,"L, 24-28",Lost,Over,1985
110,2,@STL,4.0,49.0,"L, 27-41",Lost,Over,1985
111,3,SDG,-4.5,50.0,"L, 41-44",Lost,Over,1985
112,4,@PIT,6.0,45.5,"W, 37-24",Won,Over,1985
113,5,NYJ,-3.0,50.0,"L, 20-29",Lost,Under,1985
114,6,NYG,2.0,49.0,"W, 35-30",Won,Over,1985
115,7,@HOU,-4.0,45.5,"L, 27-44",Lost,Over,1985
116,8,PIT,1.5,48.0,"W, 26-21",Won,Under,1985
117,9,@BUF,-3.5,46.0,"W, 23-17",Won,Under,1985
118,10,CLE,-3.0,43.0,"W, 27-10",Won,Under,1985
119,11,@RAI,6.0,47.5,"L, 6-13",Lost,Under,1985
120,12,@CLE,3.0,37.0,"L, 6-24",Lost,Under,1985
121,13,HOU,-7.5,43.0,"W, 45-27",Won,Over,1985
122,14,DAL,3.0,45.0,"W, 50-24",Won,Over,1985
123,15,@WAS,2.0,43.0,"L, 24-27",Lost,Over,1985
124,16,@NWE,7.0,44.0,"L, 23-34",Lost,Over,1985
125,1,@KAN,-1.0,47.0,"L, 14-24",Lost,Under,1986
126,2,BUF,-6.5,44.0,"W, 36-33",Lost,Over,1986
127,3,@CLE,5.0,46.0,"W, 30-13",Won,Under,1986
128,4,CHI,4.5,47.0,"L, 7-44",Lost,Over,1986
129,5,@GNB,-7.0,45.0,"W, 34-28",Lost,Over,1986
130,6,PIT,-7.5,47.0,"W, 24-22",Lost,Under,1986
131,7,HOU,-6.5,45.5,"W, 31-28",Lost,Over,1986
132,8,@PIT,-4.5,41.0,"L, 9-30",Lost,Under,1986
133,9,@DET,2.5,44.0,"W, 24-17",Won,Under,1986
