Player,09/08vs. CHI,09/16vs. PIT,09/22vs. GNB,09/29vs. CLE,10/06vs. NWE,10/13vs. BUF,10/20vs. DET,10/27vs. NYJ,10/31vs. MIA,11/10vs. BAL,11/17vs. CLE,12/01vs. SDG,12/08vs. IND,12/15vs. PIT,12/22vs. MIN,12/29vs. BAL,01/05vs. SDG
Geno Atkins,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Giovani Bernard,,,P,,,,,,,P,,,,,,,
Larry Black,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Michael Boley,,,,,,P,,,Q,D,P,P,,,,,
Clint Boling,,,,,,,,,,,,,IR,IR,IR,IR,IR
Vontaze Burfict,Q,P,,,P,,,,,,P,Q,P,P,,Q,
Rex Burkhead,,,,,,,,Q,Q,,,,,,,,
Anthony Collins,,,Q,P,,,,,,,,,,,,,
Kyle Cook,,,,,,,P,,,,P,,,,,,
Chris Crocker,,,,,,,,,,,D,P,,,,,
Carlos Dunlap,P,,P,,,,,,,,,,,,Q,P,
Tyler Eifert,P,,,,,,,,,,,,P,,,D,
DeQuin Evans,,,,,,,,,P,,,,,,,,
Robert Geathers,,,O,O,O,O,O,O,O,O,O,O,O,IR,IR,IR,IR
Brandon Ghee,O,O,O,P,D,Q,,,,,,,,,,,
Wallace Gilberry,,,P,,,Q,,P,Q,,,,,P,,,
A.J. Green,,,,,,,,,,,,,P,,,,
BenJarvus Green-Ellis,,,,P,,,P,,,,,,,P,,,
Jermaine Gresham,,,,,,,,,,P,P,,,,P,P,
Leon Hall,,,,D,D,P,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
Clark Harris,,,,,,,,,,,,,P,,,,
James Harrison,,,,P,P,,,,,,Q,,,,Q,P,
Andrew Hawkins,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,P,,,,
Kevin Huber,,,,,,,,,,,,P,,,IR,IR,IR
George Iloka,,,,,,,,,,,,,,P,,,
Michael Johnson,,,,,Q,Q,,,,,,,,,,,
Brandon Joiner,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Adam Jones,,,Q,,,,,,,,,,P,,,,
Marvin Jones,,,P,,,,Q,D,,,,,,P,,,
Dre Kirkpatrick,P,,D,D,Q,,,,,,,,,,,P,
Emmanuel Lamur,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rey Maualuga,,,,,,,,P,D,O,D,P,,,,,
Taylor Mays,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jeromy Miles,,D,Q,,,,,,,,,,,,,,
Reggie Nelson,,,,D,P,,,,,,,,,,,,
Terence Newman,,,,P,,,P,P,,,P,,,O,O,O,
Mike Pollak,O,O,D,D,D,P,,,,,,,,,,,
Sean Porter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Pressley,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,
Vincent Rey,,,,,,,,,,,,,,,,P,
Zac Robinson,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP
Mohamed Sanu,,,,,,,,,Q,,,,,,,,
Bernard Scott,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,
Alex Smith,,,P,,,,,,,,,,,,,P,IR
Andre Smith,P,,,,,P,,,,,,,,,,P,
Devon Still,P,,,,,,P,O,O,O,O,P,,,Q,O,IR
Brandon Tate,,,,,,,,,,,,P,,,,,
Brandon Thompson,,,,,,,,,,,P,,,,,,
Andrew Whitworth,D,Q,,,,,,,Q,,,,P,,Q,,
Kevin Zeitler,,,,,,,,,,P,O,O,P,P,Q,,
