Player,09/13vs. OAK,09/20vs. SDG,09/27vs. BAL,10/04vs. KAN,10/11vs. SEA,10/18vs. BUF,11/01vs. PIT,11/05vs. CLE,11/16vs. HOU,11/22vs. ARI,11/29vs. STL,12/06vs. CLE,12/13vs. PIT,12/20vs. SFO,12/28vs. DEN,01/03vs. BAL,01/09vs. PIT
Mario Alford,,,,,,,,,,,,,Q,,,,
Russell Bodine,,,,,,,,,,,,,,P,,,
Clint Boling,,,,,,,,,,,,,P,,,,
Vontaze Burfict,IR,IR,IR,IR,IR,IR,,,P,P,P,P,,P,P,,
Andy Dalton,,,,,,,,,,,P,,,O,O,O,O
Darqueze Dennard,P,,,,,,,,,,O,IR,IR,IR,IR,IR,IR
Carlos Dunlap,P,,,,,,,Q,,P,,,,,,P,
Tyler Eifert,,,,,,,,,,,P,D,P,O,O,P,
Jake Fisher,,,,,,,,,,,,,D,O,P,,
Wallace Gilberry,,,P,,Q,,,,,,,,,,,,
A.J. Green,,,P,,,,,,,,,,,,,,
Leon Hall,P,,,,,Q,Q,,,,,Q,Q,P,,,P
Marcus Hardison,O,O,D,Q,,,,,,,,,,,,,
Ryan Hewitt,,,,,,,,,,,,,P,,,O,O
Jeremy Hill,,,,,P,,,,,,,,,,,,
George Iloka,,Q,,D,Q,,,,,,,Q,Q,O,D,P,
Michael Johnson,P,,,,,,,,,D,,,,P,,,
Adam Jones,,,,Q,P,P,,,,D,Q,Q,D,P,,,
Marvin Jones,,,,,,P,,,,,P,,,,,P,
Dre Kirkpatrick,,P,,P,,P,,,,,P,P,P,P,,,
Emmanuel Lamur,P,,,,,,,,,,,P,,,P,,IR
Chris Lewis-Harris,,,,,,,,,,,,D,,,,,
Rey Maualuga,,,,,,,,Q,P,,,,,,,,
Reggie Nelson,P,P,P,,P,,,,,,,,,,,,
Cedric Ogbuehi,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,
Sean Porter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Vincent Rey,,,,,,,,,,,,,,,P,,
Josh Shaw,Q,Q,,,,,,,,,,,P,,,,
Pat Sims,,,O,P,,,,,,D,Q,,,,,,
Andre Smith,,,P,P,,P,,O,O,P,P,P,,,,,
Brandon Tate,,,,,,P,,,,,,,,,,,
Brandon Thompson,,,,,,,,,,,,,,,,,IR
Andrew Whitworth,P,,P,,,,,,,,,,,P,,,
Shawn Williams,,,,,,,,,,P,P,,,,,,
James Wright,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kevin Zeitler,,,,,,P,,,P,,,,,,,,
