Player,09/10vs. BAL,09/14vs. HOU,09/24vs. GNB,10/01vs. CLE,10/08vs. BUF,10/22vs. PIT,10/29vs. IND,11/05vs. JAX,11/12vs. TEN,11/19vs. DEN,11/26vs. CLE,12/04vs. PIT,12/10vs. CHI,12/17vs. MIN,12/24vs. DET,12/31vs. BAL
Geno Atkins,,,,,,,,,,,,,Q,,,
Tyler Boyd,,,,,,O,O,O,,,,,,,,
Randy Bullock,,,,,,,,Q,Q,,,,,,,
Vontaze Burfict,,,,,,,,,,,,,O,O,,D
Tra Carson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cody Core,,,,,,,O,,,,,,,,,
Darqueze Dennard,,,,,,,,,,,Q,,Q,,,
Jeff Driskel,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tyler Eifert,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jordan Evans,,,,O,Q,,,,,,,,,,,
Jake Fisher,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Ryan Hewitt,,,,,O,O,O,,,,,,,,,
Jeremy Hill,,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR
Trey Hopkins,,O,O,Q,,,,,,,,,,,,
George Iloka,,,,,,,,,,,,,,,Q,
William Jackson III,,,,,,,,,,Q,,,,,,Q
Michael Johnson,,O,Q,,,,,Q,,,,Q,,,,
T.J. Johnson,,,,,,,,,,,,,,D,IR,IR
Adam Jones,,,,,,D,,,,O,,,O,IR,IR,IR
Dre Kirkpatrick,,,,,,,,,,,,,O,O,,
Jake Kumerow,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon LaFell,,,,,,,,,,Q,,,,,,
Kevin Minter,,,,,,,O,O,O,O,,,,O,IR,IR
Joe Mixon,,,,,,,,,,,,,O,Q,,Q
Cedric Ogbuehi,,,,,,,,,,,,,,,O,O
Cedric Peerman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Vincent Rey,,,,,,,,,,,O,O,Q,,,
John Ross,,Q,O,O,O,Q,,,,,,,IR,IR,IR,IR
KeiVarae Russell,,,Q,,,,,,,,,,,,,
Mason Schreck,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Pat Sims,,,,,,,,,O,O,,,,,,
Andre Smith,,,,,,,,,,,,,,,IR,IR
Derron Smith,,,Q,D,O,Q,,,,,,,,,,
C.J. Uzomah,O,Q,,,,,,,,,,,,,,
Nick Vigil,,,,,,,,,,,,IR,O,O,O,IR
Shawn Williams,O,Q,,,,,,,D,,O,O,O,Q,,
Brandon Wilson,IR,IR,IR,IR,IR,IR,IR,IR,,,,,Q,,,
