Player,09/09vs. IND,09/13vs. BAL,09/23vs. CAR,09/30vs. ATL,10/07vs. MIA,10/14vs. PIT,10/21vs. KAN,10/28vs. TAM,11/11vs. NOR,11/18vs. BAL,11/25vs. CLE,12/02vs. DEN,12/09vs. LAC,12/16vs. OAK,12/23vs. CLE,12/30vs. PIT
Matt Barkley,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR
Brandon Bell,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,,,,
Giovani Bernard,,,,,O,O,O,O,Q,,,,,,,
Tyler Boyd,,,,,,,,,,,,,,,IR,IR
Preston Brown,,Q,Q,,,,,,,IR,IR,IR,IR,IR,IR,IR
Vontaze Burfict,IR,IR,IR,IR,,,,O,O,Q,,,O,O,Q,O
Tra Carson,,,IR,IR,IR,IR,IR,IR,,IR,,IR,IR,IR,IR,IR
Cethan Carter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cody Core,D,D,,,,,,,,,,,,,,
Andy Dalton,,,,,,,,,,,,IR,IR,IR,IR,IR
Darqueze Dennard,,,,,,,O,O,O,,,,,,,
Tyler Eifert,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jordan Evans,,,,,,,,,,,,,,,IR,IR
Jake Fisher,,,,,,,,,,,,IR,IR,IR,IR,IR
Ryan Glasgow,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cordy Glenn,,,,,,,,,,,Q,D,O,Q,,
A.J. Green,,,,,,,,,O,D,Q,,IR,IR,IR,IR
Davontae Harris,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,
Trayvon Henderson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ryan Hewitt,IR,IR,,,IR,,,,IR,IR,IR,,,,,
William Jackson III,,,,,,Q,,,,,,,,,,
Malik Jefferson,,,,,,,,,,,,,,,IR,IR
Michael Johnson,,,Q,,,,,,,,,,,Q,,
Dre Kirkpatrick,,,,,,,,,,Q,Q,,O,Q,,IR
Tyler Kroft,,,,,,IR,IR,IR,IR,O,IR,IR,IR,IR,IR,IR
Carl Lawson,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Javarius Leamon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Josh Malone,,,,,,,,,O,O,O,O,Q,,,
Tony McRae,,,,,,,,,,,,O,O,Q,O,O
Joe Mixon,,,O,O,,,,,,,,,,,,
Cedric Ogbuehi,,,,,,Q,,,,,,,,,,
Billy Price,,,O,O,O,O,O,D,,,,,,,,
Alex Redmond,,,,,,,,,D,,,,,,,
John Ross,,,,,O,Q,,O,,Q,,,,,,
KeiVarae Russell,,,,,,,,,,,,,,D,,
Mason Schreck,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rod Taylor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Josh Tupou,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Nick Vigil,,,,,,,O,O,O,O,O,,,,,
Adolphus Washington,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Christian Westerman,IR,IR,,,,,,,,,,,,,,
Shawn Williams,,,,,,,Q,,,,,,,,,
