Player,09/13vs. LAC,09/17vs. CLE,09/27vs. PHI,10/04vs. JAX,10/11vs. BAL,10/18vs. IND,10/25vs. CLE,11/01vs. TEN,11/15vs. PIT,11/22vs. WAS,11/29vs. NYG,12/06vs. MIA,12/13vs. DAL,12/21vs. PIT,12/27vs. HOU,01/03vs. BAL
Mackensie Alexander,,,,D,D,Q,,,C19,,Q,,Q,,,
Brandon Allen,,,,,,,,,,,,,,O,,
Geno Atkins,O,O,O,O,,,,,O,,,,,IR,IR,IR
Markus Bailey,,,,,,,,,,,Q,,,,,
Giovani Bernard,,,,,,,,,,,Q,,,,,
Amani Bledsoe,,,,,,,,,,,,C19,C19,C19,,
Tyler Boyd,,,,,,,,,,,,,,,O,
Tony Brown,,,,,,,,,,,,O,IR,IR,IR,
Joe Burrow,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Christian Covington,,,,,,,,,,,,Q,,,,
Mike Daniels,,O,Q,IR,IR,IR,IR,,,,,,,,,C19
Jordan Evans,,,,,,,,,C19,,,,,,O,
B.J. Finney,,,,,,,,,,,C19,Q,,,O,O
Clark Harris,,,,,,,,,,,,Q,,,,
Bobby Hart,,,,,,,,O,O,,,,,,,
Tee Higgins,,,,,,,,,,,,,Q,,,
Trey Hopkins,,,,,,,,O,,,,,,,,
Sam Hubbard,,,,,,IR,IR,IR,IR,,,,,,,
Margus Hunt,,,,,,,,,C19,C19,,,,,,
William Jackson III,,,,,,,O,,,,,,,,,O
Fred Johnson,,,,,,,,,C19,C19,,,,,,
Joe Mixon,,,,,Q,,O,O,D,O,IR,IR,IR,IR,IR,IR
Darius Phillips,,,,,,,,Q,O,,,Q,IR,,,
Isaiah Prince,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
D.J. Reader,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Alex Redmond,,,,,,,,,,Q,,O,,,,
John Ross,,,,,D,,Q,D,O,,,,,IR,IR,IR
LeShaun Sims,D,,,,,,,,O,,,,,,,
Xavier Su'a-Filo,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,
Auden Tate,,,,,,D,,,,,C19,IR,IR,,,
Mike Thomas,,,,,,,,,,Q,D,Q,,,,
Josh Tupou,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
C.J. Uzomah,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Trae Waynes,IR,IR,IR,IR,IR,IR,IR,IR,IR,C19,IR,IR,IR,IR,IR,IR
Jonah Williams,,,,,,,,O,Q,,,,,,,
Shawn Williams,O,O,Q,,,,Q,,,,,,,,,
Xavier Williams,,,,,,,,,,Q,,Q,,,,
Brandon Wilson,,,,,,,,,,,,Q,Q,Q,,
Logan Wilson,,,,O,,,,,,,,,,O,O,O
