,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1946,1,423,30.2,1,137,9.8,1,13.1,0.9,17.88,1,-2.55
1947,1,410,29.3,1,185,13.2,1,12.2,1.8,14.06,1,-2.01
1948,1,389,27.8,2,190,13.6,1,11.8,2.2,12.44,5,-1.78
1949,1,339,28.3,2,171,14.3,1,10.0,2.0,11.79,3,-2.21
1950,1,310,25.8,4,144,12.0,2,10.3,1.7,15.57,1,1.74
1951,1,331,27.6,3,152,12.7,1,10.4,1.6,14.65,1,-0.27
1952,1,310,25.8,3,213,17.8,2,8.5,3.5,8.74,3,.66
1953,1,348,29.0,4,162,13.5,1,10.3,1.7,14.03,1,-1.47
1954,1,336,28.0,2,162,13.5,1,10.2,1.8,10.40,2,-4.10
1955,1,349,29.1,1,218,18.2,1,9.0,3.0,12.00,1,1.08
1956,4,167,13.9,11,177,14.8,1,5.6,6.4,-2.38,6,-1.55
1957,1,269,22.4,3,172,14.3,1,8.9,3.1,6.84,1,-1.25
1958,1,302,25.2,3,217,18.1,3,8.2,3.8,5.11,4,-1.97
1959,2,270,22.5,3,214,17.8,3,7.6,4.4,3.02,5,-1.65
1960,2,362,30.2,1,217,18.1,4,9.2,2.8,11.03,1,-1.06
1961,3,319,22.8,6,270,19.3,5,8.4,5.6,1.65,10,-1.85
1962,3,291,20.8,9,257,18.4,3,8.0,6.0,-1.54,12,-3.97
1963,2,343,24.5,3,262,18.7,3,9.2,4.8,4.80,7,-0.99
1964,1,415,29.6,2,293,20.9,5,9.7,4.3,5.17,5,-3.55
1965,1,363,25.9,5,325,23.2,8,7.9,6.1,-4.41,15,-7.12
1966,2,403,28.8,2,259,18.5,5,10.4,3.6,7.57,5,-2.71
1967,1,334,23.9,7,297,21.2,8,8.0,6.0,1.36,11,-1.28
1968,1,394,28.1,3,273,19.5,7,9.9,4.1,7.14,7,-1.50
1969,1,351,25.1,3,300,21.4,9,8.3,5.7,.86,12,-2.78
1970,2,286,20.4,13,265,18.9,13,7.6,6.4,.55,12,-0.95
1971,1,285,20.4,10,273,19.5,10,7.4,6.6,.26,12,-0.60
1972,2,268,19.1,17,249,17.8,9,7.6,6.4,.26,14,-1.09
1973,3,234,16.7,18,255,18.2,13,6.3,7.7,-1.21,15,.29
1974,4,251,17.9,15,344,24.6,26,4.5,9.5,-4.22,20,2.42
1975,4,218,15.6,22,372,26.6,24,3.1,10.9,-6.82,22,4.18
1976,3,267,19.1,14,287,20.5,20,6.4,7.6,-1.72,17,-0.29
1977,4,269,19.2,12,267,19.1,22,7.1,6.9,2.53,11,2.38
1978,3,334,20.9,8,356,22.3,25,7.4,8.6,-2.00,19,-0.62
1979,3,359,22.4,9,352,22.0,20,8.2,7.8,3.03,9,2.59
1980,1,357,22.3,8,310,19.4,12,9.3,6.7,1.81,10,-1.13
1981,4,276,17.3,24,375,23.4,23,5.2,10.8,-6.49,26,-0.31
1982,3,140,15.6,23,182,20.2,17,3.1,5.9,-3.50,20,1.16
