Player,09/13vs. MIN,09/20vs. DEN,09/27vs. BAL,10/04vs. CIN,10/11vs. BUF,10/18vs. PIT,10/25vs. GNB,11/01vs. CHI,11/16vs. BAL,11/22vs. DET,11/29vs. CIN,12/06vs. SDG,12/10vs. PIT,12/20vs. KAN,12/27vs. OAK,01/03vs. JAX
Mike Adams,,,,,P,P,,,,,,P,P,,,P
Derek Anderson,,,,,,,P,P,,,,,P,,,
Eric Barton,,,,,,P,P,,IR,IR,IR,IR,IR,IR,IR,IR
David Bowens,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Titus Brown,,,,,,,,,,,,,,,,O
Kenyon Coleman,,,,P,,P,P,P,Q,P,,O,D,P,P,Q
Blake Costanzo,,,,,,,,,,,P,P,P,P,,
Josh Cribbs,,,,,,,P,,,P,,,,P,,
James Davis,P,O,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Phil Dawson,,,O,D,D,O,D,P,,,,,,,P,
Greg Estandia,,,,,,,,O,,,P,,,,,
Hank Fraley,,,,,,,,,P,,,P,P,,,
Coye Francies,,,,,O,,,,O,,,,,,,
Michael Gaines,,,,,,,,,O,,P,,P,,,
Rex Hadnot,O,O,D,O,O,P,P,P,Q,P,P,O,Q,P,P,P
Alex Hall,P,,,,,,,,,,,,,,,
Jerome Harrison,O,P,,,,,Q,,,,,,P,,,P
Steve Heiden,P,P,,,,O,D,P,Q,Q,,,,,,
D'Qwell Jackson,,,,,D,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Jennings,,,,,,,,,,,,P,P,P,P,P
Gerard Lawson,,,,,O,O,,,,,,,,,,
Jamal Lewis,,P,D,D,P,P,,P,Q,P,P,IR,IR,IR,IR,IR
Alex Mack,,,P,,,,P,P,P,P,P,,,,,
Anthony Madison,,,,,,P,P,,,,,,,,,
Mohamed Massaquoi,,P,P,,,,,,,,,,,,,
Brandon McDonald,,,,,,,P,P,,,,,,,,
C.J. Mosley,,,,,,,,P,,,,,IR,IR,IR,IR
Cedric Peerman,D,O,P,,,,,,,,,,,,,
Brodney Pool,,,,,,,P,,,,,O,IR,IR,IR,IR
Brady Quinn,,,,,,,,,,,,,,,IR,IR
Brian Robiskie,,,,,,,,,,,,,P,P,,D
Shaun Rogers,P,P,P,P,P,P,P,P,,P,,IR,IR,IR,IR,IR
Robert Royal,,,,,,P,D,O,P,P,O,P,P,P,,
Ahtyba Rubin,,,P,,,,,,,,,,,,,
Robaire Smith,,,,,,P,P,P,,,P,,P,O,P,P
John St. Clair,,,,,,P,,,,P,,,,,D,D
Eric Steinbach,,,,P,,,,,,,,,,,,
Chansi Stuckey,,,,,,,P,,O,P,P,,,,,
Joe Thomas,,,,,,,,,,,,,,,P,P
Jason Trusnik,,,,,,,P,,,,,,,,,
Ryan Tucker,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
David Veikune,,,,,,,,,,,,,,,,IR
Raymond Ventrone,,,,,,,,,,,,,,D,P,P
Lawrence Vickers,,,,,Q,,P,P,Q,P,P,P,P,P,P,Q
Corey Williams,,,,P,,,P,,,,,,,,P,Q
Kamerion Wimbley,,,,P,P,P,P,,,,,P,P,,,
Floyd Womack,,,D,D,P,P,P,,,,,,,,,
Eric Wright,P,,,P,P,,P,P,,,,P,P,P,,
Dave Zastudil,,P,P,P,P,P,P,P,O,Q,,,,IR,IR,IR
