Player,09/12vs. TAM,09/19vs. KAN,09/26vs. BAL,10/03vs. CIN,10/10vs. ATL,10/17vs. PIT,10/24vs. NOR,11/07vs. NWE,11/14vs. NYJ,11/21vs. JAX,11/28vs. CAR,12/05vs. MIA,12/12vs. BUF,12/19vs. CIN,12/26vs. BAL,01/02vs. PIT
Mike Adams,,,,,,,,,P,O,P,,,,,
Titus Adams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Eric Alexander,,,,,,,,,,,,,,,O,P
Eric Barton,,,P,,,,,,,P,P,P,P,,,
Mike Bell,,,,,,,,,,,,,,P,,
Marcus Benard,P,P,O,P,,,,,P,P,,,,P,P,P
David Bowens,Q,,,,,,,,,,,,,P,,
Sheldon Brown,,,,,,,,,,P,,,,P,P,P
Titus Brown,,,,,,,,,,,,,D,P,,
Kenyon Coleman,,,,P,P,P,P,P,P,P,P,P,P,P,P,Q
Blake Costanzo,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Josh Cribbs,,,P,Q,P,P,D,,,Q,P,P,P,P,P,
James Davis,,,,O,,,,,,,,,,,,
Jake Delhomme,,D,D,O,P,D,D,D,O,O,P,,,,,
Abram Elam,,,,,,P,,,,,,,,,,
Scott Fujita,,,,,,,,,,O,O,D,D,O,IR,IR
Johnathan Haggerty,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Montario Hardesty,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jerome Harrison,,,O,P,P,,,,,,,,,,,
Peyton Hillis,,,,,P,Q,P,,,,,,,,P,Q
D'Qwell Jackson,O,O,D,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Shawn Lauvao,D,O,O,O,O,Q,,,,,,,,,,
Alex Mack,,,,,P,P,P,,,,,,,,,
Kaluka Maiava,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mohamed Massaquoi,,,,,,,D,Q,,,,,,,,
Colt McCoy,,,,,,,,,,,D,D,O,P,Q,
Carlton Mitchell,,,O,,,,,,,,,,,,,
Evan Moore,,,D,,,,,,,,,,D,O,IR,IR
Tony Pashos,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ryan Pontbriand,,P,,,,,,,,,,,,,,
Chris Roberson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Derrick Roberson,,D,P,D,,,,,,,,,,,,
Brian Robiskie,,,D,O,P,,,,,,,,,,,
Shaun Rogers,P,P,O,P,P,P,P,P,P,P,P,Q,P,P,P,Q
Matt Roth,,,P,,,,,P,,,,,,,,P
Robert Royal,P,,,,P,P,P,,,,,,,,O,P
Brian Schaefering,,,P,,,,,,P,,,,,P,,P
Alex Smith,,,,,,,,O,,,,,,,,
Robaire Smith,,,P,P,P,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nick Sorensen,D,P,,,P,P,,,,,,,,,,
John St. Clair,,,,D,O,O,D,D,P,,,,,P,P,P
Eric Steinbach,,,P,,,,,,,P,,,,,,
Chansi Stuckey,,,,,,,,,,,,,,,P,
Joe Thomas,,,P,P,,P,,,,,,,,,,
Jason Trusnik,,,,P,,,,,,,,,,,,
Lawrence Vickers,,,P,P,,,,,,,,P,,P,,P
Seneca Wallace,,,,,,D,D,O,Q,Q,Q,,,,,
T.J. Ward,,,,,,,,,,,,P,,,,
Ben Watson,,,,,,,P,,,,P,,,,P,P
Floyd Womack,P,P,P,,,P,P,,,P,P,P,P,P,P,Q
Eric Wright,,,,,,,,,,,D,P,P,,IR,IR
Billy Yates,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Dave Zastudil,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,
