Player,09/07vs. PIT,09/14vs. NOR,09/21vs. BAL,10/05vs. TEN,10/12vs. PIT,10/19vs. JAX,10/26vs. OAK,11/02vs. TAM,11/06vs. CIN,11/16vs. HOU,11/23vs. ATL,11/30vs. BUF,12/07vs. IND,12/14vs. CIN,12/21vs. CAR,12/28vs. BAL
Miles Austin,,,,,,,,,,,,,IR,IR,IR,IR
Johnson Bademosi,,,,,,,,,D,O,Q,,,,,
Gary Barnidge,,,,,,,,,,,,,O,O,O,Q
Travis Benjamin,,,P,,,,,,,,,,,,,
Michael Bowie,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Armonty Bryant,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Desmond Bryant,D,Q,P,Q,P,P,P,P,P,P,P,,,P,,Q
Jordan Cameron,,O,Q,P,P,,,D,D,O,D,O,Q,,,
Isaiah Crowell,,,,,,,,,,,,,Q,P,,
Billy Cundiff,,,,,,,,,,,,,,Q,,
Karlos Dansby,,,,,,,,,,,D,O,O,O,Q,
Pierre Desir,P,,,,,,,,,,,,,,,
Darius Eubanks,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Taylor Gabriel,,,,,,,,,P,,,,,,,
Justin Gilbert,,,,,,,,,,,,O,P,,,
Tashaun Gipson,Q,,,,P,Q,,,,Q,,O,O,O,IR,IR
Josh Gordon,S,S,S,S,S,S,S,S,S,S,P,,,,,O
John Greco,,,,,P,,,,,,,,,,,
Joe Haden,P,,,,P,,,,,,,,,,O,Q
Andrew Hawkins,,,,,,,,,Q,P,,,,,P,Q
Brian Hoyer,,,,,,,,,P,,,,,,,D
John Hughes,O,O,P,,,,,IR,IR,IR,IR,IR,IR,IR,IR,P
Ishmaa'ily Kitchen,,,,,,,,,,,,,,,,IR
Paul Kruger,,,,,Q,P,,,,,,,P,,,
Spencer Lanning,,,P,,,,,,,,,,,,,
Jim Leonhard,P,,,,,,Q,P,,,,,,,,
Alex Mack,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Johnny Manziel,,,,,,,,,,,,,,,,IR
Eric Martin,P,Q,,,,,,,,,,,,,,
Nick McDonald,O,O,O,O,O,O,,,,P,,,O,O,,
Paul McQuistan,O,Q,P,,,,,,,,,,,,,
Barkevious Mingo,,O,Q,P,P,P,P,P,P,P,P,P,P,,,
Marlon Moore,S,P,,P,,,,,,,O,O,P,,Q,P
Robert Nelson,,,,,,,,,,,,,O,O,Q,
Ahtyba Rubin,,,,,,O,D,P,,,P,Q,,,,O
Ryan Seymour,,,,,,,,,,,,,,,,O
Jabaal Sheard,,,,,,,,,,,D,Q,Q,Q,Q,Q
Buster Skrine,P,P,P,P,P,,,,,,,,,,,
Rodney Smith,,,,,O,O,O,O,P,,,,,,,
Ben Tate,Q,O,O,P,P,P,,,,,,,,,,
Phil Taylor,,,,,O,O,O,O,,IR,IR,IR,IR,IR,IR,IR
Isaiah Trufant,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Donte Whitner,,,,,,,,,,,,,,P,,
K'Waun Williams,,,,,,O,P,P,,,,,,O,O,Q
Billy Winn,,,,,O,O,O,P,Q,P,,,,,,
Glenn Winston,,,,,,,,,,,,,,O,,
Christian Yount,P,,,,,,,,,,,,,,,
