Player,09/11vs. PHI,09/18vs. BAL,09/25vs. MIA,10/02vs. WAS,10/09vs. NWE,10/16vs. TEN,10/23vs. CIN,10/30vs. NYJ,11/06vs. DAL,11/10vs. BAL,11/20vs. PIT,11/27vs. NYG,12/11vs. CIN,12/18vs. BUF,12/24vs. SDG,01/01vs. PIT
Dominique Alexander,,,,,,,,,,,,,,Q,Q,
Gary Barnidge,,,,,,Q,,,,,,,,,,
Joel Bitonio,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Marcus Burley,O,,,,,,O,Q,,,,,,,,
Trey Caldwell,,,,,,,,,,,,,,,,O
Ibraheim Campbell,,,O,Q,Q,,,,,,,,,,,
Tank Carder,,,,,,,,,Q,,,,,,,
Corey Coleman,,,O,O,O,O,O,O,,,,,,,,
Jamie Collins,,,,,,Q,Q,,,,,,,,,
Xavier Cooper,,,,,,Q,Q,,,,,,,,,
Seth Devalve,,,,O,O,O,O,,,,,,,,,
Cameron Erving,,,O,O,O,,,,Q,,,,,,,
John Greco,,,,,,,,,,,,,IR,IR,IR,IR
Robert Griffin III,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Joe Haden,,,Q,Q,,Q,D,Q,,,,,,,,Q
Rannell Hall,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cam Johnson,,,,,,,,,,,,,,,,Q
Duke Johnson,,,,,,,,,,,,,,,,Q
Cody Kessler,,,,,,,,O,,,,O,,,,
Derrick Kindred,,,,,,,,,,,,,IR,IR,IR,IR
Nile Lawrence-Stample,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ricardo Louis,,,,,,,,,Q,,,,,,,
Patrick Murray,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Carl Nassib,,,O,O,Q,,,,,,,,,,,
Rajion Neal,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Nate Orchard,,,,O,O,O,O,O,O,O,O,O,O,O,O,O
Dennis Parks,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jordan Poyer,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Austin Reiter,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ed Reynolds,,,,,,,,,,,,Q,,,,
Jamar Taylor,,,,,,,,Q,Q,O,,,,,,
Randall Telfer,,,,,O,O,Q,,,,,,,,Q,
Tramon Williams,,,,D,Q,Q,,,,,Q,Q,,,,
Glenn Winston,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dylan Wynn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
