Player,09/10vs. PIT,09/17vs. BAL,09/24vs. IND,10/01vs. CIN,10/08vs. NYJ,10/15vs. HOU,10/22vs. TEN,10/29vs. MIN,11/12vs. DET,11/19vs. JAX,11/26vs. CIN,12/03vs. LAC,12/10vs. GNB,12/17vs. BAL,12/24vs. CHI,12/31vs. PIT
Dominique Alexander,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Barker,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Briean Boddy-Calhoun,,,,,,,,,,,,,Q,D,Q,Q
Kenny Britt,,,,,D,Q,Q,,,,,,,,,
James Burgess,,,,,,D,O,,,,,,,,,
Ibraheim Campbell,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,
Tank Carder,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sammie Coates,,,D,Q,,,Q,,,,O,O,Q,,,
Corey Coleman,,,IR,IR,IR,IR,IR,IR,IR,,,,,,,
Shon Coleman,,,,,,Q,,,,Q,,,,,,
Trevon Coley,,,,,,,,Q,,,,,,,,
Jamie Collins,,,O,O,D,,,,,IR,IR,IR,IR,IR,IR,IR
Seth Devalve,,,,,,,,,,,,,Q,,,
Myles Garrett,,O,D,Q,,,,O,,,,,,,,
Matt Hazel,,,,,,,,,,,,,,Q,Q,
Darius Hillary,,,,,,,,,,,,,,Q,,
Tyrone Holmes,,,,,,,,,,,,,Q,,,
Darius Jackson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Roderick Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Derrick Kindred,,,,,,,,,,,,,,,IR,IR
Jordan Leslie,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Matt McCants,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jason McCourty,,,,,,,Q,D,,,,,,,,
T.Y. McGill,,O,Q,,,,,,,,,,,,,
Jamie Meder,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Emmanuel Ogbah,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Jabrill Peppers,,,,,,,Q,Q,,,,,D,,,
Reggie Porter,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Ed Reynolds,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Danny Shelton,Q,,,Q,,,,,,,,,Q,,,
Derron Smith,,,,,,,,,,,D,,,,,Q
Jamar Taylor,,,,,,,,,,Q,,,,Q,Q,Q
Randall Telfer,,,,Q,,,,,,,,,,,,
Joe Thomas,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
J.C. Tretter,,,,,,Q,,,,Q,,,,,,
Danny Vitale,,,,,,,,,,,,,,,,O
Howard Wilson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
James Wright,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
