Player,09/08vs. TEN,09/16vs. NYJ,09/22vs. LAR,09/29vs. BAL,10/07vs. SFO,10/13vs. SEA,10/27vs. NWE,11/03vs. DEN,11/10vs. BUF,11/14vs. PIT,11/24vs. MIA,12/01vs. PIT,12/08vs. CIN,12/15vs. ARI,12/22vs. BAL,12/29vs. CIN
Odell Beckham Jr.,,,,,,,,,,,,,,,,Q
Joel Bitonio,,Q,,,,,,,,,,,,,,
Pharaoh Brown,,,,,,,,O,,,,,,,,Q
Morgan Burnett,,,Q,Q,Q,,,,,,IR,IR,IR,IR,IR,IR
Daniel Ekuale,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR
Lo Falemaka,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Drew Forbes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,
Phillip Gaines,IR,,,,,,,,,,,,,,,
Demetrius Harris,,,,,,,,,,,,,Q,,,
Willie Harvey,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rashard Higgins,,Q,Q,Q,Q,,,,,,,,,,,
Dontrell Hilliard,,O,,,,,,,,,,,,,Q,IR
KhaDarel Hodge,,,,,,,,,,,,Q,,,,
Chris Hubbard,,,Q,Q,Q,,,,,,,,Q,Q,,
Robert Jackson,,,,,,,,,,,,,O,IR,IR,IR
Kyle Kalis,IR,IR,,,,,,,,,,,,,,
Joe Kerridge,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
Christian Kirksey,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kendall Lamm,,O,O,O,O,Q,Q,Q,Q,Q,,,,,Q,Q
D.J. Montgomery,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Eric Murray,,,,,,,,O,O,O,O,O,D,O,Q,
David Njoku,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Damarious Randall,,O,O,,,,O,O,Q,,,,,,,
Sheldrick Redwine,,,Q,Q,Q,,Q,,,,,,,,,
Sheldon Richardson,,,,,,,,,,,,,,,Q,Q
Greg Robinson,,,,,,,,,,,,Q,,,,
Joe Schobert,,,,,,,,,,,Q,,,,,
Ricky Seals-Jones,,,,,,,,,Q,Q,,,,,,Q
Chris Smith,,Q,Q,,,,,,,,,,,,,
Drew Stanton,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sione Takitaki,Q,,,,,,,,,,,,,,,
Adarius Taylor,,O,Q,,,,,,,,,,,,,
J.C. Tretter,,,,,,,,,,,,,Q,Q,Q,Q
Olivier Vernon,,,,,,,,,O,O,O,Q,Q,O,Q,Q
Denzel Ward,,,Q,Q,Q,Q,,,,,,,,,,
Greedy Williams,,,Q,Q,Q,Q,,,,,,,,,,
