Player,09/13vs. BAL,09/17vs. CIN,09/27vs. WAS,10/04vs. DAL,10/11vs. IND,10/18vs. PIT,10/25vs. CIN,11/01vs. LVR,11/15vs. HOU,11/22vs. PHI,11/29vs. JAX,12/06vs. TEN,12/14vs. BAL,12/20vs. NYG,12/27vs. NYJ,01/03vs. PIT,01/10vs. PIT,01/17vs. KAN
Odell Beckham Jr.,,,,,,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Andrew Billings,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Joel Bitonio,,,,Q,,,,,,,,,,,,,C19,C19
Harrison Bryant,,,,,,,,,,,,,,,,C19,C19,
Stephen Carlson,,,,,,,,,,,,,,,,,,Q
Nick Chubb,,,,,IR,IR,IR,IR,,,,,,,,,,
Adrian Clayborn,,,Q,O,Q,,,,,,,,,,,,,
Jack Conklin,,Q,,,,,,,,C19,,,,,,,Q,Q
Tae Davis,,,,O,O,,,,,,,,,,,Q,,
Grant Delpit,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Drake Dorbeck,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Michael Dunn,,,,,,,,,,,,,,,,,,IR
Drew Forbes,,,,,,,IR,,,,IR,IR,IR,IR,IR,IR,IR,IR
Myles Garrett,,,,,,,,,,C19,C19,,,,,,Q,
Jamie Gillan,,,,,,Q,,,,,,,,,,,,
B.J. Goodson,,,,,,,,,,,,,,,C19,C19,C19,Q
Colby Gossett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Porter Gustin,,,,,,,,,,,C19,C19,,,,,,
Nick Harris,,,,Q,,,,,,,Q,Q,,,,O,IR,IR
Ronnie Harrison,,,,,,O,,,,,IR,IR,IR,IR,IR,IR,C19,
Rashard Higgins,,,,,,,,,,,,,,,,C19,,
KhaDarel Hodge,,,,,IR,IR,IR,IR,,,,O,O,Q,,C19,C19,C19
Austin Hooper,,,,,,,O,O,,,,,Q,Q,,,,
Chris Hubbard,O,Q,,,,,,,C19,C19,C19,,,,IR,IR,IR,IR
Kareem Hunt,,,,Q,,,,,,,,,,,,,,
Joe Jackson,,,,,,,,,,,C19,C19,,,,,,
Robert Jackson,,,,,,,,,,,,,,,,,,IR
Andy Janovich,,,,,,,,,,C19,C19,,,,,,,
Kevin Johnson,O,O,,,,,,,,,,,,Q,,,C19,C19
Karl Joseph,,,,,Q,O,Q,,,,,,,,,C19,,
Kendall Lamm,,,,,,,,,,,,,,,,Q,,
Jarvis Landry,,Q,,,,Q,,,,,,,,,,C19,,
Baker Mayfield,,,,,,Q,,,C19,,,,,,,,,
Terrance Mitchell,,,,,,,,,,,,,,,,,Q,
Jojo Natson,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
David Njoku,,IR,,,,,,,,,,,,Q,,,,Q
George Obinna,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Larry Ogunjobi,,,,,O,Q,,,,,,,,,,,,
Cody Parkey,,,,,,,,,,C19,,,,,,,,
Donovan Peoples-Jones,,,,,,,,,,,,,,,,C19,Q,
Jacob Phillips,,O,O,Q,,O,O,O,Q,,,,,,,C19,,
Malcolm Pridgeon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sheldrick Redwine,,,,,,,,,,,O,,,,,,,
Sheldon Richardson,,,,,,,Q,,,,,,,,,,Q,
Andrew Sendejo,,,,,,,,,,,Q,,,O,,C19,C19,
Malcolm Smith,,,,,,,,,,,,,,,Q,C19,C19,
M.J. Stewart,Q,,,,,,,,,,,,,,,,Q,
Sione Takitaki,,,,,,,,,,,C19,C19,,,,Q,,
Alex Taylor,IR,IR,,,,,,,,,,,,,,,,
Taywan Taylor,,,,,,,,,,,,O,IR,IR,IR,IR,IR,IR
Vincent Taylor,,,,,,,,,,,,Q,,,,,,
Wyatt Teller,,,,,,O,O,O,,Q,Q,,C19,O,O,Q,Q,
Tedric Thompson,,,,,,,,,,,,O,,,,,,
J.C. Tretter,Q,Q,,,,,,,,,,,,,,,,
Olivier Vernon,,Q,O,Q,,Q,,,,,,,,,,,IR,IR
Denzel Ward,,,Q,Q,,,,,,,O,O,O,Q,,C19,C19,C19
Curtis Weaver,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Greedy Williams,O,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jedrick Wills Jr.,,Q,,,,,,,,,,,,,C19,,,
Mack Wilson,O,O,Q,,,,,,,Q,,,,,,,,
Trevon Young,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
