Player,09/13vs. JAX,09/21vs. MIA,09/27vs. ARI,10/04vs. SEA,10/11vs. TEN,10/25vs. STL,11/01vs. SFO,11/08vs. HOU,11/15vs. NWE,11/22vs. BAL,11/29vs. HOU,12/06vs. TEN,12/13vs. DEN,12/17vs. JAX,12/27vs. NYJ,01/03vs. BUF,01/16vs. BAL,01/24vs. NYJ,02/07vs. NOR
Joseph Addai,,,,,P,,,,,,P,P,P,P,P,O,,P,P
Ervin Baldwin,,,,,,,,,,,,,,,,,P,O,
Hank Baskett,,,,,,,,,,O,P,,,,,,,,
Antoine Bethea,,,,,,,,,,P,P,,,Q,P,P,,P,P
Gary Brackett,,,O,O,,,,,,,,P,P,P,P,P,P,P,P
Raheem Brock,,,,,,,,,,,P,,,P,,,P,,
Donald Brown,,,,,,,D,O,,,P,O,O,O,P,P,,,P
Melvin Bullitt,,,,,,,,,,,P,,P,P,O,O,P,P,P
Dallas Clark,,,,,,,,,,,,,,,,,,P,
Michael Coe,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Austin Collie,,,,,,,,,,,,,,,,,,,
Keyunta Dawson,,,,P,,,,,,,O,D,P,P,O,P,P,,
Kyle DeVan,,,,,,,,,,,,P,P,P,,P,,,
Ryan Diem,,,,,,,,,,,,,P,P,P,O,P,P,P
Daniel Federkeil,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Eric Foster,,,,,,,P,,,P,,,,Q,,,,,
Aaron Francisco,,,,,,,,,O,O,O,D,O,O,P,P,P,,P
Dwight Freeney,,,Q,,,,P,,,P,O,P,,Q,P,O,P,P,Q
Pierre Garcon,,,,,,,,P,,P,P,,,P,O,D,P,,
Cody Glenn,,,,,,,,,,,,,,,,P,,P,
Anthony Gonzalez,,O,O,O,O,O,O,O,O,O,O,O,O,O,IR,IR,IR,IR,IR
Tyjuan Hagler,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Mike Hart,,,,,,,,,,,,,,,P,P,,,P
Kelvin Hayden,,,O,O,O,,,O,O,O,O,P,P,P,,,,,
Ramon Humber,,,,,,,Q,,,,P,P,,,,,,,
Marlin Jackson,,,,,Q,O,O,D,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tim Jennings,,,,,,O,Q,,,,P,P,P,P,P,P,P,,
Antonio Johnson,,,,,,,,,,,,,,,,O,P,P,P
Charlie Johnson,,P,,,Q,,,,,,P,O,P,P,D,O,P,P,P
Freddy Keiaho,,,,,,P,,,,,,,,,,,,,
Jacob Lacey,,,,,,,,,,,,,,P,P,P,,,
Ryan Lilja,,,,,,,,,,,,,,,,,,,P
Peyton Manning,,,,,,,,,,,P,P,P,P,P,,,,
Robert Mathis,,,,,,,,,,,P,P,P,P,Q,O,P,P,P
Fili Moala,O,,,,,,,O,,,,,,,,P,,,
Daniel Muir,,,,,,,,,,,,,P,P,,P,P,,
Curtis Painter,,,,,,,,,,,,,,,,,P,,
Jerraud Powers,,O,,,,,,,,,P,P,,O,O,O,P,O,Q
Jamey Richard,,O,,,,O,Q,,,,,P,P,P,P,P,P,P,P
Gijon Robinson,,Q,,,,,,,,O,O,,,,,O,P,,
Bob Sanders,O,O,O,O,D,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tom Santi,O,O,,,,,,,,,P,O,O,P,Q,IR,IR,IR,IR
Jeff Saturday,,,,,,,,,,,P,P,,,,,,,
Clint Session,,,P,,,,,,,,,,P,P,D,O,P,,
Jamie Silva,O,O,,,,,,P,,,,,,,,,,,
Chad Simpson,,,,O,,P,,,,,,,,P,P,O,,,
Justin Snow,,,,,,,,,,P,,,,,,,,,
Jim Sorgi,,,,,,,,,O,O,O,O,IR,IR,IR,IR,IR,IR,IR
Matt Stover,,,,,,,,,,,,,,,,,,,P
Jacob Tamme,,,,,,,P,,,,P,,,,,,,P,P
Tony Ugoh,,,,,,,,,,,P,P,P,P,P,P,P,P,P
Adam Vinatieri,,,,,,O,O,O,O,O,O,O,O,O,P,O,P,O,P
Reggie Wayne,,,,,,P,P,,,,P,P,P,P,P,P,P,,P
