Player,09/12vs. HOU,09/19vs. NYG,09/26vs. DEN,10/03vs. JAX,10/10vs. KAN,10/17vs. WAS,11/01vs. HOU,11/07vs. PHI,11/14vs. CIN,11/21vs. NWE,11/28vs. SDG,12/05vs. DAL,12/09vs. TEN,12/19vs. JAX,12/26vs. OAK,01/02vs. TEN,01/08vs. NYJ
Joseph Addai,,,P,P,P,P,D,D,D,O,D,D,O,O,P,,
Al Afalava,,,,,,,,,,,,,,,O,O,P
Pat Angerer,,,,,,,,,Q,,,,,,,,
Antoine Bethea,,,,,P,P,,,,,,,,,,,
Gary Brackett,,P,P,P,P,O,P,,O,O,O,P,Q,,,,
Donald Brown,,,,O,O,O,Q,,,,,,P,,,,
Melvin Bullitt,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
David Caldwell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dallas Clark,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Austin Collie,,,,P,P,P,O,,O,,O,O,O,,IR,IR,IR
Kavell Conner,,,,O,O,O,O,P,,,,,,,,,
Ryan Diem,,P,,,,,,P,,,,,,,,,Q
Brody Eldridge,,,,,,,,O,P,P,O,P,Q,,P,,
Eric Foster,,,P,,,,,,,,,,,,,P,
Aaron Francisco,,,,,,,,,,,,P,,,,,
Pierre Garcon,,,O,O,P,P,Q,,,,,,,,,,
John Gill,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Cody Glenn,O,P,,,,,,,,,,IR,IR,IR,IR,IR,IR
Anthony Gonzalez,,O,O,O,O,D,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tyjuan Hagler,,,,,,,,,,,,,,,P,,
Mike Hart,,,,,P,P,,O,O,O,O,P,D,O,P,O,Q
Kelvin Hayden,,,,,,,,,,P,,O,O,O,O,O,Q
Jordan Hemby,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ramon Humber,,P,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Javarris James,,,,,,,,,,,P,,,,,,
Antonio Johnson,,,,,,,O,O,P,,,,,,,,Q
Charlie Johnson,P,P,O,P,P,P,,,P,,,P,Q,P,P,P,
Brandon King,,,O,O,P,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jacob Lacey,O,P,,,O,O,O,P,,,,,,,,,
Ricardo Mathews,,,,,,,,,,,,O,O,,,,
Robert Mathis,,P,,,,,,P,,,,,,,,,
Marcus McCauley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Fili Moala,,,,,,,,,,,,,,P,,,
Devin Moore,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Daniel Muir,,,,,,,,,,,,P,,,O,O,P
Mike Newton,,,,,,,,,,,,,,,P,,Q
Jerraud Powers,,P,P,P,P,P,O,O,P,,,,O,IR,IR,IR,IR
Dominic Rhodes,,,,,,,,,,,,,,,,,Q
Jamey Richard,,,,O,P,,,,,,,,,O,P,,Q
Gijon Robinson,,,,,,,,,,,,,,,P,,
Bob Sanders,,O,O,O,O,O,O,O,O,O,O,O,O,IR,IR,IR,IR
Tom Santi,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jeff Saturday,P,P,P,P,,,,,,,,,,,,,
Clint Session,,O,O,P,P,,,O,O,O,O,O,O,O,O,O,Q
Jamie Silva,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Taj Smith,,,,,,,,,,,,,Q,,,,
Jacob Tamme,,,,,,,,,P,,,,Q,P,,,
Jaimie Thomas,,,,,,,,,,,,,,O,Q,O,P
Kevin Thomas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Justin Tryon,,,,,,,,O,O,O,O,P,,,,,
Tony Ugoh,Q,,,,,,,,,,,,,,,,
Chip Vaughn,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Reggie Wayne,,,,,P,,Q,,,P,P,P,Q,,,,Q
Blair White,,,,,,,,,O,P,,,,,,,
