Player,09/11vs. HOU,09/18vs. CLE,09/25vs. PIT,10/03vs. TAM,10/09vs. KAN,10/16vs. CIN,10/23vs. NOR,10/30vs. TEN,11/06vs. ATL,11/13vs. JAX,11/27vs. CAR,12/04vs. NWE,12/11vs. BAL,12/18vs. TEN,12/22vs. HOU,01/01vs. JAX
Joseph Addai,,,,,,D,D,O,O,O,P,P,,,,
Jamaal Anderson,,,,,,,,,,P,,,,O,P,
Pat Angerer,,,,,,,,P,P,,,,P,,,
Antoine Bethea,P,,,Q,,,,,,,,,,,P,
Gary Brackett,Q,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tyler Brayton,,P,,,,,,,,,,,,,,
Stevie Brown,,,,,,,,,,O,P,IR,IR,IR,IR,IR
Melvin Bullitt,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Delone Carter,,,,,,,,,,,,,,,P,
Anthony Castonzo,,,,,O,O,D,O,P,,,,,,,
Dallas Clark,,,P,,,,,,P,O,O,O,P,Q,D,P
Austin Collie,P,,,,,,,,,,,,,,,
Kerry Collins,,,P,D,O,D,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kavell Conner,,P,,,,,P,P,,,,,,,,
Ryan Diem,,,O,Q,O,P,O,D,P,,,P,,,,
A.J. Edds,,,,,,,O,P,,,,,O,O,,O
Brody Eldridge,,P,P,P,P,P,P,P,P,O,O,O,P,,,
Eric Foster,,P,P,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dwight Freeney,,,P,Q,P,,,,,,,,,,,
Anthony Gonzalez,Q,P,,,,,O,O,,,P,D,O,P,,O
Chris Gronkowski,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ben Ijalana,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Terrence Johnson,,,,,,,,,O,O,P,,IR,IR,IR,IR
Ryan Mahaffey,,,,,,,,,,,,O,P,,,
Peyton Manning,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Robert Mathis,,P,P,,,,,,,,,,,P,P,
Pat McAfee,,,,,,,,P,,,,,,,,
Fili Moala,,,O,Q,P,,,,,,,,,,,
Adrian Moten,,,,,,,,,,,Q,,,,,
Drake Nevis,Q,,,,O,O,O,O,O,P,O,O,IR,IR,IR,IR
Quinn Ojinnaka,,,,,,,,,P,,,,,,,
Seth Olsen,,,,,,,,P,,IR,IR,IR,IR,IR,IR,IR
Mike Pollak,,,,,P,,,O,P,,,,,,,
Jerraud Powers,,,,,,P,,,,,,,IR,IR,IR,IR
Joe Reitz,,,,Q,P,,,O,O,O,D,P,P,,,O
Jeff Saturday,,,,,,,,,P,,,P,,,P,
Ernie Sims,,O,O,Q,P,,,,,,,,P,,,
Chad Spann,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jacob Tamme,,,P,,,,,P,,,,,,,,
Philip Wheeler,,,,,,,,,,,,,,O,O,Q
Blair White,Q,P,P,,,,,,O,IR,IR,IR,IR,IR,IR,IR
