Player,09/09vs. CHI,09/16vs. MIN,09/23vs. JAX,10/07vs. GNB,10/14vs. NYJ,10/21vs. CLE,10/28vs. TEN,11/04vs. MIA,11/08vs. JAX,11/18vs. NWE,11/25vs. BUF,12/02vs. DET,12/09vs. TEN,12/16vs. HOU,12/23vs. KAN,12/30vs. HOU,01/06vs. BAL
Pat Angerer,O,O,O,O,O,P,Q,P,P,,,,,,,,P
Donnie Avery,,,,,,,,Q,,,P,,,P,,P,
Antoine Bethea,,,,,,,,,,,P,,P,,,,
Donald Brown,,,,,O,O,,P,Q,P,P,P,O,IR,IR,IR,IR
Darius Butler,,,,,,O,O,P,,,,,,,,,
Delone Carter,P,,,,,,,,,,,,,O,O,O,O
Josh Chapman,O,O,O,O,O,O,O,O,O,O,P,IR,IR,IR,IR,IR,IR
Austin Collie,P,D,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kavell Conner,,,,,,,,,,,,,,O,O,Q,
Vontae Davis,,,,O,D,P,Q,O,O,O,D,P,,,,,
A.J. Edds,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Coby Fleener,,,,P,,,,O,O,O,Q,P,,P,,,
Moise Fokou,,,,,,,,,,,,,,,,,
Jerrell Freeman,,,,,,P,,P,,,,,,,P,P,P
Dwight Freeney,Q,O,P,P,P,P,P,P,P,,,,,,P,,
Tim Fugger,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kellen Heard,,,,,,,,,,,,,,,,,O
Tony Hills,,,,,,,,,,,,P,,,,,
T.Y. Hilton,Q,P,,,,,,,,,,,,,,,
Robert Hughes,,,,,,,,,,,,,,IR,IR,IR,IR
Ben Ijalana,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Antonio Johnson,,,,,,,P,,,,,,,,Q,O,P
Winston Justice,,P,P,,,P,P,Q,O,P,,,,O,Q,P,P
Deji Karim,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brandon King,IR,,,,,,,,,,,,,,,,
Justin King,,,,D,,,,,,,,,,,,,
Joe Lefeged,,,,,,,,,,,,P,,,P,,
Korey Lindsey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jeff Linkenbach,,,,,,,,Q,,,,,,,,,
Andrew Luck,,,,,,,P,P,,,P,P,P,P,P,P,P
Scott Lutrus,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Robert Mathis,,,,P,O,O,O,Q,O,P,,,,,,,
Mike McGlynn,,,Q,,,,,,,,,,,,,,
Brandon McKinney,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Fili Moala,,,,,O,O,O,P,,,,IR,IR,IR,IR,IR,IR
Mewelde Moore,P,,,Q,P,,,,,,,,,,,,
Drake Nevis,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Mike Newton,IR,,,,,,,,,,,,,,,,
Seth Olsen,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,P,,,,
Jerraud Powers,P,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR
Cory Redding,P,,Q,,Q,O,P,,,,Q,,P,,,O,P
Joe Reitz,O,D,O,O,O,Q,P,,,,,Q,O,P,,D,O
Jabin Sambrano,IR,IR,IR,,,,,,,,,,,,,,
Samson Satele,,,Q,Q,P,,,D,O,P,,,,O,O,O,P
A.Q. Shipley,,,,,,,,,,,,,,,Q,Q,P
Bradley Sowell,,,,,,,,,,,,,,,,,P
Martin Tevaseu,,,,,O,O,P,,,,,Q,,,P,,
Griff Whalen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Teddy Williams,,,,,,,,,,,P,,,,,Q,O
Tom Zbikowski,,,,,,,,,,,,O,O,O,O,Q,P
