Player,09/07vs. DEN,09/15vs. PHI,09/21vs. JAX,09/28vs. TEN,10/05vs. BAL,10/09vs. HOU,10/19vs. CIN,10/26vs. PIT,11/03vs. NYG,11/16vs. NWE,11/23vs. JAX,11/30vs. WAS,12/07vs. CLE,12/14vs. HOU,12/21vs. DAL,12/28vs. TEN,01/04vs. CIN,01/11vs. DEN,01/18vs. NWE
Mike Adams,,,,,,,P,,,,,,Q,P,,,,,
Daniel Adongo,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dwayne Allen,,,,,,,,,,,D,O,P,,,D,P,,
Colt Anderson,,,,Q,P,,,,,,,Q,,,,,,,
Vick Ballard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ahmad Bradshaw,,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Sergio Brown,Q,P,,,,,,,,,,,,P,,,,,
Darius Butler,,,P,P,,O,O,P,,,,Q,,P,,,,,
Victor Butler,,,,,,,,,,O,,,,,,,,,
Josh Chapman,,Q,,,,,,,,,,,,,,,,,
Gosder Cherilus,,,,,,,P,,,Q,O,P,,,O,O,IR,IR,IR
Josh Cribbs,,,,,,,,,,,,,Q,,,,,,
Vontae Davis,,,,P,,,,,P,,,,O,P,P,,,Q,Q
Jack Doyle,,,,,,,,Q,,,,,,,,,,,
Jerrell Freeman,,O,O,O,P,Q,,,,,,,,,,O,P,P,
Josh Gordy,,,,,,,,,,,,P,,,,,,,
Jonotthan Harrison,P,,,,,,,,,,,,P,Q,,,,O,
Mario Harvey,,,,O,,,,,,,,,,,,,,,
Stanley Havili,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,
T.Y. Hilton,,,,P,,,,,,,,,P,,Q,P,,,
Khaled Holmes,Q,Q,O,Q,,,,,,,,,,,,,,,
Andrew Jackson,,,,,,,,,,,,,,,,,,P,
D'Qwell Jackson,,,,,,,,,P,,,,,P,,,,,
Ricky Jean-Francois,,,Q,,,,,,,,,,,,,,,,
Ulrick John,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Cam Johnson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Arthur Jones,,Q,O,O,O,O,O,P,O,O,P,,P,,,,,,
Deji Karim,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Zach Kerr,,,,,,,,,,,,,O,,,,,,
LaRon Landry,,,,,S,S,S,S,P,,,,,P,,,,,
Shawn Loiseau,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Lance Louis,,,,,,,,,,,,,O,Q,,,,,
Robert Mathis,S,S,S,S,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Josh McNary,,,,,,,,,O,P,,,,,,,,,O
Jack Mewhort,,,,,O,O,P,,,,,,,,,,,,
Fili Moala,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Aaron Morgan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Henoc Muamba,,,,,,,,,,O,,,,,,,,O,
Hakeem Nicks,,,Q,,,,,,,,,,,,,,,,
Xavier Nixon,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,O,O,P,,,,,
Jeris Pendleton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Loucheiz Purifoy,,,,,,,,,,,,Q,,,,,,,
Cory Redding,,,,,,,,,,,,P,P,,,P,,,
Joe Reitz,D,O,O,P,,,,,,,,,,D,O,O,P,,
Trent Richardson,,,,,,,,O,,,P,,,,,,Q,,O
A.Q. Shipley,,,,,,,,,,,,,,,,,D,O,
Andy Studebaker,,,,Q,P,,,,,,,O,O,P,,,,,
Donald Thomas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Hugh Thornton,,,,D,P,O,P,,,,,O,O,O,O,P,D,IR,IR
Greg Toler,,Q,P,P,,,,,,,O,P,,,,,,P,Q
Erik Walden,Q,,,P,,,,,O,P,,,P,P,P,P,P,P,P
Reggie Wayne,,,,,,,,D,P,,,,,,,,P,,
Bjoern Werner,,,,,,P,,,,,,,,,,O,P,,
