Player,09/11vs. DET,09/18vs. DEN,09/25vs. SDG,10/02vs. JAX,10/09vs. CHI,10/16vs. HOU,10/23vs. TEN,10/30vs. KAN,11/06vs. GNB,11/20vs. TEN,11/24vs. PIT,12/05vs. NYJ,12/11vs. HOU,12/18vs. MIN,12/24vs. OAK,01/01vs. JAX
Henry Anderson,O,O,,,,,O,O,Q,,,,,,,
Quan Bray,,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Darius Butler,O,Q,O,O,Q,,Q,,,,,,,,,O
Trent Cole,,D,Q,IR,IR,IR,IR,IR,IR,IR,IR,,,,,
Antonio Cromartie,,Q,,,,,,,,,,,,,,
Vontae Davis,O,O,Q,,,,,,Q,,Q,,,,,
Phillip Dorsett,,,,Q,,,O,,,,,,,Q,,
Clayton Geathers,O,Q,Q,,,,,,,,IR,IR,IR,IR,IR,IR
Denzelle Good,,,O,Q,Q,,,,Q,,,Q,O,O,,
T.J. Green,,O,Q,,,,Q,,,,,,,Q,,
Joe Haeg,Q,,,,,,,,,,,,,,,
T.Y. Hilton,,,Q,,,Q,Q,,,,,Q,,,,
Arthur Jones,,,,,,,,,,Q,,,,IR,IR,IR
Ryan Kelly,,,Q,,,,,,,,,,,,,
Kendall Langford,,Q,,,,,,IR,IR,O,IR,IR,IR,IR,IR,IR
Andrew Luck,,,Q,,,,,,,,O,,,,,
Curt Maggitt,,,,,,,O,O,Q,,,,Q,IR,IR,IR
Robert Mathis,,Q,,,Q,,,,,,,O,O,,,
Rashaan Melvin,,,,,,,,,,,,,,,Q,Q
Jack Mewhort,Q,,,,,,O,O,O,,,,,IR,IR,IR
Tevin Mitchel,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Donte Moncrief,,,O,O,O,O,O,Q,,,Q,,,O,,D
Joe Reitz,,,,Q,Q,,,,O,,,,,O,Q,
Hassan Ridgeway,,,,,,,,,,,,Q,,,,
Patrick Robinson,,,,,,,,,,,,IR,IR,IR,IR,IR
Chester Rogers,,,,,,,,O,,,,,,,,
D'Joun Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
Dezmen Southward,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ron Thompson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Hugh Thornton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Robert Turbin,,,,,Q,,,,,,,,,,,
Frankie Williams,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Andrew Williamson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
