Player,09/13vs. JAX,09/20vs. MIN,09/27vs. NYJ,10/04vs. CHI,10/11vs. CLE,10/18vs. CIN,11/01vs. DET,11/08vs. BAL,11/12vs. TEN,11/22vs. GNB,11/29vs. TEN,12/06vs. HOU,12/13vs. LVR,12/20vs. HOU,12/27vs. PIT,01/03vs. JAX,01/09vs. BUF
Matthew Adams,Q,,IR,IR,IR,IR,IR,IR,C19,C19,,,,,,,
Mo Alie-Cox,,,,,,O,Q,Q,Q,,,,,Q,,,
Bruce Anderson,IR,IR,IR,IR,,,,,,,,,,,,,
Denico Autry,,,,,,Q,,,,C19,C19,C19,,,,,
Julian Blackmon,O,Q,,,,,,,,,,,,,,,
DeForest Buckner,,,,,,,,,,,C19,C19,,Q,,,Q
Trey Burton,IR,IR,IR,IR,,,,,,,,,,,,,
Parris Campbell,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,IR
T.J. Carrie,,,,O,,,,,,,,,,,,,
Anthony Castonzo,,,,,O,Q,,,,,,O,Q,Q,Q,IR,IR
Le'Raven Clark,,,,,,,,,,,,,IR,IR,IR,IR,IR
Sheldon Day,IR,IR,IR,IR,IR,IR,,,,,,,,,,,
Jack Doyle,,O,Q,,,,,,O,Q,,,,,,,
Ashton Dulin,,,,,,,,O,IR,IR,IR,,,,,,
Jordan Glasgow,,,,,,,,,,,,,,C19,C19,C19,
Chaz Green,,,,,,O,,,,,,Q,,,,,
T.Y. Hilton,,,,,,,,D,,,,,,,,,
Will Holden,,,,,,,,,,,,,,,,O,O
Malik Hooker,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Justin Houston,,Q,,,,Q,,,,,,,,,,,
Gary Jennings Jr,,,,,,,,,,,,,,,,,/
Marcus Johnson,,,,,,,,Q,,,,,,,O,,
Ryan Kelly,,,,,,,Q,,,,Q,,,,,,
Darius Leonard,,,,,O,D,,,,,,,,,,,
Tyquan Lewis,,,,,,,,,,,,,Q,,,,
Marlon Mack,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rolan Milligan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR
Skai Moore,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Al-Quadin Muhammad,,,,,,,,,,,,,,,Q,,
Nick Nelson,,,,,,,,,,,,,,,,,/
Quenton Nelson,,,,,,,,,,,Q,,,,,,
Bobby Okereke,,,,,,,,,,,O,O,Q,,,,
Zach Pascal,,Q,,,,,,,,,Q,,,,,,
Michael Pittman Jr.,,Q,,O,IR,IR,IR,,,,,,,,,Q,
Philip Rivers,,,,,,,,,,,Q,,,,,,
Isaiah Rodgers,,Q,,,,,,,,Q,Q,,,,,,
Rigoberto Sanchez,,,,,,,,,,,,O,O,,,,
Braden Smith,,,,,,,,,,Q,,,,,O,C19,
Jonathan Taylor,,,,,,,,,,,C19,,,,,,
Marvell Tell III,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jordan Thomas,,,,,,,,,,,,,,,,,/
Noah Togiai,,,,,,,,,,Q,,IR,IR,IR,IR,IR,
Kemoko Turay,PUP,PUP,PUP,PUP,PUP,PUP,,,,Q,,,,,,,
Anthony Walker,,,,,Q,,,,,,Q,,,,,,
Jordan Wilkins,,,,,,Q,,,,,,,,,,,C19
Khari Willis,,,,,,,,,,,Q,O,,,,O,
Rock Ya-Sin,,,O,,,,,,,,,,,,,O,O
