,Division Placement,Points For,Points for Per Game,Points For Ranking,Points Against,Points Against Per Game,Points Against Ranking,Expected Wins,Expected Losses,Team Rating SRS,SRS rank,Strength of Schedule
1920,4,115,11.5,8,43,4.3,4,9.1,0.9,5.28,11,-1.92
1921,8,54,6.8,13,53,6.6,6,4.1,3.9,-2.44,12,-2.56
1922,3,96,8.7,8,50,4.5,5,9.1,1.9,-0.86,11,-5.04
1923,6,161,13.4,2,56,4.7,7,11.1,0.9,1.68,9,-7.07
1924,8,90,9.0,10,67,6.7,7,6.7,3.3,-4.10,12,-6.40
1925,1,230,16.4,2,65,4.6,3,13.3,0.7,1.69,6,-10.10
1926,10,74,6.2,11,98,8.2,13,4.1,7.9,.98,10,2.98
1927,9,69,6.3,9,134,12.2,9,1.9,9.1,-1.40,10,4.51
1928,9,7,1.2,10,107,17.8,9,0.0,6.0,-15.55,10,1.11
1929,4,154,11.8,4,83,6.4,3,10.6,2.4,5.65,3,.19
1930,7,128,9.8,6,132,10.2,6,6.3,6.7,1.12,5,1.42
1931,4,120,13.3,2,128,14.2,10,4.2,4.8,3.05,5,3.94
1932,6,72,7.2,5,114,11.4,7,2.5,7.5,-3.12,5,1.08
1933,5,52,4.7,9,101,9.2,7,1.9,9.1,-4.72,7,-0.27
1934,4,80,7.3,8,84,7.6,3,5.2,5.8,2.29,5,2.66
1935,3,99,8.3,6,97,8.1,3,6.1,5.9,2.66,5,2.49
1936,4,74,6.2,8,143,11.9,5,2.1,9.9,-1.42,5,4.33
1937,4,135,12.3,5,165,15.0,7,4.2,6.8,-0.16,6,2.57
1938,5,111,10.1,9,168,15.3,8,3.0,8.0,-2.79,8,2.40
1939,5,84,7.6,10,254,23.1,10,0.7,10.3,-9.64,9,5.81
1940,5,139,12.6,6,222,20.2,10,2.7,8.3,-4.26,8,3.28
1941,4,127,11.5,6,197,17.9,7,2.9,8.1,-1.55,6,4.81
1942,4,98,8.9,9,209,19.0,7,1.6,9.4,-7.55,9,2.55
1943,4,95,9.5,7,238,23.8,8,1.0,9.0,-10.43,7,3.87
1944,5,108,10.8,8,328,32.8,10,0.7,9.3,-17.89,10,4.11
1945,5,98,9.8,9,228,22.8,9,1.2,8.8,-8.22,9,4.78
1946,3,260,23.6,3,198,18.0,6,7.2,3.8,5.06,5,-0.57
1947,1,306,25.5,3,231,19.3,3,7.9,4.1,8.11,4,1.86
1948,1,395,32.9,1,226,18.8,3,9.5,2.5,13.15,4,-0.93
1949,3,360,30.0,2,301,25.1,7,7.3,4.7,4.73,6,-0.18
1950,5,233,19.4,9,287,23.9,7,4.5,7.5,1.22,7,5.72
1951,6,210,17.5,10,287,23.9,9,3.9,8.1,-3.88,8,2.54
1952,5,172,14.3,12,221,18.4,3,4.3,7.7,-4.08,10,.00
1953,6,190,15.8,10,337,28.1,10,2.5,9.5,-9.61,10,2.64
1954,6,183,15.3,11,347,28.9,11,2.2,9.8,-14.47,11,-0.80
1955,4,224,18.7,9,252,21.0,8,5.2,6.8,1.23,5,3.56
1956,2,240,20.0,7,182,15.2,2,7.9,4.1,3.41,4,-1.43
1957,6,200,16.7,10,299,24.9,11,3.3,8.7,-7.56,12,.69
1958,5,261,21.8,5,356,29.7,11,3.9,8.1,-7.40,10,.52
1959,6,234,19.5,10,324,27.0,11,3.8,8.2,-8.24,11,-0.74
1960,4,288,24.0,4,230,19.2,5,7.6,4.4,5.16,6,.32
1961,4,279,19.9,10,267,19.1,4,7.4,6.6,-1.50,14,-2.36
1962,6,287,20.5,10,361,25.8,10,5.1,8.9,-7.28,18,-2.00
1963,3,341,24.4,4,283,20.2,6,8.5,5.5,4.01,9,-0.13
1964,2,357,25.5,3,331,23.6,11,7.6,6.4,-0.60,10,-2.45
1965,5,296,21.1,9,309,22.1,7,6.6,7.4,-7.00,18,-6.07
1966,4,264,18.9,11,265,18.9,6,7.0,7.0,-2.35,16,-2.28
1967,3,333,23.8,8,356,25.4,12,6.4,7.6,-2.39,16,-0.75
1968,2,325,23.2,4,289,20.6,8,8.0,6.0,1.83,12,-0.74
1969,3,314,22.4,5,389,27.8,14,5.3,8.7,-7.02,22,-1.66
1970,3,325,23.2,4,228,16.3,5,9.8,4.2,7.43,4,.50
1971,4,231,16.5,20,279,19.9,15,5.5,8.5,-4.20,19,-0.77
1972,4,193,13.8,23,303,21.6,18,3.6,10.4,-5.68,21,2.17
1973,4,286,20.4,11,365,26.1,23,5.0,9.0,-3.33,16,2.32
1974,1,285,20.4,9,218,15.6,8,9.2,4.8,5.83,7,1.05
1975,1,356,25.4,7,276,19.7,11,9.0,5.0,3.48,11,-2.23
1976,3,309,22.1,8,267,19.1,16,8.2,5.8,2.56,14,-0.44
1977,3,272,19.4,11,287,20.5,23,6.6,7.4,-1.41,16,-0.34
1978,4,248,15.5,23,296,18.5,15,6.3,9.7,-2.52,22,.49
1979,5,307,19.2,17,358,22.4,21,6.6,9.4,-2.75,19,.44
1980,4,299,18.7,19,350,21.9,21,6.5,9.5,-2.39,20,.80
1981,5,315,19.7,18,408,25.5,27,5.6,10.4,-4.67,24,1.15
1982,3,135,15.0,25,170,18.9,12,3.3,5.7,-2.73,19,1.16
1983,3,374,23.4,9,428,26.8,25,6.7,9.3,-1.08,16,2.30
1984,3,423,26.4,4,345,21.6,17,9.9,6.1,5.38,7,.50
