,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result,Year
0,1,@CHI,3.5,0.0,"L, 10-17",Lost,Over,1978
1,2,NWE,6.5,0.0,"L, 6-16",Lost,Over,1978
2,3,WAS,3.5,0.0,"L, 10-28",Lost,Over,1978
3,4,@DAL,17.0,0.0,"L, 12-21",Won,Over,1978
4,5,@MIA,9.0,0.0,"L, 10-24",Lost,Over,1978
5,6,BAL,-2.5,0.0,"L, 17-30",Lost,Over,1978
6,7,DAL,13.5,0.0,"L, 21-24",Won,Over,1978
7,8,@NYJ,8.0,0.0,"L, 10-23",Lost,Over,1978
8,9,@PHI,11.0,0.0,"W, 16-10",Won,Over,1978
9,10,NYG,-3.0,0.0,"W, 20-10",Won,Over,1978
10,11,@SFO,-5.0,0.0,"W, 16-10",Won,Over,1978
11,12,@WAS,4.5,0.0,"W, 27-17",Won,Over,1978
12,13,PHI,-3.5,0.0,"L, 10-14",Lost,Over,1978
13,14,DET,-1.0,0.0,"W, 21-14",Won,Over,1978
14,15,@NYG,-2.5,0.0,"L, 0-17",Lost,Over,1978
15,16,ATL,-1.0,0.0,"W, 42-21",Won,Over,1978
16,1,DAL,4.0,37.0,"L, 21-22",Won,Over,1979
17,2,@NYG,-3.0,36.0,"W, 27-14",Won,Over,1979
18,3,PIT,6.0,40.0,"L, 21-24",Won,Over,1979
19,4,WAS,-3.0,39.0,"L, 7-17",Lost,Under,1979
20,5,@RAM,6.0,38.0,"L, 0-21",Lost,Under,1979
21,6,@HOU,7.0,39.0,"W, 24-17",Won,Over,1979
22,7,PHI,-3.0,38.0,"L, 20-24",Lost,Over,1979
23,8,@DAL,10.0,39.0,"L, 13-22",Won,Under,1979
24,9,CLE,-3.0,42.0,"L, 20-38",Lost,Over,1979
25,10,MIN,-5.0,39.0,"W, 37-7",Won,Over,1979
26,11,@WAS,3.0,39.0,"L, 28-30",Won,Over,1979
27,12,@PHI,3.0,39.0,"L, 13-16",Push,Under,1979
28,13,@CIN,2.0,42.0,"L, 28-34",Lost,Over,1979
29,14,SFO,-6.0,43.0,"W, 13-10",Lost,Under,1979
30,15,NYG,-2.0,36.0,"W, 29-20",Won,Over,1979
31,16,@CHI,4.0,37.0,"L, 6-42",Lost,Over,1979
32,1,NYG,-7.0,42.0,"L, 35-41",Lost,Over,1980
33,2,@SFO,3.0,42.0,"L, 21-24",Push,Over,1980
34,3,@DET,7.5,42.0,"L, 7-20",Lost,Under,1980
35,4,PHI,6.0,44.0,"W, 24-14",Won,Under,1980
36,5,@NOR,-1.0,45.0,"W, 40-7",Won,Over,1980
37,6,RAM,3.0,49.0,"L, 13-21",Lost,Under,1980
38,7,@WAS,4.0,39.0,"L, 0-23",Lost,Under,1980
39,8,@BAL,8.0,41.0,"W, 17-10",Won,Under,1980
40,9,DAL,5.0,42.0,"L, 24-27",Won,Over,1980
41,10,ATL,1.0,43.0,"L, 27-33",Lost,Over,1980
42,11,@DAL,9.0,44.0,"L, 21-31",Lost,Over,1980
43,12,KAN,-2.0,42.0,"L, 13-21",Lost,Under,1980
44,13,@NYG,-2.0,43.0,"W, 23-7",Won,Under,1980
45,14,DET,-2.0,40.0,"W, 24-23",Lost,Over,1980
46,15,@PHI,9.0,39.0,"L, 3-17",Lost,Under,1980
47,16,WAS,-2.0,38.0,"L, 7-31",Lost,Push,1980
48,1,MIA,0.0,38.0,"L, 7-20",Lost,Under,1981
49,2,@DAL,10.0,41.0,"L, 17-30",Lost,Over,1981
50,3,WAS,-3.0,38.0,"W, 40-30",Won,Over,1981
51,4,@TAM,1.0,38.0,"L, 10-20",Lost,Under,1981
52,5,DAL,5.5,44.0,"W, 20-17",Won,Under,1981
53,6,@NYG,1.0,38.0,"L, 14-34",Lost,Over,1981
54,7,@ATL,8.0,45.0,"L, 20-41",Lost,Over,1981
55,8,MIN,2.5,50.0,"W, 30-17",Won,Under,1981
56,9,@WAS,4.0,46.0,"L, 21-42",Lost,Over,1981
57,10,PHI,4.5,42.0,"L, 10-52",Lost,Over,1981
58,11,BUF,5.5,43.0,"W, 24-0",Won,Under,1981
59,12,@BAL,-2.0,41.0,"W, 35-24",Won,Over,1981
60,13,@NWE,4.0,48.0,"W, 27-20",Won,Under,1981
61,14,NOR,-6.5,45.0,"W, 30-3",Won,Under,1981
62,15,NYG,-4.0,41.0,"L, 10-20",Lost,Under,1981
63,16,@PHI,9.0,39.0,"L, 0-38",Lost,Under,1981
64,1,@NOR,-1.0,36.0,"W, 21-7",Won,Under,1982
65,2,DAL,4.0,39.0,"L, 7-24",Lost,Under,1982
66,3,SFO,4.0,36.0,"L, 20-31",Lost,Over,1982
67,4,@ATL,7.0,42.0,"W, 23-20",Won,Over,1982
68,5,@PHI,5.5,39.0,"W, 23-20",Won,Over,1982
69,6,WAS,1.0,42.0,"L, 7-12",Lost,Under,1982
70,7,@CHI,-1.0,35.0,"W, 10-7",Won,Under,1982
71,8,NYG,-1.0,34.0,"W, 24-21",Won,Over,1982
72,9,@WAS,5.0,33.0,"L, 0-28",Lost,Under,1982
73,10,@GNB,4.5,37.5,"L, 16-41",Lost,Over,1982
74,1,@NOR,2.5,37.0,"L, 17-28",Lost,Over,1983
75,2,DAL,4.0,42.0,"L, 17-34",Lost,Over,1983
76,3,SFO,3.5,45.5,"L, 27-42",Lost,Over,1983
77,4,@PHI,6.0,43.0,"W, 14-11",Won,Under,1983
78,5,@KAN,2.5,37.0,"L, 14-38",Lost,Over,1983
79,6,WAS,6.0,43.5,"L, 14-38",Lost,Over,1983
80,7,@TAM,3.0,39.0,"W, 34-27",Won,Over,1983
81,8,NYG,-2.0,44.0,"T, 20-20",Lost,Under,1983
82,9,MIN,3.5,46.5,"W, 41-31",Won,Over,1983
83,10,@WAS,10.0,52.0,"L, 7-45",Lost,Push,1983
84,11,SEA,3.0,46.0,"W, 33-28",Won,Over,1983
85,12,SDG,1.0,52.5,"W, 44-14",Won,Over,1983
86,13,@DAL,10.0,54.5,"L, 17-35",Lost,Under,1983
87,14,@NYG,-1.0,41.0,"W, 10-6",Won,Under,1983
88,15,@RAI,9.0,47.5,"W, 34-24",Won,Over,1983
89,16,PHI,-6.0,42.0,"W, 31-7",Won,Under,1983
90,1,@GNB,3.5,46.5,"L, 23-24",Won,Over,1984
91,2,BUF,-7.0,42.0,"W, 37-7",Won,Over,1984
92,3,@IND,-5.5,44.5,"W, 34-33",Lost,Over,1984
93,4,@NOR,0.0,46.5,"L, 24-34",Lost,Over,1984
94,5,MIA,3.5,50.5,"L, 28-36",Lost,Over,1984
95,6,@DAL,6.5,48.0,"W, 31-20",Won,Over,1984
96,7,CHI,-3.0,45.0,"W, 38-21",Won,Over,1984
97,8,WAS,3.5,52.0,"W, 26-24",Won,Under,1984
98,9,@PHI,-3.0,43.5,"W, 34-14",Won,Over,1984
99,10,RAM,-6.0,48.0,"L, 13-16",Lost,Under,1984
100,11,DAL,-4.0,44.0,"L, 17-24",Lost,Under,1984
101,12,@NYG,0.0,43.0,"L, 10-16",Lost,Under,1984
102,13,PHI,-4.5,43.0,"W, 17-16",Lost,Under,1984
103,14,@NWE,3.5,43.5,"W, 33-10",Won,Under,1984
104,15,NYG,-3.0,40.5,"W, 31-21",Won,Over,1984
105,16,@WAS,6.0,46.5,"L, 27-29",Won,Over,1984
106,1,@CLE,-2.5,40.5,"W, 27-24",Won,Over,1985
107,2,CIN,-4.0,49.0,"W, 41-27",Won,Over,1985
108,3,@NYG,1.5,40.0,"L, 17-27",Lost,Over,1985
109,4,GNB,-7.5,48.0,"W, 43-28",Won,Over,1985
110,5,@WAS,-2.0,47.0,"L, 10-27",Lost,Under,1985
111,6,@PHI,-3.5,41.5,"L, 7-30",Lost,Under,1985
112,7,@PIT,4.0,44.0,"L, 10-23",Lost,Under,1985
113,8,HOU,-7.0,45.5,"L, 10-20",Lost,Under,1985
114,9,DAL,3.5,43.0,"W, 21-10",Won,Under,1985
115,10,@TAM,-2.5,47.5,"L, 0-16",Lost,Under,1985
116,11,PHI,-2.5,38.0,"L, 14-24",Lost,Push,1985
117,12,NYG,4.0,41.0,"L, 3-34",Lost,Under,1985
118,13,@DAL,13.0,40.0,"L, 17-35",Lost,Over,1985
119,14,NOR,-3.0,41.0,"W, 28-16",Won,Over,1985
120,15,@RAM,8.5,39.5,"L, 14-46",Lost,Over,1985
121,16,WAS,6.0,41.0,"L, 16-27",Lost,Over,1985
122,1,RAM,2.5,41.0,"L, 10-16",Lost,Under,1986
123,2,@ATL,2.5,42.0,"L, 13-33",Lost,Over,1986
124,3,@BUF,3.0,41.0,"L, 10-17",Lost,Under,1986
125,4,DAL,7.0,45.0,"L, 7-31",Lost,Under,1986
126,5,NYG,7.5,39.0,"L, 6-13",Won,Under,1986
127,6,@TAM,3.0,38.0,"W, 30-19",Won,Over,1986
128,7,@WAS,13.0,38.5,"L, 21-28",Won,Over,1986
129,8,@DAL,11.0,41.0,"L, 6-37",Lost,Over,1986
130,9,PHI,2.5,37.0,"W, 13-10",Won,Under,1986
131,10,@SFO,11.0,40.0,"L, 17-43",Lost,Over,1986
132,11,NOR,3.0,37.5,"L, 7-16",Lost,Under,1986
133,12,KAN,3.5,39.5,"W, 23-14",Won,Under,1986
134,13,WAS,7.5,39.0,"L, 17-20",Won,Under,1986
135,14,@PHI,4.5,36.0,"T, 10-10",Won,Under,1986
136,15,@NYG,10.5,37.0,"L, 7-27",Lost,Under,1986
137,16,TAM,-12.5,41.0,"W, 21-17",Lost,Under,1986
138,1,DAL,0.0,38.0,"W, 24-13",Won,Under,1987
139,2,@SDG,5.5,45.0,"L, 24-28",Won,Over,1987
140,3,@WAS,-5.0,0.0,"L, 21-28",Lost,Over,1987
141,4,NOR,-2.5,0.0,"W, 24-19",Won,Over,1987
