,Week,Day,Date,Time,Outcome,OT,Rec,Home,Opp,Score_Tm,Score_Opp,Offense_1stD,Offense_TotYd,Offense_PassY,Offense_RushY,Offense_TO,Defense_1stD,Defense_TotYd,Defense_PassY,Defense_RushY,Defense_TO,Year,Expected Points_Offense,Expected Points_Defense,Expected Points_Sp. Tms
0,3,Sun,October 10,,T,False,0-0-1,False,Chicago Tigers,0.0,0.0,,,,,,,,,,,1920,,,
1,4,Sun,October 17,,W,False,1-0-1,True,Moline Universal Tractors,33.0,0.0,,,,,,,,,,,1920,,,
2,5,Sun,October 24,,L,False,1-1-1,False,Rock Island Independents,0.0,7.0,,,,,,,,,,,1920,,,
3,6,Sun,October 31,,W,False,2-1-1,True,Detroit Heralds,21.0,0.0,,,,,,,,,,,1920,,,
4,7,Sun,November 7,,W,False,3-1-1,False,Chicago Tigers,6.0,3.0,,,,,,,,,,,1920,,,
5,8,Sun,November 14,,W,False,4-1-1,True,Cincinnati Celts,20.0,0.0,,,,,,,,,,,1920,,,
6,9,Sun,November 21,,W,False,5-1-1,True,Lansing Oldsmobile,14.0,0.0,,,,,,,,,,,1920,,,
7,10,Sun,November 28,,W,False,6-1-1,True,Decatur Staleys,7.0,6.0,,,,,,,,,,,1920,,,
8,11,Sun,December 5,,L,False,6-2-1,True,Decatur Staleys,0.0,10.0,,,,,,,,,,,1920,,,
9,13,Sun,December 19,,T,False,6-2-2,False,Chicago Stayms,14.0,14.0,,,,,,,,,,,1920,,,
10,2,Sun,October 2,,W,False,1-0,True,Minneapolis Marines,20.0,0.0,,,,,,,,,,,1921,,,
11,3,Sun,October 9,,L,False,1-1,True,Akron Pros,0.0,23.0,,,,,,,,,,,1921,,,
12,4,Sun,October 16,,L,False,1-2,True,Rock Island Independents,7.0,14.0,,,,,,,,,,,1921,,,
13,5,Sun,October 23,,W,False,2-2,True,Columbus Panhandles,17.0,6.0,,,,,,,,,,,1921,,,
14,7,Sun,November 6,,W,False,3-2,True,Hammond Pros,7.0,0.0,,,,,,,,,,,1921,,,
15,9,Sun,November 20,,T,False,3-2-1,True,Green Bay Packers,3.0,3.0,,,,,,,,,,,1921,,,
16,11,Sun,December 4,,L,False,3-3-1,True,Akron Pros,0.0,7.0,,,,,,,,,,,1921,,,
17,13,Sun,December 18,,T,False,3-3-2,False,Chicago Staleys,0.0,0.0,,,,,,,,,,,1921,,,
18,1,Sun,October 1,,W,False,1-0,True,Milwaukee Badgers,3.0,0.0,,,,,,,,,,,1922,,,
19,3,Sun,October 15,,W,False,2-0,True,Green Bay Packers,16.0,3.0,,,,,,,,,,,1922,,,
20,4,Sun,October 22,,W,False,3-0,True,Minneapolis Marines,3.0,0.0,,,,,,,,,,,1922,,,
21,5,Sun,October 29,,W,False,4-0,True,Columbus Panhandles,37.0,6.0,,,,,,,,,,,1922,,,
22,6,Sun,November 5,,W,False,5-0,True,Buffalo All-Americans,9.0,7.0,,,,,,,,,,,1922,,,
23,7,Sun,November 12,,W,False,6-0,True,Akron Pros,7.0,0.0,,,,,,,,,,,1922,,,
24,8,Sun,November 19,,L,False,6-1,True,Canton Bulldogs,0.0,7.0,,,,,,,,,,,1922,,,
25,9,Sun,November 26,,L,False,6-2,False,Canton Bulldogs,3.0,20.0,,,,,,,,,,,1922,,,
