Player,09/11vs. NWE,09/18vs. TAM,09/25vs. BUF,10/02vs. LAR,10/06vs. SFO,10/17vs. NYJ,10/23vs. SEA,10/30vs. CAR,11/13vs. SFO,11/20vs. MIN,11/27vs. ATL,12/04vs. WAS,12/11vs. MIA,12/18vs. NOR,12/24vs. SEA,01/01vs. LAR
Justin Bethel,Q,,Q,Q,Q,,,,,,Q,,,,,
Elie Bouka,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tyvon Branch,,,,Q,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,IR
Jaron Brown,,,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR
John Brown,,,,,,,D,Q,,,,Q,Q,Q,Q,Q
C.B. Bryant,,,,,,,,,,,Q,,,,,
Deone Bucannon,,,,,,,,,,Q,,,,IR,IR,IR
Drew Butler,,,,O,,,,,,,,,,,,
Durell Eskridge,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Alani Fua,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brittan Golden,,,,,,,,,,,Q,,,,,
Markus Golden,,,,,,,,,,,,,Q,,,
Jermaine Gresham,,,,,,,,,,,,,,Q,,
D.J. Humphries,,,,,,,,,,,,,,O,O,O
Mike Iupati,,,,,,D,,,,,,,,,,
Tony Jefferson,,,,,,,,,,,,,,,,IR
Mike Jenkins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ulrick John,,,,,,,,,,,,,,IR,IR,IR
Chris Johnson,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Lamar Louis,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Gabe Martin,,,,,,,D,,,IR,IR,IR,IR,IR,IR,IR
Kareem Martin,O,O,D,Q,,,,,,,,,,,,
Tyrann Mathieu,,,,,,,,,O,Q,Q,D,O,,IR,IR
Evan Mathis,,Q,O,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Josh Mauro,,,,,Q,,,,,,,,,,,
Ifeanyi Momah,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Sio Moore,Q,,,,,,,,,,,,,,,Q
JJ Nelson,,Q,,,,,,,,,,,,,,
Troy Niklas,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Robert Nkemdiche,,Q,Q,,,,,,,,,,Q,,,Q
Tristan Okpalaugo,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Carson Palmer,,,,,O,,Q,,,,,,,,,
Corey Peters,,,,,,,,,,D,Q,,,,,
Frostee Rucker,,O,D,O,Q,,,,,,,,,,,
Ed Stinson,,,,,O,O,O,O,,,Q,,,,,
Stepfan Taylor,Q,Q,,,,,,,,,,,,,,
Jared Veldheer,,,,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR
Brandon Williams,,,,,,,,,,,,,,,Q,
