Player,09/10vs. DET,09/17vs. IND,09/25vs. DAL,10/01vs. SFO,10/08vs. PHI,10/15vs. TAM,10/22vs. LAR,11/05vs. SFO,11/09vs. SEA,11/19vs. HOU,11/26vs. JAX,12/03vs. LAR,12/10vs. TEN,12/17vs. WAS,12/24vs. NYG,12/31vs. SEA
Antoine Bethea,,,,,,,,,,,,,,,Q,IR
Alex Boone,,,,O,Q,,,,,,,,,,,
Tyvon Branch,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Aaron Brewer,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,
John Brown,,O,O,Q,Q,,,,,Q,O,O,O,O,Q,
Deone Bucannon,O,D,Q,,,,,,,,,O,,,,
Josh Bynes,,,,,,,,,,,,,,,O,Q
Karlos Dansby,,,,,,Q,Q,Q,,,,,,,Q,
Aaron Dobson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Andre Ellington,,,,,,,Q,Q,,,,,,,,
Rudy Ford,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Alani Fua,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brittan Golden,,,,,,,,Q,Q,,Q,,,,IR,IR
Markus Golden,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jermaine Gresham,,Q,Q,,,,,,,,,,,Q,,
D.J. Humphries,,O,O,Q,O,,,,,IR,IR,IR,IR,IR,IR,IR
Mike Iupati,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
David Johnson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jarvis Jones,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
T.J. Logan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Gabe Martin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,O,Q,
Josh Mauro,,,,,,,,,,,Q,Q,Q,Q,,
Ifeanyi Momah,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Daniel Munyer,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
JJ Nelson,,,Q,Q,Q,,,,,,,,Q,,,
Troy Niklas,,Q,,,,,,,,,,Q,,,O,Q
Robert Nkemdiche,Q,Q,,O,O,Q,Q,,,,,,,,,
Carson Palmer,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Elijhaa Penny,,,,,,,,,,,Q,,,,,Q
Corey Peters,,,,,,Q,,,,O,O,O,Q,Q,,
Adrian Peterson,,,,,,,,,,,,IR,IR,O,IR,IR
Patrick Peterson,,,,,,Q,,,,,,,Q,,,
Olsen Pierre,,,,,,O,Q,,,,,,,,Q,
Frostee Rucker,,,,,,,,Q,,,,,,,,
A.Q. Shipley,,,,,,,,,,Q,,,,,,
Drew Stanton,,,,,,,,,,Q,Q,,,,,
Jared Veldheer,,,,,,Q,,,,,,,Q,IR,IR,IR
Earl Watford,,,,,,,,,,,,,,O,O,Q
John Wetzel,,,,,,,,,,Q,,,,,,
Chad Williams,,,,,,,,Q,Q,,,,,,Q,
Kerwynn Williams,,,,,,,,,,,,,,,Q,Q
Xavier Williams,,,,,,,Q,,,,,,,,,
Ronald Zamort,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
