Player,09/09vs. WAS,09/16vs. LAR,09/23vs. CHI,09/30vs. SEA,10/07vs. SFO,10/14vs. MIN,10/18vs. DEN,10/28vs. SFO,11/11vs. KAN,11/18vs. OAK,11/25vs. LAC,12/02vs. GNB,12/09vs. DET,12/16vs. ATL,12/23vs. LAR,12/30vs. SEA
Bryson Albright,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Thurston Armbrister,,,,,,,,,,,,,,IR,IR,IR
Budda Baker,,,,,,,,,Q,O,Q,Q,Q,Q,,
Bene Benwikere,,,,,Q,,,,,,,,,,,
Tre Boston,,,,,,,O,O,Q,,,,,,,
Deone Bucannon,,,,,,,,,,,O,O,O,Q,,
Josh Bynes,,,,,,,,,,,,IR,IR,IR,IR,IR
Christian Campbell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jeremy Cash,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Korey Cunningham,,,,,,,,,,,,,,,,IR
Phil Dawson,,,,,,,,Q,,Q,Q,IR,IR,IR,IR,IR
Chase Edmonds,,,,,,Q,,,,,,,,,,
Larry Fitzgerald,,,Q,Q,Q,,,,,,,,,,,
D.J. Foster,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dennis Gardeck,,,Q,,,,,,,,,,,,,
Markus Golden,O,Q,Q,,Q,Q,,,,,,,,,Q,Q
Jermaine Gresham,Q,Q,Q,,,,,Q,Q,,,,,,,IR
Rodney Gunter,,,,,,,,,,Q,,,,,Q,
Will Holden,,,,,,,,,,,,,,,Q,
D.J. Humphries,,,,,,Q,,,,IR,IR,IR,IR,IR,IR,IR
Mike Iupati,,,,,,Q,O,Q,Q,Q,Q,,IR,IR,IR,IR
Christian Kirk,,,,,,,,,,,,,IR,IR,IR,IR
T.J. Logan,Q,,,,,,,,,,,,,,,
Gabe Martin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Praise Martin-Oguike,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Benson Mayowa,,,,,,,,,,,,,,,,Q
Arthur Moats,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
JJ Nelson,,,,,,,,,,,,,,,Q,
Robert Nkemdiche,Q,,,Q,Q,Q,,,O,Q,Q,,,IR,IR,IR
Jonathan Owens,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Corey Peters,,,,Q,Q,,,Q,Q,,Q,,,,,
Patrick Peterson,,,,,,,,,,,,,,,Q,
John Phillips,,,,,,,,,,,Q,,,,,
Olsen Pierre,Q,O,O,Q,,,,,,,Q,,IR,IR,IR,IR
Justin Pugh,,,,,,,Q,Q,Q,IR,IR,IR,IR,IR,IR,IR
Haason Reddick,,Q,,,,,,,,,,Q,,,,
Ricky Seals-Jones,,,,,,,,,,,,,,,Q,O
A.Q. Shipley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Andre Smith,,O,O,Q,,Q,,,,,,,,,,
Jamar Taylor,,,,,Q,,Q,,,,,,,,,
Jeremy Vujnovich,,,,,,,O,O,Q,,,IR,IR,IR,IR,IR
John Wetzel,,,,,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR
Chad Williams,,,,,,,,,O,O,O,Q,Q,Q,,
