Player,09/08vs. DET,09/15vs. BAL,09/22vs. CAR,09/29vs. SEA,10/06vs. CIN,10/13vs. ATL,10/20vs. NYG,10/27vs. NOR,10/31vs. SFO,11/10vs. TAM,11/17vs. SFO,12/01vs. LAR,12/08vs. PIT,12/15vs. CLE,12/22vs. SEA,12/29vs. LAR
Robert Alford,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Zach Allen,,,,,O,Q,O,O,O,O,IR,IR,IR,IR,IR,IR
Tramaine Brock,,,,,Q,,,,,O,Q,,,,,
Miles Brown,,,,Q,,,,,,,,,,,,
Jonathan Bullard,,Q,Q,,,,,,,,O,Q,IR,IR,IR,IR
Hakeem Butler,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Damiere Byrd,,,,O,Q,Q,,,,,,,,,,
Charles Clay,,,,,,,,,,,,,,,,Q
Darrell Daniels,,,,,,,,,,,,,,,,IR
Chase Edmonds,,,,,,,,,O,O,O,,,,,
D.J. Foster,,,,,,,O,O,IR,IR,IR,IR,IR,IR,IR,IR
Lamont Gaillard,O,O,O,Q,,,,,,,,,,,,
Max Garcia,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,Q,,,
Dennis Gardeck,,,,,O,O,Q,Q,,,,,,,,
Marcus Gilbert,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rodney Gunter,,,,,,,,,,,,,,IR,IR,IR
Jordan Hicks,,,,,,,,Q,,,,,,,,
Andy Isabella,,,,,,,,,,,,,,Q,,
David Johnson,,,,,,Q,Q,Q,Q,,,,,,,
Chris Jones,,,Q,,,,,,,,,,,,,
Zach Kerr,,,,,,,Q,,,,Q,,,,,
Christian Kirk,,,,,O,Q,Q,Q,,,,,,,Q,
Andy Lee,,,,Q,Q,Q,Q,,,,,,,,,
Clinton McDonald,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Joshua Miles,,,,,,,Q,,,,,,,,,
Jordan Mills,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Byron Murphy,,,,,,,,,,,,,Q,,,
Justin Murray,,,,,,,,,Q,Q,Q,,,,,
Kyler Murray,,,,,,,,,,,,Q,,,,Q
Rees Odhiambo,IR,,,,,,,,,,,,,,,
Kevin Peterson,,,,,,,,,,,,,Q,Q,IR,IR
Justin Pugh,,,,,Q,,,,,,,,,Q,Q,
Haason Reddick,Q,,,,,Q,,Q,,,,,,,,
Brooks Reed,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR
Caraun Reid,,,,,,,,,,,,,,,Q,
Josh Shaw,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,
A.Q. Shipley,,,,,,,,,,,,,Q,,,
Terrell Suggs,,,,,Q,Q,,,,Q,Q,,,,,
William Sweet,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Pita Taumoepenu,IR,IR,,,,,,,,,,,,,,
Deionte Thompson,,,,,,,,,,Q,,,,,,
Jalen Thompson,,,,,,,,,,,,,Q,,,
Brett Toth,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,,
Zeke Turner,Q,,Q,,Q,O,Q,Q,,,,,,,,
Tanner Vallejo,,,,,,,,,,,,,,,IR,IR
Joe Walker,,,,,,,,,,,,,,Q,,
Charles Washington,,,,O,O,O,Q,,,,,,,,,
Brandon Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Maxx Williams,,,,,,,Q,,,,,,,,,
Trevor Williams,,,,,,Q,,,,,,,,,,
