Player,09/13vs. SFO,09/20vs. WAS,09/27vs. DET,10/04vs. CAR,10/11vs. NYJ,10/19vs. DAL,10/25vs. SEA,11/08vs. MIA,11/15vs. BUF,11/19vs. SEA,11/29vs. NWE,12/06vs. LAR,12/13vs. NYG,12/20vs. PHI,12/26vs. SFO,01/03vs. LAR
Robert Alford,,,,,,,,,,,IR,,,,,
Zach Allen,,,,,,,,IR,IR,,IR,,,,,
Dan Arnold,,,,,,,,,,,,,,,Q,
Budda Baker,,,,O,,,,,Q,,,,,,,Q
Chris Banjo,,,,O,Q,,,,,,,,,,,C19
Kelvin Beachum,,,,,,,Q,,,,,,Q,,,
Angelo Blackson,,,,,,,,,,,,Q,,,,
De'Vondre Campbell,,,,,,,,,,Q,,,Q,,,
Mason Cole,,O,O,Q,,,,,,,,,,,,
Darrell Daniels,,,,,Q,,,,,Q,O,IR,IR,IR,Q,Q
Kenyan Drake,,,,,,,,O,Q,,,,Q,,,
Chase Edmonds,,,,,,,,,,,,,,Q,Q,Q
Kylie Fitts,,Q,,,,O,Q,,,,,,,O,Q,IR
Larry Fitzgerald,,,,,,,,,,,C19,C19,,,Q,Q
Leki Fotu,,,,,,,,,O,IR,IR,IR,,,,
Lamont Gaillard,,,,,,,,,,,,,,O,,
Dennis Gardeck,,,,Q,,Q,Q,,,,,,,,O,IR
Marcus Gilbert,IR,,,,,,,,,,IR,,,,,
Zane Gonzalez,,,,,,,,,,,,,Q,IR,IR,IR
DeAndre Hopkins,,,,Q,,,Q,,,,,,Q,,,
D.J. Humphries,,,,,,Q,,,,,,,,,,
Isaiah Irving,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chandler Jones,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Josh Jones,O,Q,,,,,,,,,,,,,,
Johnathan Joseph,,,,,,,,,,,,,IR,IR,IR,IR
Devon Kennard,,,,Q,O,Q,,C19,C19,,,,,,,
Christian Kirk,,,O,Q,,,,,,,,,,,,C19
Dre Kirkpatrick,,,Q,Q,,,Q,O,Q,,,,,Q,Q,
Rashard Lawrence,,,,,,IR,IR,IR,IR,IR,IR,Q,,,,
Josh Mauro,,,,,,,,,,,IR,IR,IR,IR,IR,IR
Byron Murphy,,,,,,,,C19,C19,,,,,,,
Justin Murray,,,,,,,,,O,O,Q,,,,,
Corey Peters,,,,,,,,,,O,IR,IR,IR,IR,IR,IR
Kevin Peterson,,,,,,,,,IR,IR,IR,IR,IR,,,
Jordan Phillips,,,Q,,Q,,Q,Q,O,O,IR,IR,IR,O,IR,IR
Justin Pugh,,,,,,,,,,,,,,Q,Q,
Haason Reddick,,,,,,,,,,,,,,,Q,
Trent Sherfield,,,,,,,,,,,C19,,,,,
Isaiah Simmons,,,,,,,,,,,,,Q,,,
J.R. Sweezy,,,,,,IR,IR,IR,IR,,,,,,,
Deionte Thompson,,,,,,,,,Q,,C19,C19,,,,
Jalen Thompson,,IR,IR,IR,IR,IR,IR,IR,,,O,O,O,O,Q,
Brett Toth,IR,IR,IR,IR,IR,,,,,,,,,,,
Zeke Turner,,,,,,,,Q,,,,,,,,
Tanner Vallejo,,,,Q,,,,,,,,,,,,
Charles Washington,,,,,,,,,,Q,Q,Q,,,,
Maxx Williams,,O,IR,IR,IR,IR,IR,IR,Q,Q,,,,,Q,Q
