,index,Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Year,Salary
0,0,Jim Doran,83.0,33.0,E,12,9.0,201.0,6-2,"Buena Vista,Iowa St.",8/11/1927,9,6.0,Detroit Lions / 5th / 55th pick / 1951,1960,
1,1,Ed Husmann,66.0,29.0,DT,12,12.0,245.0,6-2,Nebraska,8/6/1931,7,5.0,Chicago Cardinals / 9th / 100th pick / 1953,1960,
2,2,Don Healy,62.0,24.0,DT,12,12.0,259.0,6-3,Maryland,8/28/1936,2,5.0,Chicago Bears / 3rd / 37th pick / 1958,1960,
3,3,Tom Franckhauser,32.0,23.0,DB,12,12.0,195.0,6-0,Purdue,5/26/1937,1,5.0,Los Angeles Rams / 3rd / 33rd pick / 1959,1960,
4,4,Bob Fry,75.0,30.0,T,12,12.0,235.0,6-4,Kentucky,11/11/1930,7,5.0,Los Angeles Rams / 3rd / 36th pick / 1953,1960,
5,5,Wayne Hansen,52.0,32.0,LB,12,12.0,231.0,6-2,Texas-El Paso,10/6/1928,10,5.0,Chicago Bears / 6th / 76th pick / 1950,1960,
6,6,Gene Cronin,85.0,27.0,DE,11,11.0,229.0,6-2,Pacific,11/20/1933,4,5.0,Detroit Lions / 7th / 74th pick / 1956,1960,
7,7,Duane Putnam,61.0,32.0,G,12,12.0,228.0,6-0,Pacific,9/5/1928,8,5.0,Los Angeles Rams / 6th / 66th pick / 1952,1960,
8,8,Eddie LeBaron,14.0,30.0,QB,11,10.0,168.0,5-9,Pacific,1/7/1930,8,5.0,Washington Redskins / 10th / 123rd pick / 1950,1960,
9,9,L.G. Dupre,45.0,28.0,HB,11,4.0,190.0,5-11,Baylor,9/10/1932,5,5.0,Baltimore Colts / 3rd / 27th pick / 1955,1960,
10,10,Bill Butler,22.0,23.0,DB,12,12.0,189.0,5-10,Chattanooga,7/10/1937,1,5.0,Green Bay Packers / 19th / 217th pick / 1959,1960,
