Player,09/12vs. WAS,09/19vs. CHI,09/26vs. HOU,10/10vs. TEN,10/17vs. MIN,10/25vs. NYG,10/31vs. JAX,11/07vs. GNB,11/14vs. NYG,11/21vs. DET,11/25vs. NOR,12/05vs. IND,12/12vs. PHI,12/19vs. WAS,12/25vs. ARI,01/02vs. PHI
Deon Anderson,,O,O,,,,,,,,,,,,,
Miles Austin,,,,,,,,,,,P,,,,,
Alan Ball,,,,,P,,,,,,,,,,,
Marion Barber III,,,,,,,,,,,,O,D,D,P,
Martellus Bennett,,,,,P,,,,,,,,,,,
Keith Brooking,,,,,,,,,,,,P,P,P,Q,P
Dez Bryant,,,P,P,P,P,P,,,,,,IR,IR,IR,IR
Marc Colombo,O,P,,,,,,P,,,,,,,,
Chris Gronkowski,,,,O,P,,,,,,,,,,,
Andre Gurode,,,,,P,P,,,,,,,,,,
Jason Hatcher,,,,,,,O,O,O,P,P,,,,,
Stephen Hodge,PUP,PUP,PUP,PUP,PUP,O,O,IR,IR,,,,,,,
Montrae Holland,,,,,,,O,O,P,,,,,,,
Jesse Holley,,,,,,,,,,,,,,P,P,P
Sam Hurd,,,,,,,,,,,,,,,,O
Bradie James,,,,,P,P,P,P,P,P,P,P,P,P,P,P
Mike Jenkins,,,P,,,,,,,P,P,,,,,
Felix Jones,,,,,,,P,P,,P,P,,,,P,
Jon Kitna,,,,,,,,,,,,,,,,D
Kyle Kosier,O,P,,P,,O,O,P,,,,,,,,
Sean Lee,,O,O,,,,,,,,,,P,,P,P
Sean Lissemore,,,,,,,,,O,O,O,IR,IR,IR,IR,IR
Bryan McCann,,,,,,,,P,,,,P,,,,
Terence Newman,,,,,,,,P,P,P,P,,,P,,
Kevin Ogletree,,,,,,,,,,O,Q,,,IR,IR,IR
Igor Olshansky,,,,,P,,,,,,,,,,,
Akwasi Owusu-Ansah,,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR
John Phillips,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jay Ratliff,,,,,,,,,,P,P,,,,,
Tony Romo,,,,,,,O,O,O,O,O,O,O,O,IR,IR
Orlando Scandrick,,,,,,,,,,,P,,P,,,
Gerald Sensabaugh,P,,,,,,,,,,,,P,,P,
Marcus Spears,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Anthony Spencer,,,,,,,,,P,,,,,,,
DeMarcus Ware,,P,,,,,,,,,,,,,,
Leon Williams,,,,,,,,,,,,,,,,IR
Roy Williams,,,,,,,,P,,,,,,O,Q,P
Jason Witten,,,P,P,,,,,,,,,,,,
Sam Young,O,O,O,,,,,,,,,,,,,
