Player,09/05vs. NYG,09/16vs. SEA,09/23vs. TAM,10/01vs. CHI,10/14vs. BAL,10/21vs. CAR,10/28vs. NYG,11/04vs. ATL,11/11vs. PHI,11/18vs. CLE,11/22vs. WAS,12/02vs. PHI,12/09vs. CIN,12/16vs. PIT,12/23vs. NOR,12/30vs. WAS
Alex Albright,,,O,O,P,,,,,,,,,,,P
Miles Austin,P,P,P,P,P,,,,,,Q,Q,P,,,
Ben Bass,,,,,,,,,,,,IR,IR,IR,IR,IR
Josh Brent,,,,,,,,,,,Q,,O,O,O,O
Dez Bryant,P,,,,,Q,,P,P,,,,,D,P,P
Victor Butler,,,,,,,,,,,,,,,,P
Brandon Carr,,,,,,,,,,,,,,,,
Bruce Carter,,,,,,,,,,,,IR,IR,IR,IR,IR
Barry Church,,,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Morris Claiborne,,,,,P,P,,,,,,,,P,P,
Danny Coale,,,,,,,,,,,,IR,IR,IR,IR,IR
Kenyon Coleman,,,O,O,P,,,,Q,IR,IR,IR,IR,IR,IR,IR
Dan Connor,P,,,,,,Q,O,D,P,,,,,,
Ryan Cook,,,,,Q,Q,P,,,D,D,Q,P,P,,
Phil Costa,P,O,O,D,P,P,D,O,O,O,O,O,IR,IR,IR,IR
Lance Dunbar,,,,,,,,,,,D,,,,,
Eric Frampton,,,,,,,,,Q,,,,,,,
Dwayne Harris,,,,,,,,P,,,,,,,,
Jason Hatcher,,,,,,,,P,,,,P,,,,P
Andre Holmes,Q,P,P,,,,,,,,,,,,,
Mike Jenkins,Q,P,P,,,,,,Q,D,P,,,,,
Matt Johnson,O,O,O,O,P,O,O,O,O,IR,IR,IR,IR,IR,IR,IR
Chris Jones,,,,D,Q,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Felix Jones,,P,,,,,P,P,P,,P,Q,P,P,P,P
Kevin Kowalski,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,P,,,,,,,
Sean Lee,,,P,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Orie Lemon,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Sean Lissemore,,,,P,Q,O,O,O,O,O,O,P,P,,,
Nate Livings,,,Q,,,,,,,,,,P,Q,,
Danny McCray,D,P,,,,,,,,,Q,P,,,,
Caleb McSurdy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Brian Moorman,,,,,O,P,,,,,,,,,,
DeMarco Murray,P,P,,,Q,O,O,O,D,D,D,P,P,P,P,P
Kevin Ogletree,,,,,,,,Q,,,D,P,,,Q,
Charlie Peprah,,,,,,,,,,,D,D,O,Q,P,
John Phillips,,,,,,,,,,P,P,,,,,
Jay Ratliff,O,O,O,O,P,,,Q,P,P,Q,D,O,O,O,O
Tony Romo,,,,,,,,,P,,,,,,,
Orlando Scandrick,,,,,,,,,,,,D,IR,IR,IR,IR
Gerald Sensabaugh,,,D,P,,,,,,,,,,,,
Ernie Sims,,,,,,,,,,,,,,,D,P
Tyron Smith,,,,,,,,,,,D,Q,P,P,,
Marcus Spears,,,Q,P,P,,,,,,,,,,,
Anthony Spencer,,,,Q,Q,P,P,,,,,,P,,,
Phillip Tanner,P,,,,,,,,,,,,,,,
Lawrence Vickers,,,,P,,,,,,P,P,P,P,,,
DeMarcus Ware,P,P,P,P,,,P,,,,,,,Q,P,P
Kyle Wilber,Q,P,P,P,,,,,,,,,,,,
Jason Witten,D,P,P,,,,,,,,,,,,,
