Player,09/08vs. NYG,09/15vs. KAN,09/22vs. STL,09/29vs. SDG,10/06vs. DEN,10/13vs. WAS,10/20vs. PHI,10/27vs. DET,11/03vs. MIN,11/10vs. NOR,11/24vs. NYG,11/28vs. OAK,12/09vs. CHI,12/15vs. GNB,12/22vs. WAS,12/29vs. PHI
Marvin Austin,,,,,,,,,P,Q,,,,,,
Miles Austin,,,,O,D,P,P,Q,D,D,P,P,,,,
Ben Bass,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Dez Bryant,,P,P,,,,,P,,P,P,P,P,,,P
Brandon Carr,,,,,,,,,,,,,,,P,
Bruce Carter,,,,,P,,,,,,,,,D,P,
Barry Church,,,,,,P,,,P,P,,,,,,
Morris Claiborne,Q,P,P,P,P,,,,O,O,P,O,O,Q,O,P
Ryan Cook,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Tyrone Crawford,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Lance Dunbar,O,P,,,,D,O,P,P,,,Q,IR,IR,IR,IR
Justin Durant,,,,,D,Q,,,,,O,O,P,P,IR,IR
Gavin Escobar,,,,,,,,,,,,Q,P,,,
Jakar Hamilton,,,,,,,,,,,,,,,,P
Dwayne Harris,,,,D,P,P,P,P,P,P,Q,O,Q,D,O,P
Jason Hatcher,,,,,,P,P,P,P,Q,P,P,P,P,P,P
Nick Hayden,,,,,,,,P,,P,P,P,,,,
DeVonte Holloman,,,,,,,D,O,O,O,O,O,P,P,,P
Matt Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Edgar Jones,,,,,D,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Ronald Leary,P,,,,,,,P,,,,,,,,
Sean Lee,,,,,,,,,,,O,O,P,O,D,D
Nate Livings,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Danny McCray,O,P,,,,,,,Q,P,,,,,,
DeMarco Murray,,,,,,Q,D,P,P,P,,,,,,
Jay Ratliff,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,,
Tony Romo,Q,P,P,,,,,,,,,,,,,D
Orlando Scandrick,,,,Q,,,,,,,,,,,,
George Selvie,,,,,Q,,P,P,P,P,P,P,,,P,P
Ernie Sims,,O,O,P,,,,,,,,,,,D,D
Anthony Spencer,D,P,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Phillip Tanner,,,,,,,,,,,,,,,Q,Q
DeMarcus Ware,,,P,P,P,,D,D,D,P,Q,P,,,P,P
Brian Waters,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
B.W. Webb,,,,,,,,,,,,,,,Q,
Kyle Wilber,,,,,,,,,,,,,,,Q,
J.J. Wilcox,,,,,,,,O,O,O,Q,,,,,
Terrance Williams,,,,,,,,,,,,,,,D,
Jarius Wynn,,,,,,,,,,,,,,,Q,P
