Player,09/07vs. SFO,09/14vs. TEN,09/21vs. STL,09/28vs. NOR,10/05vs. HOU,10/12vs. SEA,10/19vs. NYG,10/27vs. WAS,11/02vs. ARI,11/09vs. JAX,11/23vs. NYG,11/27vs. PHI,12/04vs. CHI,12/14vs. PHI,12/21vs. IND,12/28vs. WAS,01/04vs. DET,01/11vs. GNB
Ken Bishop,,,P,,,,,,,,,,,,,,,
Josh Brent,S,S,S,S,S,S,S,S,S,S,P,O,P,P,Q,O,P,
Dez Bryant,,,P,P,P,P,P,P,,,,,,,,,,
Brandon Carr,,,,,,,,,P,,,,,,,,,
Bruce Carter,,,,,D,O,O,P,P,P,,,,,,,P,P
Barry Church,,,,,,,,,,P,,Q,,,,,,
Morris Claiborne,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Davon Coleman,,,O,Q,,,,,,,,,,,,,,
Jack Crawford,,,,,,O,D,Q,O,P,,IR,IR,IR,IR,IR,IR,IR
Tyrone Crawford,,,,,,,,,,O,P,P,P,,,,Q,
Justin Durant,,O,O,P,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR
Lavar Edwards,,O,P,,,,,,,,,,,,,,,
Gavin Escobar,,,P,P,,,,,,,,,,,,,,
Doug Free,,,,,,,O,O,O,P,P,P,P,,D,D,D,D
Ben Gardner,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Jakar Hamilton,S,S,S,S,P,,,,,,,,,,,,,
James Hanna,,,,,,,,,,P,,,,,,,,P
Nick Hayden,,,,,,,,,,Q,P,P,P,,,,P,P
Jeff Heath,,,,,,,,,,,,D,O,P,P,P,P,P
Anthony Hitchens,,,,,,,,,,P,,,,,,,D,Q
Cameron Lawrence,,,,,,Q,P,,,,,,,,,,,
DeMarcus Lawrence,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,O,P,,,,
Ronald Leary,,,,,,,,,O,P,,,,,,,,
Sean Lee,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Zack Martin,Q,P,P,,,,,,,,,,,,Q,P,P,P
Rolando McClain,,Q,D,Q,,Q,P,,,Q,P,P,P,P,P,O,,Q
Terrell McClain,O,P,,Q,,,,,,,,,,,,,,O
Henry Melton,P,,,Q,Q,P,,,,,,,,,,,IR,IR
Jeremy Mincey,,,,,,,,,,,,,,P,,,,Q
DeMarco Murray,,,,,,,P,,,,,,,,Q,P,P,P
Amobi Okoye,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Jermey Parnell,,,,,,Q,P,P,P,P,,,,,,,,
Tyler Patmon,,,,,,P,,,,,O,O,D,P,P,,,
Joseph Randle,,,Q,,,,,,,,,,,,,,,
Tony Romo,P,P,P,P,P,P,Q,P,O,P,P,P,P,P,P,P,P,P
Orlando Scandrick,S,S,P,,,,,,,,,,,,,,,
George Selvie,P,P,P,,,,,,,,,,P,P,P,,,
Tyron Smith,,,,,,,P,,,,,,P,,,,,
Anthony Spencer,O,O,O,Q,Q,P,Q,P,P,P,,,,,,,,
C.J. Spillman,,Q,,,,,,,,,,,,,,,D,
Dekoda Watson,,,,,,,,,,,,O,D,O,O,O,P,
Darrion Weems,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chris Whaley,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Terrance Williams,P,P,,,,,,,,,,P,P,,,,,
