Player,09/13vs. NYG,09/20vs. PHI,09/27vs. ATL,10/04vs. NOR,10/11vs. NWE,10/25vs. NYG,11/01vs. SEA,11/08vs. PHI,11/15vs. TAM,11/22vs. MIA,11/26vs. CAR,12/07vs. WAS,12/13vs. GNB,12/19vs. NYJ,12/27vs. BUF,01/03vs. WAS
Cole Beasley,,,,,,,,,,,,,,,Q,P
Dez Bryant,P,O,O,O,O,D,Q,P,P,P,P,P,P,P,IR,IR
Brice Butler,,,,,O,P,P,Q,O,O,P,,,,,
Brandon Carr,,,,P,,,,,P,P,P,,,,,
Matt Cassel,,,,,,,,P,P,,,,,,,
Barry Church,,,,,,,Q,Q,P,P,P,,,,,IR
Morris Claiborne,,,,,,,P,,,O,O,P,,D,Q,Q
La'el Collins,,,,,,,,,,,,,,,,D
Jack Crawford,,,,,,,,,P,,,,,,,
Lance Dunbar,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Gavin Escobar,,,,,,,,,,,,,,,O,IR
Andrew Gachkar,,,,P,P,,,,,,,,,,,
Chaz Green,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Randy Gregory,,O,O,O,O,P,,,,,,,,,,
James Hanna,P,Q,P,,Q,Q,P,P,P,,,,,,,
Greg Hardy,,,,,,P,,,,,,,P,,,P
Nick Hayden,,,,,,,,,Q,P,P,,,,,
Jeff Heath,,,,,,,,,P,P,P,Q,P,P,P,P
Anthony Hitchens,P,,,,,,,,Q,P,P,,,,,
David Irving,,,,,,P,,,,,,,,P,,IR
Byron Jones,,,,,,,,,,,P,,,,,
Chris Jones,,,,,,,,,,,,,,,P,
DeMarcus Lawrence,,,,,,,P,P,P,P,P,,,P,P,P
Ronald Leary,,D,Q,P,,,,,,,,,,,,
Sean Lee,,,,,P,,,,O,P,,,,,,Q
Zack Martin,P,,,,,,,,,,,,,,,
Rolando McClain,,,,,,,,,Q,P,P,,,O,P,
Terrell McClain,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Danny McCray,P,,,,,P,,,,,,,,,,
Darren McFadden,,,,,,,,,,Q,P,,,,,
Christine Michael,,,,,,,,,P,,,,,,,
Jordan Mills,P,,,,,,,,,,,,,,,
Jeremy Mincey,,,O,P,,,,,,Q,,,,,,P
Mark Nzeocha,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,
Joseph Randle,,,,,,,O,,,,,,,,,
Tony Romo,P,P,IR,IR,IR,IR,IR,IR,IR,,P,O,O,O,O,IR
Ryan Russell,,,P,P,P,,,,,IR,IR,IR,IR,IR,IR,IR
Orlando Scandrick,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Rod Smith,,,,,,,,,P,,,,,,,
Devin Street,P,,,,,,,,,,,,,,,P
Geoff Swaim,,,,,,,,,,,,,,,,P
Brandon Weeden,P,,,,,,,,,,,,,,,
Lucky Whitehead,,P,,,,,,,,,,,,,,
Kyle Wilber,,,P,P,,,,,,Q,P,,,P,Q,P
J.J. Wilcox,P,,,,,,,,,,,,,,,
Jason Witten,,,P,P,,,,,,,,,,,P,P
