Player,09/10vs. NYG,09/17vs. DEN,09/25vs. ARI,10/01vs. LAR,10/08vs. GNB,10/22vs. SFO,10/29vs. WAS,11/05vs. KAN,11/12vs. ATL,11/19vs. PHI,11/23vs. LAC,11/30vs. WAS,12/10vs. NYG,12/17vs. OAK,12/24vs. SEA,12/31vs. PHI
Richard Ash,IR,IR,IR,IR,IR,,,,,,,,,,Q,Q
Chidobe Awuzie,,,O,Q,,O,O,O,Q,,,,,,,
Dan Bailey,,,,,,,O,O,O,O,Q,,,,,
Cole Beasley,,,,,,,,Q,,,,,,,,Q
Anthony Brown,,,,,Q,,,,,,,,,,,
Noah Brown,,,,,,,,Q,,,,,,,,
Dez Bryant,,,,,,,,,Q,,,,,,,
Brice Butler,,,Q,,,,,,,,,,Q,Q,Q,
Nolan Carroll,,,O,Q,Q,,,,,,,,,,,
La'el Collins,,,,,Q,,,,,,Q,Q,Q,Q,Q,Q
Maliek Collins,,,,,,,Q,Q,Q,Q,Q,Q,Q,Q,,
Justin Durant,,,,,,Q,Q,IR,IR,,,O,Q,O,IR,IR
Zac Dysert,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kavon Frazier,,,,Q,,,,,,,,,,,,
Rico Gathers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Chaz Green,,,,Q,,,,,,,,,,,,
Connor Hamlett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
James Hanna,,,,,,,,,,,,,,Q,,
Jeff Heath,,,,,,,,,,Q,,,,,,
Anthony Hitchens,O,O,O,Q,,,,,,,Q,Q,,,,
David Irving,,,,,,,,,,,,,Q,O,O,O
Byron Jones,,Q,,,,,,,,,,,,,,
Sean Lee,,,,Q,Q,,,,,O,O,O,,Q,,
John Lotulelei,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Zack Martin,,,,,,,,,,,,Q,,,,
Benson Mayowa,,,,,,,,,,,,,,,Q,O
Stephen Paea,,,Q,Q,Q,,,,,,,,,,,
Brian Price,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR
Orlando Scandrick,,O,,,,,,,,,,,IR,IR,IR,IR
Rod Smith,,,,,,,,,,,,,,,,Q
Tyron Smith,,,,,Q,,,,Q,Q,Q,Q,Q,Q,Q,IR
Geoff Swaim,,,,,,,,,Q,Q,,,,,,
Ryan Switzer,,,,,,,,,,,,Q,,,,
Charles Tapper,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Duke Thomas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Josh Thomas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Corey Washington,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR
Kyle Wilber,,,,,,,Q,,,,,,,,,
Terrance Williams,,Q,Q,,,,,,,,,,,,,
